scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Hydro,,1000 USD/toe,0.9760368435356815
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Wind,,million toe,1.1870492930914391
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Wind,,1000 USD/toe,1.3353700681415923
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Solar,,million toe,0.04797608734378136
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Solar,,1000 USD/toe,3.8634656260056435
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Biomass,,million toe,0.08900080369836223
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Biomass,,1000 USD/toe,2.1238380434903887
tfp0,2017,electicity cost of TnD,India,,,Power,TnD,,1000 USD/toe,0.48801074179456644
tfp0,2017,electicity generation by technology,India,,,Power,Coal_Power,,million toe,61.31803768792737
tfp0,2017,electicity cost by technology,India,,,Power,Coal_Power,,1000 USD/toe,1.341173761722966
tfp0,2017,electicity generation by technology,India,,,Power,Oil_Power,,million toe,6.135878932333071
tfp0,2017,electicity cost by technology,India,,,Power,Oil_Power,,1000 USD/toe,0.37640124406039605
tfp0,2017,electicity generation by technology,India,,,Power,Gas_Power,,million toe,2.264355328354194
tfp0,2017,electicity cost by technology,India,,,Power,Gas_Power,,1000 USD/toe,1.809774193775584
tfp0,2017,electicity generation by technology,India,,,Power,Nuclear,,million toe,13.410523187344491
tfp0,2017,electicity cost by technology,India,,,Power,Nuclear,,1000 USD/toe,0.5252499224839163
tfp0,2017,electicity generation by technology,India,,,Power,Hydro,,million toe,67.80097532563697
tfp0,2017,electicity cost by technology,India,,,Power,Hydro,,1000 USD/toe,0.44510133411032143
tfp0,2017,electicity generation by technology,India,,,Power,Wind,,million toe,116.6765115621059
tfp0,2017,electicity cost by technology,India,,,Power,Wind,,1000 USD/toe,0.21121267193750304
tfp0,2017,electicity generation by technology,India,,,Power,Solar,,million toe,3.7629712167705343
tfp0,2017,electicity cost by technology,India,,,Power,Solar,,1000 USD/toe,0.752406268076318
tfp0,2017,electicity generation by technology,India,,,Power,Biomass,,million toe,0.012777930546213304
tfp0,2017,electicity cost by technology,India,,,Power,Biomass,,1000 USD/toe,13.885182930583548
tfp0,2017,electicity cost of TnD,Canada,,,Power,TnD,,1000 USD/toe,0.33001286740440233
tfp0,2017,electicity generation by technology,Canada,,,Power,Coal_Power,,million toe,4.084293285477723
tfp0,2017,electicity cost by technology,Canada,,,Power,Coal_Power,,1000 USD/toe,0.8433146402455773
tfp0,2017,electicity generation by technology,Canada,,,Power,Oil_Power,,million toe,0.3289935439213252
tfp0,2017,electicity cost by technology,Canada,,,Power,Oil_Power,,1000 USD/toe,0.7423061336629702
tfp0,2017,electicity generation by technology,Canada,,,Power,Gas_Power,,million toe,3.103894153306729
tfp0,2017,electicity cost by technology,Canada,,,Power,Gas_Power,,1000 USD/toe,0.9569219793923559
tfp0,2017,electicity generation by technology,Canada,,,Power,Nuclear,,million toe,11.892914655815002
tfp0,2017,electicity cost by technology,Canada,,,Power,Nuclear,,1000 USD/toe,0.625444161250231
tfp0,2017,electicity generation by technology,Canada,,,Power,Hydro,,million toe,26.233060041292937
tfp0,2017,electicity cost by technology,Canada,,,Power,Hydro,,1000 USD/toe,0.8340311363867271
tfp0,2017,electicity generation by technology,Canada,,,Power,Wind,,million toe,4.082318396064506
tfp0,2017,electicity cost by technology,Canada,,,Power,Wind,,1000 USD/toe,0.5974539929348653
tfp0,2017,electicity generation by technology,Canada,,,Power,Solar,,million toe,0.1573746470443532
tfp0,2017,electicity cost by technology,Canada,,,Power,Solar,,1000 USD/toe,1.0242369209518722
tfp0,2017,electicity generation by technology,Canada,,,Power,Biomass,,million toe,0.03765440282527932
tfp0,2017,electicity cost by technology,Canada,,,Power,Biomass,,1000 USD/toe,3.7005242532010447
tfp0,2017,electicity cost of TnD,United States,,,Power,TnD,,1000 USD/toe,0.20353056604814626
tfp0,2017,electicity generation by technology,United States,,,Power,Coal_Power,,million toe,79.28530625733035
tfp0,2017,electicity cost by technology,United States,,,Power,Coal_Power,,1000 USD/toe,1.0591227837086512
tfp0,2017,electicity generation by technology,United States,,,Power,Oil_Power,,million toe,34.38534940549729
tfp0,2017,electicity cost by technology,United States,,,Power,Oil_Power,,1000 USD/toe,0.2850843673512319
tfp0,2017,electicity generation by technology,United States,,,Power,Gas_Power,,million toe,182.8169213634106
tfp0,2017,electicity cost by technology,United States,,,Power,Gas_Power,,1000 USD/toe,0.7232123555105427
tfp0,2017,electicity generation by technology,United States,,,Power,Nuclear,,million toe,116.77809708076275
tfp0,2017,electicity cost by technology,United States,,,Power,Nuclear,,1000 USD/toe,0.7130197784708353
tfp0,2017,electicity generation by technology,United States,,,Power,Hydro,,million toe,22.144631203513388
tfp0,2017,electicity cost by technology,United States,,,Power,Hydro,,1000 USD/toe,0.989279599408952
tfp0,2017,electicity generation by technology,United States,,,Power,Wind,,million toe,11.645670312991331
tfp0,2017,electicity cost by technology,United States,,,Power,Wind,,1000 USD/toe,1.2690792875582095
tfp0,2017,electicity generation by technology,United States,,,Power,Solar,,million toe,0.6019982690707233
tfp0,2017,electicity cost by technology,United States,,,Power,Solar,,1000 USD/toe,3.077044358357073
tfp0,2017,electicity generation by technology,United States,,,Power,Biomass,,million toe,1.3766812665899573
tfp0,2017,electicity cost by technology,United States,,,Power,Biomass,,1000 USD/toe,1.833237633312223
tfp0,2017,electicity cost of TnD,Rest of America,,,Power,TnD,,1000 USD/toe,0.3702675966373353
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Coal_Power,,million toe,7.49260278496488
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Coal_Power,,1000 USD/toe,0.8025110209796822
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Oil_Power,,million toe,9.448203864723446
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Oil_Power,,1000 USD/toe,0.9718689028444467
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Gas_Power,,million toe,37.92343042283819
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Gas_Power,,1000 USD/toe,0.8158945823296975
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Nuclear,,million toe,5.910635943069443
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Nuclear,,1000 USD/toe,0.4312340444528917
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Hydro,,million toe,29.5146552107726
