scenario,year,species,region,commodity,sector,subsector,unit,value
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Hydro,million t,2.489352112982565e-5
tfp2,2017,energy,Australia_Oceania,Coal,Power,Wind,million toe,5.530368153176875e-5
tfp2,2017,energy,Australia_Oceania,Oil,Power,Wind,million toe,2.1261149761071744e-5
tfp2,2017,energy,Australia_Oceania,Gas,Power,Wind,million toe,3.5369700629646794e-5
tfp2,2017,energy,Australia_Oceania,Petro,Power,Wind,million toe,1.8668981225426935e-5
tfp2,2017,energy,Australia_Oceania,Power,Power,Wind,million toe,0.04843684185909547
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Wind,million t,0.00022447803259240362
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Wind,million t,6.518088052886777e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Wind,million t,8.307617817391848e-5
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Wind,million t,6.373123638824324e-5
tfp2,2017,energy,Australia_Oceania,Coal,Power,Solar,million toe,3.149186164106133e-5
tfp2,2017,energy,Australia_Oceania,Oil,Power,Solar,million toe,1.2106846561759826e-5
tfp2,2017,energy,Australia_Oceania,Gas,Power,Solar,million toe,2.0140751712428937e-5
tfp2,2017,energy,Australia_Oceania,Petro,Power,Solar,million toe,1.0630774614760323e-5
tfp2,2017,energy,Australia_Oceania,Power,Power,Solar,million toe,0.006929280725710757
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Solar,million t,0.0001278256880565314
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Solar,million t,3.7116286192963705e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Solar,million t,4.7306498161760355e-5
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Solar,million t,3.629080782622791e-5
tfp2,2017,energy,Australia_Oceania,Coal,Power,Biomass,million toe,7.93700689611031e-6
tfp2,2017,energy,Australia_Oceania,Oil,Power,Biomass,million toe,3.0513319836749624e-6
tfp2,2017,energy,Australia_Oceania,Gas,Power,Biomass,million toe,5.076145927999402e-6
tfp2,2017,energy,Australia_Oceania,Petro,Power,Biomass,million toe,0.16893253237057418
tfp2,2017,energy,Australia_Oceania,Power,Power,Biomass,million toe,0.013780768423209234
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Biomass,million t,3.221636685593361e-5
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Biomass,million t,9.354550798846597e-6
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Biomass,million t,1.1922826488325306e-5
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Biomass,million t,0.5766934480340079
tfp2,2017,energy,Australia_Oceania,Coal,Household,,million toe,0.03224592470654908
tfp2,2017,energy,Australia_Oceania,Oil,Household,,million toe,4.181128176729406e-5
tfp2,2017,energy,Australia_Oceania,Gas,Household,,million toe,7.244781740811477
tfp2,2017,energy,Australia_Oceania,Petro,Household,,million toe,13.524657802424814
tfp2,2017,energy,Australia_Oceania,Power,Household,,million toe,13.7727684179556
tfp2,2017,CO2,Australia_Oceania,Coal,Household,,million t,0.1318407017581066
tfp2,2017,CO2,Australia_Oceania,Oil,Household,,million t,1.8674512384283476e-6
tfp2,2017,CO2,Australia_Oceania,Gas,Household,,million t,17.016504068328207
tfp2,2017,CO2,Australia_Oceania,Petro,Household,,million t,39.90790473867865
tfp2,2017,energy,China,Coal,Rice,,million toe,1.062739393925289
tfp2,2017,energy,China,Oil,Rice,,million toe,8.410968436486585e-6
tfp2,2017,energy,China,Gas,Rice,,million toe,0.006054038584222803
tfp2,2017,energy,China,Petro,Rice,,million toe,1.4893293625305817
tfp2,2017,energy,China,Power,Rice,,million toe,1.360351848876497
tfp2,2017,CO2,China,Coal,Rice,,million t,4.209205702408758
tfp2,2017,CO2,China,Oil,Rice,,million t,2.5824364600915098e-5
tfp2,2017,CO2,China,Gas,Rice,,million t,0.01421969380389224
tfp2,2017,CO2,China,Petro,Rice,,million t,4.10694413910866
tfp2,2017,energy,China,Coal,Crops nec,,million toe,7.702556682381832
tfp2,2017,energy,China,Oil,Crops nec,,million toe,6.796664184247284e-5
tfp2,2017,energy,China,Gas,Crops nec,,million toe,0.08684242764212846
tfp2,2017,energy,China,Petro,Crops nec,,million toe,9.48736189689182
