scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp1,2017,electicity cost of TnD,Rest of America,,,Power,TnD,,1000 USD/toe,0.37026835907081296
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Coal_Power,,million toe,7.49453565156287
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Coal_Power,,1000 USD/toe,0.8026799999771834
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Oil_Power,,million toe,9.45201156760278
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Oil_Power,,1000 USD/toe,0.9720030742931143
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Gas_Power,,million toe,37.929220426348316
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Gas_Power,,1000 USD/toe,0.8161093350948379
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Nuclear,,million toe,5.914483433037027
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Nuclear,,1000 USD/toe,0.4312401435128294
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Hydro,,million toe,29.534611357427146
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Hydro,,1000 USD/toe,0.8831155498539587
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Wind,,million toe,0.3175646875582297
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Wind,,1000 USD/toe,2.2127670336115526
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Solar,,million toe,0.005418072876742353
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Solar,,1000 USD/toe,9.647261437260418
tfp1,2017,electicity generation by technology,Rest of America,,,Power,Biomass,,million toe,0.04202632530093698
tfp1,2017,electicity cost by technology,Rest of America,,,Power,Biomass,,1000 USD/toe,5.650165049543862
tfp1,2017,electicity cost of TnD,Brazil,,,Power,TnD,,1000 USD/toe,0.4488569069826729
tfp1,2017,electicity generation by technology,Brazil,,,Power,Coal_Power,,million toe,2.7931767743249143
tfp1,2017,electicity cost by technology,Brazil,,,Power,Coal_Power,,1000 USD/toe,0.7722388174441484
tfp1,2017,electicity generation by technology,Brazil,,,Power,Oil_Power,,million toe,13.788332072011894
tfp1,2017,electicity cost by technology,Brazil,,,Power,Oil_Power,,1000 USD/toe,0.30951447655427206
tfp1,2017,electicity generation by technology,Brazil,,,Power,Gas_Power,,million toe,2.8286780555223716
