,,TnD,Coal_Power,Oil_Power,Gas_Power,Nuclear,Hydro,Wind,Solar,Biomass
1997,United States,0,1969847.0,102266.0,493019.0,666363.0,312910.0,3254.0,3.0,63131.0
1997,Rest of America,0,26228.0,99866.0,36348.0,18417.0,241343.0,104.0,6.0,5911.0
1997,Brazil,0,-145748.0,7721.0,-19638.0,3169.0,238864.0,-17.0,-23.0,5597.0
1997,EUPlus,0,-13870.0,138405.0,334432.0,912344.0,305005.0,7167.0,58.0,34822.0
1997,Eastern Europe,0,-878728.0,-208789.0,-303903.0,-883598.0,-495092.0,-7373.0,-69.0,-38211.0
1997,Russia,0,113751.0,50045.0,356839.0,108498.0,130088.0,0.0,0.0,1532.0
1997,North Africa,0,-187334.0,-136610.0,-162649.0,-319177.0,-86269.0,-1.0,-149.0,-9644.0
1997,Sub Saharan,0,-47648.0,-83863.0,-116110.0,0.0,10184.0,0.0,1.0,-318.0
1997,South Africa,0,35611.0,-51870.0,-357403.0,-95851.0,-152842.0,0.0,0.0,-1386.0
1998,Australia_Oceania,0,-1810728.0,-106497.0,-485144.0,-666363.0,-317635.0,-3224.0,24.0,-61812.0
1998,China,0,870827.0,-144670.0,-290980.0,49051.0,90972.0,362.0,14.0,3090.0
1998,Japan,0,-145375.0,131180.0,177325.0,320421.0,19584.0,-1120.0,187.0,8945.0
1998,South Korea,0,-107205.0,14557.0,27157.0,76088.0,2084.0,2.0,4.0,-172.0
1998,Rest of World,0,8568.0,-146526.0,-108905.0,-16718.0,-224568.0,-138.0,-7.0,-5495.0
1998,Southeast Asia,0,-23203.0,71201.0,108260.0,-89689.0,30742.0,-2.0,-4.0,755.0
1998,"Central, Western and South Asia",0,-5856.0,210474.0,296097.0,-69638.0,-204365.0,-54.0,-10.0,-7089.0
1998,India,0,283561.0,10647.0,-4728.0,-63317.0,61762.0,1124.0,2.0,128.0
1998,Canada,0,99852.0,6888.0,24570.0,68246.0,40532.0,57.0,10.0,-175.0
1998,United States,0,2000237.0,140097.0,546608.0,714124.0,273400.0,3018.0,2.0,62551.0
1998,Rest of America,0,26750.0,114165.0,52314.0,16718.0,237314.0,138.0,7.0,5495.0
1998,Brazil,0,-158221.0,9305.0,-19182.0,3265.0,250419.0,-25.0,-28.0,5666.0
1998,EUPlus,0,-27808.0,137301.0,362950.0,907757.0,312146.0,10917.0,78.0,39649.0
1998,Eastern Europe,0,-893351.0,-215352.0,-339056.0,-883442.0,-509513.0,-11284.0,-92.0,-42980.0
1998,Russia,0,119720.0,51233.0,344994.0,105320.0,132506.0,0.0,0.0,1519.0
1998,North Africa,0,-181434.0,-113674.0,-170382.0,-332343.0,-88373.0,-7.0,-189.0,-9073.0
1998,Sub Saharan,0,-51046.0,-78756.0,-123576.0,0.0,11839.0,0.0,1.0,-215.0
1998,South Africa,0,25017.0,-52793.0,-345520.0,-91719.0,-155451.0,0.0,0.0,-1288.0
1999,Australia_Oceania,0,-1836015.0,-145370.0,-532896.0,-714124.0,-282600.0,-2951.0,31.0,-61222.0
1999,China,0,953212.0,-163816.0,-311852.0,50888.0,93787.0,432.0,17.0,3522.0
1999,Japan,0,-154827.0,129516.0,186973.0,303367.0,14723.0,-1471.0,252.0,9473.0
1999,South Korea,0,-102131.0,14066.0,29668.0,90227.0,2750.0,6.0,5.0,-100.0
1999,Rest of World,0,4015.0,-145062.0,-119764.0,-17108.0,-231314.0,-154.0,-7.0,-5284.0
1999,Southeast Asia,0,-20208.0,61343.0,115978.0,-103064.0,37046.0,-6.0,-5.0,1264.0
1999,"Central, Western and South Asia",0,-7069.0,230099.0,317364.0,-71014.0,-226912.0,-102.0,-13.0,-8169.0
1999,India,0,309210.0,13653.0,115.0,-58816.0,60674.0,1506.0,2.0,131.0
1999,Canada,0,98087.0,-671.0,24759.0,69514.0,52874.0,162.0,13.0,-64.0
