model_id,technology,iso3,country_name,spec,n,df_resid,first_year,last_year,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,SE_OLS,p_OLS,p_BH_within_technology_spec
pv__USA__annual_difference,pv,USA,United States,annual_difference,14,12,2011,2024,lnQ,1.0573658610923082,0.21397825310650262,0.00034124454533358936,0.5911472979540793,1.5235844242305372,***,0.3914544103998593,0.01926935470345949,0.003753689998669483
wind__AUS__main_level,wind,AUS,Australia,main_level,15,13,2010,2024,const,11.383443640998538,0.46912789810886085,3.2729652656058823e-12,10.369954434051884,12.396932847945191,***,0.605485563248136,8.276962444360955e-11,
wind__AUS__main_level,wind,AUS,Australia,main_level,15,13,2010,2024,lnQ,-0.6608866327723203,0.08033907764479427,1.6456878026149192e-06,-0.8344486580052644,-0.48732460753937623,***,0.09797144629834771,1.3713091141782314e-05,2.303962923660887e-05
wind__AUS__annual_difference,wind,AUS,Australia,annual_difference,14,12,2011,2024,const,-0.24575168692836286,0.22457985146602422,0.2953139802433339,-0.7350691485872964,0.24356577473057073,,0.25298456170279987,0.3505181511478461,
wind__AUS__annual_difference,wind,AUS,Australia,annual_difference,14,12,2011,2024,lnQ,1.3573110124368257,1.549368590283854,0.39820473803302836,-2.0184731499570594,4.733095174830711,,1.9118068622124844,0.491294068839248,0.5789574600630644
wind__BRA__main_level,wind,BRA,Brazil,main_level,15,13,2010,2024,const,9.826444603225136,0.7189734220530178,4.325729553903427e-09,8.273196957392003,11.37969224905827,***,0.5662161757737458,2.256923143799801e-10,
wind__BRA__main_level,wind,BRA,Brazil,main_level,15,13,2010,2024,lnQ,-0.4846771838084797,0.1161804989885118,0.001095776457122192,-0.7356698923154675,-0.23368447530149183,***,0.09161740762320995,0.00014631497415910186,0.005113623466570229
wind__BRA__annual_difference,wind,BRA,Brazil,annual_difference,14,12,2011,2024,const,-0.11311886311163248,0.1534842375559806,0.4752820984534466,-0.4475322890502953,0.2212945628270303,,0.18287663872139678,0.5477728179534631,
wind__BRA__annual_difference,wind,BRA,Brazil,annual_difference,14,12,2011,2024,lnQ,0.7271501206910904,1.1833452748302116,0.55036723053984,-1.8511377460350644,3.3054379874172453,,1.3820005872795136,0.6083660360524351,0.64209510229648
wind__CAN__main_level,wind,CAN,Canada,main_level,15,13,2010,2024,const,8.821269644581019,0.8670035420187988,1.4716048365418936e-07,6.948222367361385,10.694316921800652,***,0.7432962598218369,2.3865273378492987e-08,
wind__CAN__main_level,wind,CAN,Canada,main_level,15,13,2010,2024,lnQ,-0.2643524831740681,0.14246600877021065,0.0863275153740281,-0.5721315831325843,0.043426616784448036,*,0.12027010059867349,0.0466694644112077,0.13428724613737705
wind__CAN__annual_difference,wind,CAN,Canada,annual_difference,14,12,2011,2024,const,-0.012560523624350728,0.314196470010976,0.9687691508554501,-0.697135823520419,0.6720147762717177,,0.30815370615699533,0.9681570908902939,
wind__CAN__annual_difference,wind,CAN,Canada,annual_difference,14,12,2011,2024,lnQ,-0.2942982599608449,2.4665444532866685,0.9069992166498866,-5.668436959726373,5.079840439804682,,2.3287206384524337,0.9015257886489005,0.9716226737879542
wind__CHN__main_level,wind,CHN,China,main_level,15,13,2010,2024,const,6.734704536415154,0.8909707964733347,4.137799139549798e-06,4.809879153890473,8.659529918939835,***,0.6088999247166105,5.521049896490848e-08,
wind__CHN__main_level,wind,CHN,China,main_level,15,13,2010,2024,lnQ,0.0009530959629259528,0.14865900914592453,0.9949819080415855,-0.32020516789674475,0.3221113598225967,,0.09852391187565612,0.9924284619042965,0.9949819080415855
wind__CHN__annual_difference,wind,CHN,China,annual_difference,14,12,2011,2024,const,-0.2650892649745928,0.10219805284125254,0.023489459783983573,-0.4877596936721229,-0.04241883627706264,**,0.08809461661061149,0.010880253810154976,
wind__CHN__annual_difference,wind,CHN,China,annual_difference,14,12,2011,2024,lnQ,1.994145382042622,0.59850026909842,0.005976997876827646,0.6901253171716972,3.298165446913547,***,0.6657318985258893,0.01116133016093039,0.08367797027558704
wind__DEU__main_level,wind,DEU,Germany,main_level,15,13,2010,2024,const,5.547787708456216,0.5628946109276406,2.1289090827007082e-07,4.3317278341163235,6.763847582796108,***,0.39738977192314984,3.3369103687916744e-09,
wind__DEU__main_level,wind,DEU,Germany,main_level,15,13,2010,2024,lnQ,0.20200921608901118,0.09423371304587744,0.05154531681572439,-0.0015703439574112354,0.4055887761354336,*,0.06430021302345457,0.0077958518859989655,0.09020430442751769
wind__DEU__annual_difference,wind,DEU,Germany,annual_difference,14,12,2011,2024,const,-0.15895823886169935,0.08820096826288297,0.09666512827054365,-0.35113164010194065,0.03321516237854191,*,0.09928019815248672,0.13533452228873522,
wind__DEU__annual_difference,wind,DEU,Germany,annual_difference,14,12,2011,2024,lnQ,1.4176363531452636,0.6559176447774231,0.05159106957588385,-0.011485426500896123,2.8467581327914235,*,0.7502614500750332,0.08321809184142329,0.1805687435155935
wind__ESP__main_level,wind,ESP,Spain,main_level,15,13,2010,2024,const,9.88850009921399,0.6756991941359441,1.870928660515925e-09,8.42874073900553,11.34825945942245,***,0.8866860819085476,5.006485185728054e-08,
wind__ESP__main_level,wind,ESP,Spain,main_level,15,13,2010,2024,lnQ,-0.5083763749600175,0.11634881356947939,0.0007592847912929366,-0.7597327050121534,-0.2570200449078816,***,0.14347149317843466,0.003601680299435348,0.005113623466570229
wind__ESP__annual_difference,wind,ESP,Spain,annual_difference,14,12,2011,2024,const,0.1616074201460721,0.27400573845467735,0.5662675891579173,-0.4353997982014214,0.7586146384935656,,0.31761550973978664,0.6201074048713224,
wind__ESP__annual_difference,wind,ESP,Spain,annual_difference,14,12,2011,2024,lnQ,-1.5529628609941808,1.8333744844058764,0.41354104290218885,-5.54754270920224,2.4416169872138784,,2.40022358272987,0.5298092281204323,0.5789574600630644
wind__FRA__main_level,wind,FRA,France,main_level,15,13,2010,2024,const,5.388578689918401,0.4725124536549129,3.840179288102311e-08,4.367777595254001,6.409379784582802,***,0.536712124590236,1.717812545432569e-07,
wind__FRA__main_level,wind,FRA,France,main_level,15,13,2010,2024,lnQ,0.2520769073090383,0.07557265794070785,0.005367738942021878,0.08881210580834925,0.4153417088097274,***,0.08684346297190809,0.012344762050753279,0.013227061890217807
wind__FRA__annual_difference,wind,FRA,France,annual_difference,14,12,2011,2024,const,0.28619191721277926,0.12591252454920066,0.042213092378343316,0.011852093309191292,0.5605317411163673,**,0.1620706132942653,0.10282697912268997,
wind__FRA__annual_difference,wind,FRA,France,annual_difference,14,12,2011,2024,lnQ,-2.1549800277751605,0.9594684113471809,0.04431433838869243,-4.24548211207883,-0.06447794347149127,**,1.2247692451010663,0.10393762398934542,0.1805687435155935
wind__GBR__main_level,wind,GBR,United Kingdom,main_level,15,13,2010,2024,const,7.600043692923061,1.1848160491618236,2.2904297961537567e-05,5.04040423663978,10.15968314920634,***,0.8435426797784473,5.948686440351031e-07,
wind__GBR__main_level,wind,GBR,United Kingdom,main_level,15,13,2010,2024,lnQ,-0.10005860568616788,0.191090967848417,0.6093553341973393,-0.5128855431590269,0.31276833178669117,,0.1364906140931559,0.47652126397838335,0.6562288214432885
wind__GBR__annual_difference,wind,GBR,United Kingdom,annual_difference,14,12,2011,2024,const,-0.28219560877446404,0.23506466886227168,0.25310698187023317,-0.7943575250930597,0.2299663075441316,,0.2731976048549533,0.3220030835911559,
wind__GBR__annual_difference,wind,GBR,United Kingdom,annual_difference,14,12,2011,2024,lnQ,2.5005204184945025,1.5582267634241087,0.13453416913129687,-0.8945640451847834,5.895604882173789,,2.064557031410087,0.24914472315790515,0.37669567356763123
wind__IND__main_level,wind,IND,India,main_level,13,11,2012,2024,const,5.007111788299484,0.9328441169978546,0.0002276236621054542,2.9539357301084195,7.060287846490548,***,0.8436422403429721,9.800745988317363e-05,
wind__IND__main_level,wind,IND,India,main_level,13,11,2012,2024,lnQ,0.17733539283426206,0.15044786584694922,0.2633795982735403,-0.15379812726233047,0.5084689129308546,,0.13375372407035277,0.21176789797102613,0.36291948930572104
wind__IND__annual_difference,wind,IND,India,annual_difference,12,10,2013,2024,const,0.2128212404629246,0.2564893960751938,0.4260459830005361,-0.3586727480547104,0.7843152289805596,,0.3156099742392359,0.5153947133855417,
wind__IND__annual_difference,wind,IND,India,annual_difference,12,10,2013,2024,lnQ,-1.4885619133550132,2.1416386657038085,0.5028494858327266,-6.260430231325712,3.283306404615686,,2.646004701868199,0.586117545901536,0.6399902546961975
wind__ITA__main_level,wind,ITA,Italy,main_level,15,13,2010,2024,const,9.34106419070506,0.6945465373719817,5.26388779355025e-09,7.840587620911869,10.841540760498251,***,0.7825644335948005,2.2270647740585087e-08,
wind__ITA__main_level,wind,ITA,Italy,main_level,15,13,2010,2024,lnQ,-0.361943176041216,0.10944124031945769,0.005668740810093346,-0.5983766013517843,-0.12550975073064777,***,0.1266239428891386,0.013438516059141734,0.013227061890217807
wind__ITA__annual_difference,wind,ITA,Italy,annual_difference,14,12,2011,2024,const,-0.5671602233323226,0.2630578648745624,0.05207956483930226,-1.1403140742658868,0.005993627601241447,*,0.3333130233494911,0.11457570335202945,
wind__ITA__annual_difference,wind,ITA,Italy,annual_difference,14,12,2011,2024,lnQ,4.1586082885162945,1.674742327115908,0.02879227642916485,0.5096582198094075,7.807558357223181,**,2.5188498500274084,0.12464775256785181,0.1805687435155935
wind__POL__main_level,wind,POL,Poland,main_level,13,11,2010,2024,const,7.636469754881991,0.23188487527637233,2.415307375774591e-12,7.126094585548995,8.146844924214985,***,0.31157460375555973,5.975803643388358e-11,
wind__POL__main_level,wind,POL,Poland,main_level,13,11,2010,2024,lnQ,-0.10065829166676726,0.037919380699524316,0.022404288857660493,-0.18411828586628548,-0.017198297467249032,**,0.05061793709017755,0.07220086463645257,0.044808577715320985
wind__POL__annual_difference,wind,POL,Poland,annual_difference,11,9,2011,2024,const,-0.006165624929910471,0.16558162927387426,0.9711095538360939,-0.3807372936196014,0.3684060437597805,,0.1765129460453144,0.9728978829121805,
wind__POL__annual_difference,wind,POL,Poland,annual_difference,11,9,2011,2024,lnQ,0.038342910400029594,1.0483512737803018,0.9716226737879542,-2.333192432710698,2.4098782535107572,,1.300703151245036,0.9771262276721825,0.9716226737879542
wind__SWE__main_level,wind,SWE,Sweden,main_level,15,13,2010,2024,const,7.605536989128939,0.7583874071541957,1.740653465130276e-07,5.96714060525693,9.243933373000948,***,0.8123080929299116,3.8407207351840113e-07,
wind__SWE__main_level,wind,SWE,Sweden,main_level,15,13,2010,2024,lnQ,-0.1317579757291353,0.12051908238878081,0.29412719720416813,-0.3921236238275141,0.1286076723692435,,0.13143665767565443,0.334423673770049,0.36291948930572104
wind__SWE__annual_difference,wind,SWE,Sweden,annual_difference,14,12,2011,2024,const,-0.21748930390993773,0.27013077093974325,0.43640965463285997,-0.806053693321349,0.3710750855014736,,0.2851995204035075,0.4604380174847831,
wind__SWE__annual_difference,wind,SWE,Sweden,annual_difference,14,12,2011,2024,lnQ,1.8793156303924647,1.8459609203163405,0.32873245379859994,-2.1426877058570986,5.901318966642028,,2.1552556272096846,0.4003356437396953,0.5752817941475499
wind__TUR__main_level,wind,TUR,Turkey,main_level,15,13,2010,2024,const,7.369756687539211,0.585061998154802,1.1653363618109558e-08,6.105807084638085,8.633706290440337,***,0.7313394159647646,1.6457835942121658e-07,
wind__TUR__main_level,wind,TUR,Turkey,main_level,15,13,2010,2024,lnQ,-0.1004525561962087,0.09530491649091888,0.3110738479763323,-0.3063463105899936,0.1054411981975762,,0.11833540659943635,0.4113074272544599,0.36291948930572104
wind__TUR__annual_difference,wind,TUR,Turkey,annual_difference,14,12,2011,2024,const,0.2535003724833805,0.22404523763775913,0.27996270722379024,-0.2346522657076116,0.7416530106743726,,0.28980694184616174,0.3988944792501671,
wind__TUR__annual_difference,wind,TUR,Turkey,annual_difference,14,12,2011,2024,lnQ,-2.1199792433628546,1.5995923046931173,0.20974347727872422,-5.605191479065185,1.3652329923394761,,2.1900739571183663,0.3521526563285339,0.4208713674483911
wind__USA__main_level,wind,USA,United States,main_level,15,13,2010,2024,const,8.454107990836826,0.4424308154973806,6.74803223694848e-11,7.498294324383013,9.409921657290639,***,0.44970154248948924,8.283302304744463e-11,
wind__USA__main_level,wind,USA,United States,main_level,15,13,2010,2024,lnQ,-0.26315014408804543,0.07440379304266506,0.0036475939131285283,-0.4238897664993633,-0.10241052167672757,***,0.07276459290613607,0.003131734264832338,0.012766578695949849
wind__USA__annual_difference,wind,USA,United States,annual_difference,14,12,2011,2024,const,-0.12720972460387373,0.1014553055955866,0.2337732538806898,-0.348261846073347,0.0938423968655995,,0.16975602270544124,0.4680719205791246,
wind__USA__annual_difference,wind,USA,United States,annual_difference,14,12,2011,2024,lnQ,0.8661302914487927,0.6545847993125097,0.21043568372419552,-0.56008746739845,2.2923480502960354,,1.2828479608626215,0.5123726125353905,0.4208713674483911
