model_id,iso3,role,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_role_spec,p_BH_all_specs_within_role
KOR__updated_main__B,KOR,updated_main,B,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logQ,-0.521844044624838,0.5446502976334266,0.3820017302072197,-1.9219122064952368,0.8782241172455607,,0.47750216275902463,0.5137932618504514
KOR__updated_main__B,KOR,updated_main,B,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logG,-0.9039034581729553,3.588117423819898,0.8111332391393868,-10.12745293197455,8.31964601562864,,0.8111332391393868,0.8111332391393868
KOR__updated_main__C,KOR,updated_main,C,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,const,13.289811683851958,40.3001083890271,0.7581197116164299,-98.60122699180309,125.18085035950699,,,
KOR__updated_main__C,KOR,updated_main,C,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logQ,-0.4419837169933255,0.6486101229505165,0.5330073055638941,-2.2428141180410295,1.3588466840543783,,0.6150084294968009,0.6345325066236834
KOR__updated_main__C,KOR,updated_main,C,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logG,-1.0540560486332406,4.072962985913455,0.8085663509186978,-12.362414194524465,10.254302097257984,,0.8085663509186978,0.8111332391393868
KOR__updated_main__C,KOR,updated_main,C,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logM,0.07709380512796649,0.07516662205764808,0.36303419399383524,-0.13160219475824342,0.2857898050141764,,0.53215039662358,0.5137932618504514
KOR__updated_main__D,KOR,updated_main,D,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,const,12.34792606520183,35.72571634298827,0.7436868123237004,-79.48795143117923,104.18380356158289,,,
KOR__updated_main__D,KOR,updated_main,D,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logQ,-0.5218399597224547,0.5446539958479892,0.3820081431187359,-1.9219176281560322,0.8782377087111229,,0.47751017889841985,0.5137932618504514
KOR__updated_main__D,KOR,updated_main,D,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logG,-0.9039113038655422,3.588063608726351,0.8111288786361721,-10.127322441565182,8.319499833834099,,0.8111288786361721,0.8111332391393868
KOR__annual_difference__D,KOR,annual_difference,D,5,2,2011,2017,"2011,2012,2013,2016,2017",True,const,-0.03950280970365505,0.509163797760551,0.9452224096893912,-2.230257814000544,2.151252194593234,,,
