model_id,year,y,logQ,logG,logM,fitted,residual
JPN__updated_main__A,2017,0.359982847987546,5.951553934028465,10.835830693477304,2.891409513410439,0.43050050014020813,-0.07051765215266215
JPN__updated_main__A,2018,0.40484446291204496,6.17063993071869,10.908545054584073,2.956890415537674,0.5951854437049824,-0.19034098079293743
JPN__updated_main__A,2019,0.6556409662566212,6.363208897541072,10.939093631999517,2.5071504398904505,0.5437007217233579,0.11194024453326323
JPN__updated_main__B,2010,1.8222651613974585,3.682166724070565,10.512763874058926,4.456192445165693,1.9583050648200384,-0.13603990342257988
JPN__updated_main__B,2011,1.767657320186044,4.252328599622632,10.605666325206338,4.509679808932987,1.6700031117366052,0.09765420844943873
JPN__updated_main__B,2012,1.5930233629950608,4.598290072191402,10.661033635112348,3.523311081544699,1.4873830454186674,0.10564031757639336
JPN__updated_main__B,2013,1.2058067222315105,4.90117475518874,10.685875142695629,3.015723559908184,1.146584513075382,0.059222209156128525
JPN__updated_main__B,2014,0.9233103391951751,5.151279397977148,10.713605552327314,3.26713839072327,0.9204292253025272,0.0028811138926478908
JPN__updated_main__B,2015,0.4112984431187065,5.39300057712095,10.736031795649817,3.164990795937875,0.6683638496773483,-0.2570654065586418
JPN__updated_main__B,2016,0.8216190728758879,5.674382328161501,10.780205441271315,2.929240932529897,0.5132614313248638,0.3083576415510241
JPN__updated_main__B,2017,0.359982847987546,5.951553934028465,10.835830693477304,2.891409513410439,0.4532091627354191,-0.09322631474787313
JPN__updated_main__B,2018,0.40484446291204496,6.17063993071869,10.908545054584073,2.956890415537674,0.6258129591218449,-0.22096849620979991
JPN__updated_main__B,2019,0.6556409662566212,6.363208897541072,10.939093631999517,2.5071504398904505,0.5220963359439139,0.13354463031270725
JPN__updated_main__C,2010,1.8222651613974585,3.682166724070565,10.512736686478211,4.456192445165693,1.9515302917818587,-0.12926513038440013
JPN__updated_main__C,2011,1.767657320186044,4.252328599622632,10.605641549672672,4.509679808932987,1.5949047156325946,0.17275260455344932
JPN__updated_main__C,2012,1.5930233629950608,4.598290072191402,10.661010194065058,3.523311081544699,1.5353943191262158,0.05762904386884493
JPN__updated_main__C,2013,1.2058067222315105,4.90117475518874,10.685852276792648,3.015723559908184,1.228274904891733,-0.022468182660222435
JPN__updated_main__C,2014,0.9233103391951751,5.151279397977148,10.713583311801187,3.26713839072327,0.9261569324386268,-0.0028465932434517116
JPN__updated_main__C,2015,0.4112984431187065,5.39300057712095,10.736010048349293,3.164990795937875,0.653630586632584,-0.2423321435138775
JPN__updated_main__C,2016,0.8216190728758879,5.674382328161501,10.780184633729247,2.929240932529897,0.506170994667417,0.3154480782084709
JPN__updated_main__C,2017,0.359982847987546,5.951553934028465,10.835811011768737,2.891409513410439,0.43050007640192484,-0.07051722841437885
JPN__updated_main__C,2018,0.40484446291204496,6.17063993071869,10.908526753237249,2.956890415537674,0.5951859092432096,-0.19034144633116462
JPN__updated_main__C,2019,0.6556409662566212,6.363208897541072,10.939075881284436,2.5071504398904505,0.5436999683394825,0.11194099791713863
JPN__updated_main__D,2010,1.8222651613974585,3.682166724070565,10.512736686478211,4.456192445165693,1.9583027708207794,-0.13603760942332088
JPN__updated_main__D,2011,1.767657320186044,4.252328599622632,10.605641549672672,4.509679808932987,1.670004088560603,0.09765323162544104
JPN__updated_main__D,2012,1.5930233629950608,4.598290072191402,10.661010194065058,3.523311081544699,1.487385120361651,0.1056382426334097
JPN__updated_main__D,2013,1.2058067222315105,4.90117475518874,10.685852276792648,3.015723559908184,1.1465854027310058,0.05922131950050469
JPN__updated_main__D,2014,0.9233103391951751,5.151279397977148,10.713583311801187,3.26713839072327,0.9204295567173801,0.0028807824777949964
JPN__updated_main__D,2015,0.4112984431187065,5.39300057712095,10.736010048349293,3.164990795937875,0.6683632336052483,-0.2570647904865418
JPN__updated_main__D,2016,0.8216190728758879,5.674382328161501,10.780184633729247,2.929240932529897,0.5132606805409665,0.30835839233492135
JPN__updated_main__D,2017,0.359982847987546,5.951553934028465,10.835811011768737,2.891409513410439,0.45320858412695486,-0.09322573613940888
JPN__updated_main__D,2018,0.40484446291204496,6.17063993071869,10.908526753237249,2.956890415537674,0.6258133587231214,-0.22096889581107643
JPN__updated_main__D,2019,0.6556409662566212,6.363208897541072,10.939075881284436,2.5071504398904505,0.5220959029686156,0.13354506328800553
JPN__annual_difference__C,2011,-0.0546078412114146,0.570161875552067,0.09290486319446067,0.05348736376729324,-0.1575448294589619,0.1029369882475473
JPN__annual_difference__C,2012,-0.17463395719098318,0.34596147256876986,0.0553686443923862,-0.9863687273882875,-0.0022987825253763527,-0.17233517466560683
JPN__annual_difference__C,2013,-0.3872166407635502,0.3028846829973384,0.0248420827275897,-0.5075875216365149,-0.25442327985295604,-0.13279336091059418
JPN__annual_difference__C,2014,-0.2824963830363354,0.2501046427884077,0.02773103500853935,0.25141483081508564,-0.29418445644947666,0.011688073413141264
JPN__annual_difference__C,2015,-0.5120118960764686,0.2417211791438021,0.022426736548105453,-0.1021475947853947,-0.2661160189510583,-0.24589587712541028
JPN__annual_difference__C,2016,0.41032062975718137,0.2813817510405512,0.04417458537995422,-0.2357498634079782,-0.13068340469652662,0.5410040344537079
JPN__annual_difference__C,2017,-0.4616362248883419,0.27717160586696377,0.055626378039489666,-0.037831419119457976,-0.07338611812954265,-0.38825010675879923
JPN__annual_difference__C,2018,0.04486161492449897,0.21908599669022522,0.07271574146851201,0.06548090212723512,0.104121781272798,-0.05926016634829903
JPN__annual_difference__C,2019,0.2507965033445762,0.19256896682238178,0.03054912804718768,-0.44973997564722357,-0.09210908634973745,0.3429055896943137
JPN__annual_difference__D,2011,-0.0546078412114146,0.570161875552067,0.09290486319446067,0.05348736376729324,-0.12056954281418597,0.06596170160277137
JPN__annual_difference__D,2012,-0.17463395719098318,0.34596147256876986,0.0553686443923862,-0.9863687273882875,-0.1282966804119381,-0.04633727677904509
JPN__annual_difference__D,2013,-0.3872166407635502,0.3028846829973384,0.0248420827275897,-0.5075875216365149,-0.28283849749230994,-0.10437814327124029
JPN__annual_difference__D,2014,-0.2824963830363354,0.2501046427884077,0.02773103500853935,0.25141483081508564,-0.20768088806520493,-0.07481549497113046
JPN__annual_difference__D,2015,-0.5120118960764686,0.2417211791438021,0.022426736548105453,-0.1021475947853947,-0.23357757467889997,-0.27843432139756863
JPN__annual_difference__D,2016,0.41032062975718137,0.2813817510405512,0.04417458537995422,-0.2357498634079782,-0.13302991640389444,0.5433505461610758
JPN__annual_difference__D,2017,-0.4616362248883419,0.27717160586696377,0.055626378039489666,-0.037831419119457976,-0.05336793826728109,-0.4082682866210608
JPN__annual_difference__D,2018,0.04486161492449897,0.21908599669022522,0.07271574146851201,0.06548090212723512,0.12066224290819977,-0.0758006279837008
JPN__annual_difference__D,2019,0.2507965033445762,0.19256896682238178,0.03054912804718768,-0.44973997564722357,-0.12792539991532306,0.3787219032598993
KOR__updated_main__A,2010,1.0055040248703366,3.682166724070565,10.512763874058926,4.456192445165693,0.9248847838390315,0.08061924103130513
KOR__updated_main__A,2011,0.514894351690676,4.252328599622632,10.605666325206338,4.509679808932987,0.5790797380404733,-0.06418538634979731
KOR__updated_main__A,2012,0.19555570127704475,4.598290072191402,10.661033635112348,3.523311081544699,0.2917660783727772,-0.09621037709573244
KOR__updated_main__A,2013,0.09909722333078141,4.90117475518874,10.685875142695629,3.015723559908184,0.09257869555180884,0.006518527778972577
KOR__updated_main__A,2015,0.1294472909777189,5.39300057712095,10.736031795649817,3.164990795937875,-0.16616241430396658,0.2956097052816855
KOR__updated_main__A,2016,-0.6485567722247049,5.674382328161501,10.780205441271315,2.929240932529897,-0.3552658732286872,-0.2932908989960177
KOR__updated_main__A,2017,-0.5518535335372289,5.951553934028465,10.835830693477304,2.891409513410439,-0.5393208192222417,-0.012532714314987148
KOR__updated_main__A,2019,-0.7762639061153219,6.363208897541072,10.939093631999517,2.5071504398904505,-0.8597358087799097,0.08347190266458782
KOR__updated_main__B,2010,1.0055040248703366,3.682166724070565,10.512763874058926,4.456192445165693,0.9238425481478085,0.0816614767225281
KOR__updated_main__B,2011,0.514894351690676,4.252328599622632,10.605666325206338,4.509679808932987,0.5423321220539439,-0.027437770363267888
KOR__updated_main__B,2012,0.19555570127704475,4.598290072191402,10.661033635112348,3.523311081544699,0.31174748503051575,-0.116191783753471
KOR__updated_main__B,2013,0.09909722333078141,4.90117475518874,10.685875142695629,3.015723559908184,0.13123459238951618,-0.032137369058734766
KOR__updated_main__B,2015,0.1294472909777189,5.39300057712095,10.736031795649817,3.164990795937875,-0.17075855583419575,0.30020584681191465
KOR__updated_main__B,2016,-0.6485567722247049,5.674382328161501,10.780205441271315,2.929240932529897,-0.3575246579181943,-0.29103211430651055
KOR__updated_main__B,2017,-0.5518535335372289,5.951553934028465,10.835830693477304,2.891409513410439,-0.552444867609708,0.0005913340724791327
KOR__updated_main__B,2019,-0.7762639061153219,6.363208897541072,10.939093631999517,2.5071504398904505,-0.8606042859903482,0.0843403798750263
KOR__updated_main__C,2010,1.0055040248703366,3.682166724070565,10.512736686478211,4.456192445165693,0.9248850884675031,0.08061893640283357
KOR__updated_main__C,2011,0.514894351690676,4.252328599622632,10.605641549672672,4.509679808932987,0.5790794348246335,-0.06418508313395754
KOR__updated_main__C,2012,0.19555570127704475,4.598290072191402,10.661010194065058,3.523311081544699,0.2917655242621932,-0.09620982298514846
KOR__updated_main__C,2013,0.09909722333078141,4.90117475518874,10.685852276792648,3.015723559908184,0.09257862521258867,0.006518598118192748
KOR__updated_main__C,2015,0.1294472909777189,5.39300057712095,10.736010048349293,3.164990795937875,-0.16616190296708952,0.29560919394480845
KOR__updated_main__C,2016,-0.6485567722247049,5.674382328161501,10.780184633729247,2.929240932529897,-0.3552653981302085,-0.29329137409449635
KOR__updated_main__C,2017,-0.5518535335372289,5.951553934028465,10.835811011768737,2.891409513410439,-0.5393206230256908,-0.012532910511538042
KOR__updated_main__C,2019,-0.7762639061153219,6.363208897541072,10.939075881284436,2.5071504398904505,-0.8597363683746918,0.08347246225936988
KOR__updated_main__D,2010,1.0055040248703366,3.682166724070565,10.512736686478211,4.456192445165693,0.9238428047518443,0.0816612201184923
KOR__updated_main__D,2011,0.514894351690676,4.252328599622632,10.605641549672672,4.509679808932987,0.5423317985529206,-0.027437446862244586
KOR__updated_main__D,2012,0.19555570127704475,4.598290072191402,10.661010194065058,3.523311081544699,0.31174693409612253,-0.11619123281907778
KOR__updated_main__D,2013,0.09909722333078141,4.90117475518874,10.685852276792648,3.015723559908184,0.13123456393121202,-0.03213734060043061
KOR__updated_main__D,2015,0.1294472909777189,5.39300057712095,10.736010048349293,3.164990795937875,-0.1707579798631116,0.3002052708408305
KOR__updated_main__D,2016,-0.6485567722247049,5.674382328161501,10.780184633729247,2.929240932529897,-0.3575241285612627,-0.29103264366344217
KOR__updated_main__D,2017,-0.5518535335372289,5.951553934028465,10.835811011768737,2.891409513410439,-0.5524446601060795,0.0005911265688506306
KOR__updated_main__D,2019,-0.7762639061153219,6.363208897541072,10.939075881284436,2.5071504398904505,-0.860604952532487,0.08434104641716511
KOR__annual_difference__D,2011,-0.49060967317966064,0.570161875552067,0.09290486319446067,0.05348736376729324,-0.4841160737522258,-0.006493599427434826
KOR__annual_difference__D,2012,-0.31933865041363124,0.34596147256876986,0.0553686443923862,-0.9863687273882875,-0.30952714188464203,-0.00981150852898921
KOR__annual_difference__D,2013,-0.09645847794626333,0.3028846829973384,0.0248420827275897,-0.5075875216365149,-0.2816244222389648,0.18516594429270145
KOR__annual_difference__D,2016,-0.7780040632024238,0.2813817510405512,0.04417458537995422,-0.2357498634079782,-0.2593301680853355,-0.5186738951170883
KOR__annual_difference__D,2017,0.09670323868747599,0.27717160586696377,0.055626378039489666,-0.037831419119457976,-0.2531098200933344,0.34981305878081037
USA__updated_main__A,2010,1.1251235264312904,3.682166724070565,10.512763874058926,4.456192445165693,1.1065374644495218,0.018586061981768598
USA__updated_main__A,2011,1.0121245199443458,4.252328599622632,10.605666325206338,4.509679808932987,0.7453025380291289,0.2668219819152169
USA__updated_main__A,2012,0.3569511942516002,4.598290072191402,10.661033635112348,3.523311081544699,0.4583171896031814,-0.1013659953515812
USA__updated_main__A,2013,-0.1533604531897466,4.90117475518874,10.685875142695629,3.015723559908184,0.1593905863284583,-0.3127510395182049
USA__updated_main__A,2014,-0.1343671682116031,5.151279397977148,10.713605552327314,3.26713839072327,-0.023313884179590766,-0.11105328403201234
USA__updated_main__A,2015,-0.1413234108507973,5.39300057712095,10.736031795649817,3.164990795937875,-0.23486586147663133,0.09354245062583402
USA__updated_main__A,2016,-0.16757233602876334,5.674382328161501,10.780205441271315,2.929240932529897,-0.43479883077848946,0.26722649474972615
USA__updated_main__A,2017,-0.7961835122749041,5.951553934028465,10.835830693477304,2.891409513410439,-0.5833329749413102,-0.21285053733359394
USA__updated_main__A,2018,-0.5232843431649703,6.17063993071869,10.908545054584073,2.956890415537674,-0.6091353410726928,0.08585099790772255
USA__updated_main__A,2019,-0.7261858339880062,6.363208897541072,10.939093631999517,2.5071504398904505,-0.7633641607565025,0.037178326768496306
USA__updated_main__A,2020,-0.7731265254241907,6.566156825734936,10.990309486591185,2.4948890766393457,-0.8399370235825991,0.06681049815840845
USA__updated_main__A,2021,-0.903934598743685,6.751017535589894,11.049462947605978,3.442230801592228,-0.8115121246442876,-0.09242247409939741
USA__updated_main__A,2022,-0.896924640048022,6.952593472965691,11.132692972869016,3.62475566987548,-0.7788911120717965,-0.11803352797622546
USA__updated_main__A,2023,-0.9187655491935207,7.2503426514181,11.225127641533527,2.737118000531579,-0.8950906353947785,-0.023674913798742203
USA__updated_main__A,2024,-1.0615763195895638,7.530490596047716,11.254715294682578,1.547562508716013,-1.1977112795922027,0.13613496000263892
USA__updated_main__B,2010,1.1251235264312904,3.682166724070565,10.512763874058926,4.456192445165693,1.1046977528803836,0.0204257735509068
