model_id,year,y,x,fitted_log,residual_log
wind__FRA__main_level,2010,6.888795655169686,5.180162236673185,6.694377965898049,0.19441768927163672
wind__FRA__main_level,2011,6.735013869927218,5.376417249698097,6.743849322625263,-0.008835452698045643
wind__FRA__main_level,2012,6.729891878495179,5.56590362647905,6.791614462461401,-0.061722583966221656
wind__FRA__main_level,2013,6.730426614688513,5.677698971893068,6.819795487384912,-0.08936887269639904
wind__FRA__main_level,2014,6.586230268422836,5.830825584658366,6.858395170357498,-0.27216490193466125
wind__FRA__main_level,2015,6.76411100920898,6.002024865148459,6.901550555516973,-0.13743954630799315
wind__FRA__main_level,2016,6.767094137784942,6.114760027948734,6.929968486700647,-0.16287434891570474
wind__FRA__main_level,2017,7.105812744485049,6.2059349955659755,6.952951590561603,0.15286115392344612
wind__FRA__main_level,2018,7.271047801759849,6.290532398624406,6.974276642290948,0.29677115946890087
wind__FRA__main_level,2019,7.23581101620358,6.38729428375806,6.998668079040832,0.2371429371627478
wind__FRA__main_level,2020,6.976994380463577,6.5486992739946635,7.039354549803921,-0.062360169340344385
wind__FRA__main_level,2021,7.084564004111589,6.645448863841342,7.06374288719589,0.0208211169156991
wind__FRA__main_level,2022,7.2470836118506305,6.733146895042726,7.085849535678226,0.1612340761724047
wind__FRA__main_level,2023,6.919521843753792,6.849202095255681,7.115104371625039,-0.19558252787124708
wind__FRA__main_level,2024,7.069069550338609,6.955776347473294,7.141969279522828,-0.07289972918421839
wind__FRA__annual_difference,2011,-0.15378178524246788,0.19625501302491166,-0.13673371620665936,-0.017048069035808522
wind__FRA__annual_difference,2012,-0.0051219914320386195,0.1894863767809527,-0.12214744028565272,0.1170254488536141
wind__FRA__annual_difference,2013,0.0005347361933338846,0.11179534541401814,0.04527518064734479,-0.0447404444540109
wind__FRA__annual_difference,2014,-0.14419634626567657,0.15312661276529838,-0.04379287501729967,-0.1004034712483769
wind__FRA__annual_difference,2015,0.17788074078614358,0.17119928049009303,-0.08273911301284892,0.2606198537989925
wind__FRA__annual_difference,2016,0.0029831285759618353,0.11273516280027529,0.04324989295020476,-0.040266764374242925
wind__FRA__annual_difference,2017,0.3387186067001071,0.09117496761724109,0.08971168296457771,0.2490069237355294
wind__FRA__annual_difference,2018,0.16523505727480003,0.08459740305843066,0.10388620322021588,0.06134885405458415
wind__FRA__annual_difference,2019,-0.03523678555626919,0.09676188513365425,0.07767198729988015,-0.11290877285614934
wind__FRA__annual_difference,2020,-0.25881663574000324,0.16140499023660304,-0.06163261313034507,-0.19718402260965817
wind__FRA__annual_difference,2021,0.10756962364801215,0.09674958984667814,0.0776984833977494,0.029871140250262745
wind__FRA__annual_difference,2022,0.16251960773904184,0.0876980312013842,0.09720441149859343,0.0653151962404484
wind__FRA__annual_difference,2023,-0.3275617680968388,0.1160552002129549,0.03609527863441386,-0.36365704673125265
wind__FRA__annual_difference,2024,0.14954770658481742,0.10657425221761319,0.05652653220875023,0.09302117437606719
wind__GBR__main_level,2010,6.539819031184768,5.180162236673185,7.081723882293401,-0.5419048511086331
wind__GBR__main_level,2011,6.990795905365796,5.376417249698097,7.062086879331208,-0.07129097396541173
wind__GBR__main_level,2012,7.115145643456841,5.56590362647905,7.043127136673982,0.07201850678285915
wind__GBR__main_level,2013,7.168701994691411,5.677698971893068,7.031941050289651,0.13676094440175923
wind__GBR__main_level,2014,7.212947402122784,5.830825584658366,7.01661941492291,0.196327987199874
wind__GBR__main_level,2015,7.297671261208478,6.002024865148459,6.999489453622596,0.2981818075858822
wind__GBR__main_level,2016,7.1787901181590295,6.114760027948734,6.988209330420998,0.1905807877380319
wind__GBR__main_level,2017,7.193390955659793,6.2059349955659755,6.9790864902877345,0.2143044653720585
wind__GBR__main_level,2018,6.973448412432487,6.290532398624406,6.970621792093038,0.0028266203394489153
wind__GBR__main_level,2019,7.0430588642387475,6.38729428375806,6.960939932782999,0.08211893145574845
wind__GBR__main_level,2020,6.93334068700983,6.5486992739946635,6.944789974509135,-0.011449287499305072
wind__GBR__main_level,2021,7.113644014364283,6.645448863841342,6.935109345448367,0.17853466891591552
wind__GBR__main_level,2022,6.644731759519383,6.733146895042726,6.926334402724935,-0.2816026432055523
wind__GBR__main_level,2023,6.324333679561461,6.849202095255681,6.914722081208998,-0.5903884016475374
wind__GBR__main_level,2024,7.029039847764904,6.955776347473294,6.904058410130057,0.12498143763484659
wind__GBR__annual_difference,2011,0.45097687418102783,0.19625501302491166,0.2085440585262321,0.24243281565479574
wind__GBR__annual_difference,2012,0.12434973809104477,0.1894863767809527,0.1916189453928508,-0.06726920730180602
wind__GBR__annual_difference,2013,0.05355635123456981,0.11179534541401814,-0.0026490648740659095,0.05620541610863572
wind__GBR__annual_difference,2014,0.044245407431373174,0.15312661276529838,0.1007006130600655,-0.05645520562869233
wind__GBR__annual_difference,2015,0.08472385908569446,0.17119928049009303,0.1458916877225811,-0.061167828636886634
wind__GBR__annual_difference,2016,-0.11888114304944875,0.11273516280027529,-0.00029903231007377684,-0.11858211073937497
wind__GBR__annual_difference,2017,0.014600837500763575,0.09117496761724109,-0.05421074059197764,0.06881157809274122
wind__GBR__annual_difference,2018,-0.21994254322730633,0.08459740305843066,-0.07065807507524888,-0.14928446815205745
wind__GBR__annual_difference,2019,0.0696104518062608,0.09676188513365425,-0.04024053926574195,0.10985099107200275
wind__GBR__annual_difference,2020,-0.10971817722891775,0.16140499023660304,0.12140086495906771,-0.23111904218798546
wind__GBR__annual_difference,2021,0.1803033273544532,0.09674958984667814,-0.04027128388187695,0.22057461123633015
wind__GBR__annual_difference,2022,-0.4689122548449003,0.0876980312013842,-0.0629048910936349,-0.4060073637512654
wind__GBR__annual_difference,2023,-0.320398079957922,0.1160552002129549,0.008002789030497226,-0.32840086898841925
wind__GBR__annual_difference,2024,0.704706168203443,0.10657425221761319,-0.015704515018539256,0.7204106832219823
wind__IND__main_level,2012,5.850003508306317,5.56590362647905,5.99414349437879,-0.14413998607247258
wind__IND__main_level,2013,6.0276014488603815,5.677698971893068,6.013968765874827,0.013632682985554645
wind__IND__main_level,2014,6.412320265206864,5.830825584658366,6.04112353390294,0.3711967313039235
wind__IND__main_level,2015,6.112451204729751,6.002024865148459,6.071483225561594,0.04096797916815653
wind__IND__main_level,2016,5.9806799011435325,6.114760027948734,6.091475159943016,-0.1107952587994836
wind__IND__main_level,2017,6.133389735369891,6.2059349955659755,6.10764370864207,0.025746026727821558
wind__IND__main_level,2018,6.117822564944611,6.290532398624406,6.122645822346195,-0.004823257401583625
wind__IND__main_level,2019,6.029058261649329,6.38729428375806,6.139805129257756,-0.11074686760842667
wind__IND__main_level,2020,6.013066997244873,6.5486992739946635,6.168427946606774,-0.15536094936190104
wind__IND__main_level,2021,5.777290698247005,6.645448863841342,6.185585073128788,-0.4082943748817831
wind__IND__main_level,2022,6.329266723512846,6.733146895042726,6.201137037942678,0.12812968557016813
wind__IND__main_level,2023,6.4818756432005,6.849202095255681,6.221717732462901,0.26015791073759864
wind__IND__main_level,2024,6.334946796978281,6.955776347473294,6.240617119345929,0.09432967763235212
wind__IND__annual_difference,2013,0.17759794055406442,0.11179534541401814,0.046406947189249176,0.13119099336481524
wind__IND__annual_difference,2014,0.3847188163464823,0.15312661276529838,-0.015117203220560121,0.3998360195670424
wind__IND__annual_difference,2015,-0.29986906047711326,0.17119928049009303,-0.04201948806840983,-0.25784957240870343
wind__IND__annual_difference,2016,-0.13177130358621802,0.11273516280027529,0.04500797082255792,-0.17677927440877594
wind__IND__annual_difference,2017,0.15270983422635886,0.09117496761724109,0.07710165621652285,0.07560817800983602
wind__IND__annual_difference,2018,-0.015567170425279997,0.08459740305843066,0.0868927683014018,-0.1024599387266818
wind__IND__annual_difference,2019,-0.08876430329528251,0.09676188513365425,0.06878518358853425,-0.15754948688381676
wind__IND__annual_difference,2020,-0.015991264404456196,0.16140499023660304,-0.027440080628720442,0.011448816224264247
wind__IND__annual_difference,2021,-0.23577629899786778,0.09674958984667814,0.06880348588444063,-0.3045797848823084
wind__IND__annual_difference,2022,0.5519760252658408,0.0876980312013842,0.0822772913403245,0.4696987339255163
wind__IND__annual_difference,2023,0.1526089196876539,0.1160552002129549,0.04006588957912932,0.11254303010852457
wind__IND__annual_difference,2024,-0.14692884622221847,0.10657425221761319,0.05417886766749458,-0.20110771388971305
wind__ITA__main_level,2010,7.181790973546561,5.180162236673185,7.466139818354798,-0.2843488448082372
wind__ITA__main_level,2011,7.625266938116058,5.376417249698097,7.3951066556265515,0.23016028248950615
wind__ITA__main_level,2012,7.609819000463158,5.56590362647905,7.326523354597911,0.28329564586524736
wind__ITA__main_level,2013,6.905072053788346,5.677698971893068,7.286059792212136,-0.38098773842378986
wind__ITA__main_level,2014,7.071358650952638,5.830825584658366,7.230636659651431,-0.15927800869879327
wind__ITA__main_level,2015,7.233433830325268,6.002024865148459,7.168672248334875,0.06476158199039261
wind__ITA__main_level,2016,6.9732644480432135,6.114760027948734,7.12786852545942,-0.15460407741620674
wind__ITA__main_level,2017,7.67540029698143,6.2059349955659755,7.094868368104581,0.5805319288768489
wind__ITA__main_level,2018,7.093534563334056,6.290532398624406,7.064248915356774,0.02928564797728228
wind__ITA__main_level,2019,6.9645290856752515,6.38729428375806,7.029226611331763,-0.06469752565651188
wind__ITA__main_level,2020,7.224882019910623,6.5486992739946635,6.970807176536626,0.25407484337399744
wind__ITA__main_level,2021,6.870869922456801,6.645448863841342,6.935789322706834,-0.06491940025003373
wind__ITA__main_level,2022,6.862307290915211,6.733146895042726,6.904047618761243,-0.04174032784603199
wind__ITA__main_level,2023,6.768345225920726,6.849202095255681,6.862042231000068,-0.09369700507934198
wind__ITA__main_level,2024,6.625631405273868,6.955776347473294,6.823468407668207,-0.19783700239433877
wind__ITA__annual_difference,2011,0.44347596456949656,0.19625501302491166,0.2489875004959483,0.19448846407354825
