technology,iso3,country,year,tic,logC,logQ,logK,logM,source_sheet,source_cell,model_id,fitted_log_cost,residual
wind,KOR,Republic of Korea,2010,2887.8821309725517,7.968278685804673,5.180162236673185,4.822296444001899,5.619538317103914,Fig 2.7,C32,wind_KOR_2024,7.978754518896716,-0.010475833092042919
wind,KOR,Republic of Korea,2011,2678.6654025797284,7.893073965357592,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.7,D32,wind_KOR_2024,7.962323000816134,-0.069249035458542
wind,KOR,Republic of Korea,2012,2881.842191778824,7.966185018564379,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.7,E32,wind_KOR_2024,7.946458189119809,0.019726829444569383
wind,KOR,Republic of Korea,2015,2866.191290118574,7.960739350793932,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.7,H32,wind_KOR_2024,7.909943789267958,0.05079556152597409
wind,KOR,Republic of Korea,2016,2782.6874761523745,7.931172457754149,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.7,I32,wind_KOR_2024,7.90050499920946,0.030667458544689552
wind,KOR,Republic of Korea,2017,2724.3724308195046,7.909993379957389,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J32,wind_KOR_2024,7.892871343865792,0.017122036091596904
wind,KOR,Republic of Korea,2018,2687.7918823873456,7.8964752739385045,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.7,K32,wind_KOR_2024,7.885788397364199,0.010686876574305337
wind,KOR,Republic of Korea,2019,2629.416450157404,7.874517218482914,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.7,L32,wind_KOR_2024,7.877686975440863,-0.003169756957948522
wind,KOR,Republic of Korea,2021,2733.811884161581,7.913452208830906,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.7,N32,wind_KOR_2024,7.856072894939974,0.05737931389093198
wind,KOR,Republic of Korea,2022,2687.3214631918813,7.8963002379285,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.7,O32,wind_KOR_2024,7.8487303472867636,0.047569890641736556
wind,KOR,Republic of Korea,2023,2098.9723898784696,7.649203165793419,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.7,P32,wind_KOR_2024,7.8390135859605055,-0.1898104201670865
wind,KOR,Republic of Korea,2024,2614.551102421224,7.8688476992092955,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.7,Q32,wind_KOR_2024,7.830090620247442,0.03875707896185343
wind,MAR,Morocco,2011,2468.0406830333195,7.811179869100647,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.7,D23,wind_MAR_2024,7.9372950941110485,-0.12611522501040184
wind,MAR,Morocco,2012,2893.797635819946,7.9703249793214965,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.7,E23,wind_MAR_2024,7.851232606917142,0.11909237240435466
wind,MAR,Morocco,2013,2389.425398268113,7.778808196885563,5.677698971893068,5.271086410766464,5.570291277483226,Fig 2.7,F23,wind_MAR_2024,7.80045647384371,-0.021648276958146973
wind,MAR,Morocco,2014,2510.7245011094856,7.828326636335981,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.7,G23,wind_MAR_2024,7.730908164492721,0.0974184718432598
wind,MAR,Morocco,2016,1753.004591585226,7.469086504190608,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.7,I23,wind_MAR_2024,7.60194847459462,-0.1328619704040115
wind,MAR,Morocco,2017,1744.0910783356032,7.463988826921595,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J23,wind_MAR_2024,7.560537874971226,-0.09654904804963138
wind,MAR,Morocco,2018,2485.014729965892,7.818033866064828,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.7,K23,wind_MAR_2024,7.522114727930052,0.2959191381347752
wind,MAR,Morocco,2020,1581.6979014412022,7.366254170194334,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.7,M23,wind_MAR_2024,7.404858364792515,-0.03860419459818143
wind,MAR,Morocco,2021,1063.3299688864265,6.969160743049123,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.7,N23,wind_MAR_2024,7.360915837215343,-0.39175509416621956
