model_id,technology,iso3,country,fit_end,n,df_resid,first_year,last_year,observed_years,source_sheet,R2,adjusted_R2,RMSE_log,max_VIF,joint_F_HAC,joint_p_HAC,small_sample,outcome,inference,Q_definition,K_definition,imputed_observations
wind_ITA_2022,wind,ITA,Italy,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.7224607127005075,0.6972298684005536,0.14061778854890913,1.0,35.78648770878438,9.157699770197047e-05,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_JPN_2022,wind,JPN,Japan,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.7,0.00643429253271699,-0.08388986269158138,0.12994844572983655,1.0,0.09323666342406373,0.7658024253042991,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_KOR_2022,wind,KOR,Republic of Korea,2022,10,8,2010,2022,"2010,2011,2012,2015,2016,2017,2018,2019,2021,2022",Fig 2.7,0.3196015277849287,0.2345517187580448,0.0264597376616625,1.0,6.964950136884292,0.029753980605315124,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_MAR_2022,wind,MAR,Morocco,2022,10,8,2011,2022,"2011,2012,2013,2014,2016,2017,2018,2020,2021,2022",Fig 2.7,0.5163310211374794,0.45587239877966435,0.19683525990736495,1.0,12.701249824933104,0.007358975531026373,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_MEX_2022,wind,MEX,Mexico,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.7,0.8804099596762168,0.8695381378286002,0.08262105353741801,1.0,108.89245842206596,4.822444610720138e-07,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_NLD_2022,wind,NLD,Netherlands,2022,12,10,2010,2022,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.7,0.00036380216538856036,-0.09959981761807257,0.15146713245859825,1.0,0.003927269846376004,0.9512658505568085,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_NOR_2022,wind,NOR,Norway,2022,9,7,2012,2021,"2012,2013,2015,2016,2017,2018,2019,2020,2021",Fig 2.7,0.6685653037702712,0.6212174900231672,0.09616996612994363,1.0,23.425596540745524,0.0018777577070056587,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_NZL_2022,wind,NZL,New Zealand,2022,5,3,2011,2021,"2011,2014,2015,2020,2021",Fig 2.7,0.47409474160619425,0.298792988808259,0.2393585239190036,1.0,2.4765149161024573,0.21362053458413569,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_PAK_2022,wind,PAK,Pakistan,2022,8,6,2012,2022,"2012,2014,2015,2016,2017,2018,2021,2022",Fig 2.7,0.3640163277054437,0.2580190489896842,0.24562492662248944,1.0,4.258187267791933,0.08464102360235078,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_PAN_2022,wind,PAN,Panama,2022,4,2,2013,2016,"2013,2014,2015,2016",Fig 2.7,0.5013168634221414,0.25197529513321215,0.05560193814121946,1.0,4.934832920765165,0.15643563468657518,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_PER_2022,wind,PER,Peru,2022,4,2,2013,2018,"2013,2014,2015,2018",Fig 2.7,0.2934974896790711,-0.05975376548139333,0.26895856795845413,1.0,1.1547797365864843,0.39498651320269124,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_PHL_2022,wind,PHL,Philippines,2022,6,4,2013,2019,"2013,2014,2015,2016,2017,2019",Fig 2.7,0.5488670962791788,0.43608387034897356,0.1154752391525601,1.0,3.6507895530511436,0.12864152276141982,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_POL_2022,wind,POL,Poland,2022,11,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2020,2021,2022",Fig 2.6,0.8566250289416304,0.8406944766018115,0.07688228881810906,1.0,126.4233291948362,1.3378545230920187e-06,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_PRT_2022,wind,PRT,Portugal,2022,9,7,2010,2018,"2010,2011,2012,2013,2014,2015,2016,2017,2018",Fig 2.7,0.5682078128507477,0.5065232146865688,0.07493331515268545,1.0,8.040893399214408,0.025201339260651316,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_RUS_2022,wind,RUS,Russian Federation,2022,6,4,2015,2022,"2015,2018,2019,2020,2021,2022",Fig 2.7,0.9174003441223777,0.8967504301529721,0.06046427213685153,1.0,299.92055441498815,6.524487506637682e-05,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_SWE_2022,wind,SWE,Sweden,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.8793010905348803,0.8683284624016876,0.0875018917397134,1.0,78.60239237043531,2.4274889993540573e-06,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_TUR_2022,wind,TUR,Turkey,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.7299996805653188,0.7054541969803478,0.09576158904851008,1.0,28.624983480070604,0.00023372871045564727,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_UKR_2022,wind,UKR,Ukraine,2022,8,6,2011,2021,"2011,2012,2013,2014,2017,2019,2020,2021",Fig 2.7,0.10419574528995801,-0.04510496382838247,0.2744514534567239,1.0,0.491825507035478,0.509386135876944,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_URY_2022,wind,URY,Uruguay,2022,6,4,2011,2017,"2011,2012,2013,2014,2015,2017",Fig 2.7,0.6699902020372728,0.5874877525465909,0.108407200483135,1.0,8.634162865402649,0.04245697804866926,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_USA_2022,wind,USA,United States,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.9262602801469557,0.9195566692512245,0.060835959937069646,1.0,88.40447895858858,1.3636523796619244e-06,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_VNM_2022,wind,VNM,Viet Nam,2022,10,8,2011,2022,"2011,2012,2013,2015,2016,2017,2019,2020,2021,2022",Fig 2.7,0.4407300047639455,0.3708212553594388,0.14367149804920112,1.0,4.545278033806543,0.06559190449519753,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_ZAF_2022,wind,ZAF,South Africa,2022,10,8,2012,2022,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022",Fig 2.7,0.829863824959885,0.8085968030798706,0.06568570323269579,1.0,36.58439407107618,0.0003064223768633927,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
pv_AUS_2024,pv,AUS,Australia,2024,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",Figure 3.3,0.9681426696468303,0.9594543068232385,0.12812443978214763,3.059873062411847,110.2987595109265,1.7211323552697285e-08,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_BRA_2024,pv,BRA,Brazil,2024,13,9,2011,2024,"2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",Figure 3.3,0.965178080559108,0.9535707740788107,0.14366741471988956,4.352122964701991,399.4080667756347,6.878543483151449e-10,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_CHN_2024,pv,CHN,China,2024,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",Figure 3.3,0.9740792061141094,0.9670098986906847,0.10443747622609685,3.059873062411847,90.60896963290811,4.870750781739658e-08,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_DEU_2024,pv,DEU,Germany,2024,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",Figure 3.3,0.9711332194960022,0.96326046117673,0.09722225356427083,3.059873062411847,474.42139716501066,6.536626656801409e-12,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_ESP_2024,pv,ESP,Spain,2024,12,8,2010,2024,"2010,2011,2012,2013,2014,2015,2019,2020,2021,2022,2023,2024",Figure 3.3,0.957487967346959,0.9415459551020686,0.14542232965073273,3.151708451727761,170.03124825679146,1.3903612743840735e-07,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_FRA_2024,pv,FRA,France,2024,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",Figure 3.3,0.9094327197347739,0.8847325523897123,0.20923870795108443,3.059873062411847,21.96280028125238,5.997215014220716e-05,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_GRC_2024,pv,GRC,Greece,2024,11,7,2010,2024,"2010,2011,2012,2013,2017,2018,2020,2021,2022,2023,2024",Figure 3.3,0.9022922296003352,0.8604174708576217,0.23031010041789857,2.9000134735809744,85.83438453813402,6.947677109276261e-06,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_IND_2024,pv,IND,India,2024,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",Figure 3.3,0.9596579615412418,0.948655587416126,0.14931627262986705,3.059873062411847,103.96496561517364,2.3552596446285083e-08,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
