technology,iso3,year,supplier,price_model_supplier,trade_import_value,preborder_expenditure_share,quantity_share,baseline_price_usd_kw,duty_rate,policy_rent_rate,landed_expenditure_share,beta,price_basis,domestic
pv,AUS,2011,AUT,OTHER,144869.0,7.197589402707949e-05,6.0861506348120346e-05,2308.2131329981794,0.0,0.0,7.197589402707947e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,BEL,OTHER,27181.0,1.3504454200346848e-05,1.1419120750804238e-05,2308.2131329981794,0.0,0.0,1.3504454200346848e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,BRA,OTHER,1806.0,8.972828183593837e-07,7.587260246478222e-07,2308.2131329981794,0.0,0.0,8.972828183593837e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,BRN,OTHER,11388.0,5.657949465933921e-06,4.784259118875637e-06,2308.2131329981794,0.0,0.0,5.6579494659339206e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,CAN,OTHER,2296990.0,0.0011412235110428133,0.0009649978357451834,2308.2131329981794,0.0,0.0,0.0011412235110428133,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,CHE,OTHER,20312953.0,0.010092172600798283,0.008533757518575888,2308.2131329981794,0.0,0.0,0.01009217260079828,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,CHN,CHN,1157980654.0,0.5753245541676425,0.648298168582043,1732.0867985017794,0.0,0.0,0.5753245541676425,-0.5094069001785779,approved national/OEM proxy equation,False
pv,AUS,2011,CRI,OTHER,1518.0,7.541945283884521e-07,6.377331702189337e-07,2308.2131329981794,0.0,0.0,7.54194528388452e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,CZE,OTHER,10708317.0,0.005320259611099502,0.0044987147220812256,2308.2131329981794,0.0,0.0,0.005320259611099502,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,DEU,DEU,46435239.0,0.02307062132951914,0.02078207826072952,2166.715308567403,0.0,0.0,0.02307062132951914,-0.3874765003794204,approved national/OEM proxy equation,False
pv,AUS,2011,DNK,OTHER,128280.0,6.37339091578858e-05,5.389223391020079e-05,2308.2131329981794,0.0,0.0,6.373390915788578e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,DOM,OTHER,11092.0,5.510886501241575e-06,4.659905351823722e-06,2308.2131329981794,0.0,0.0,5.510886501241574e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,ESP,OTHER,86010.0,4.273272159861052e-05,3.613401183829412e-05,2308.2131329981794,0.0,0.0,4.273272159861051e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,EST,OTHER,1423.0,7.069952660716517e-07,5.978223328205154e-07,2308.2131329981794,0.0,0.0,7.069952660716516e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,FIN,OTHER,6636.0,3.2969926814135494e-06,2.7878770207989745e-06,2308.2131329981794,0.0,0.0,3.296992681413549e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,FJI,OTHER,1854.0,9.211308666878723e-07,7.788915003859702e-07,2308.2131329981794,0.0,0.0,9.211308666878721e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,FRA,OTHER,468590.0,0.00023281160346346822,0.000196861255752892,2308.2131329981794,0.0,0.0,0.0002328116034634682,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,GBR,OTHER,2016390.0,0.0010018117951891903,0.0008471138254925925,2308.2131329981794,0.0,0.0,0.0010018117951891901,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,HKG,OTHER,7493066.0,0.003722812502011558,0.003147942513069634,2308.2131329981794,0.0,0.0,0.003722812502011558,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,HUN,OTHER,67499.0,3.3535821127596924e-05,2.8357280142692884e-05,2308.2131329981794,0.0,0.0,3.353582112759692e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,IDN,OTHER,368582.0,0.0001831241947710622,0.00015484648705246047,2308.2131329981794,0.0,0.0,0.0001831241947710622,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,IND,OTHER,20072694.0,0.009972803679061734,0.008432821330338978,2308.2131329981794,0.0,0.0,0.009972803679061734,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,IRL,OTHER,15938.0,7.91854571373857e-06,6.695778173220924e-06,2308.2131329981794,0.0,0.0,7.91854571373857e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,ISR,OTHER,638032.0,0.00031699620773171334,0.0002680462253367106,2308.2131329981794,0.0,0.0,0.00031699620773171334,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,ITA,OTHER,932976.0,0.000463534515360833,0.00039195635192238457,2308.2131329981794,0.0,0.0,0.000463534515360833,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,JPN,JPN,66466421.0,0.033022800421451455,0.013168102038377505,4894.656887329767,0.0,0.0,0.033022800421451455,-0.5739927583121232,approved national/OEM proxy equation,False
pv,AUS,2011,KOR,KOR,42612745.0,0.02117147504519919,0.023019717777828352,1795.0752493346295,0.0,0.0,0.02117147504519919,-0.6035999212061967,approved national/OEM proxy equation,False
pv,AUS,2011,MAC,OTHER,23598.0,1.172429675949321e-05,9.91385200976706e-06,2308.2131329981794,0.0,0.0,1.172429675949321e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,MAR,OTHER,2335.0,1.1601081843129352e-06,9.809663718453292e-07,2308.2131329981794,0.0,0.0,1.160108184312935e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,MEX,OTHER,10563955.0,0.0052485356120828925,0.004438066213570589,2308.2131329981794,0.0,0.0,0.005248535612082892,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,MLI,OTHER,845897.0,0.00042027067785257343,0.00035537323813483875,2308.2131329981794,0.0,0.0,0.0004202706778525733,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,MYS,OTHER,21230842.0,0.010548211376468868,0.008919375609405327,2308.2131329981794,0.0,0.0,0.010548211376468868,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,NCL,OTHER,49042.0,2.4365749710952876e-05,2.0603234607297062e-05,2308.2131329981794,0.0,0.0,2.4365749710952873e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,NLD,OTHER,1952794.0,0.0009702151184913036,0.0008203962505958579,2308.2131329981794,0.0,0.0,0.0009702151184913036,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,NOR,OTHER,1366.0,6.786757086815716e-07,5.738758303814647e-07,2308.2131329981794,0.0,0.0,6.786757086815716e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,NZL,OTHER,292151.0,0.0001451506493170057,0.00012273674796616052,2308.2131329981794,0.0,0.0,0.0001451506493170057,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,PAK,OTHER,10480.0,5.206823885053345e-06,4.402795536162334e-06,2308.2131329981794,0.0,0.0,5.2068238850533444e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,PHL,OTHER,4018952.0,0.0019967533651224154,0.001688418313516287,2308.2131329981794,0.0,0.0,0.001996753365122415,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,POL,OTHER,1302980.0,0.0006473652085636267,0.0005474002411935876,2308.2131329981794,0.0,0.0,0.0006473652085636267,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,PRK,OTHER,3167.0,1.573474355340071e-06,1.3305012846398963e-06,2308.2131329981794,0.0,0.0,1.573474355340071e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,PRT,OTHER,166265.0,8.260616156950329e-05,6.985026715839987e-05,2308.2131329981794,0.0,0.0,8.260616156950329e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,ROU,OTHER,2563.0,1.2733864138732561e-06,1.076752381601533e-06,2308.2131329981794,0.0,0.0,1.2733864138732561e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,RUS,OTHER,17571.0,8.72987619124736e-06,7.381824462395838e-06,2308.2131329981794,0.0,0.0,8.729876191247358e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,S19,OTHER,19746043.0,0.009810512245008627,0.008295590646686023,2308.2131329981794,0.0,0.0,0.009810512245008627,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,SGP,OTHER,51023162.0,0.025350059026006316,0.021435548654054164,2308.2131329981794,0.0,0.0,0.025350059026006313,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,SRB,OTHER,48644.0,2.4168009643562492e-05,2.0436029204301587e-05,2308.2131329981794,0.0,0.0,2.4168009643562495e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,SVN,OTHER,35131.0,1.7454287204752774e-05,1.4759027669935018e-05,2308.2131329981794,0.0,0.0,1.745428720475277e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,SWE,OTHER,365088.0,0.00018138825558648431,0.00015337860846435442,2308.2131329981794,0.0,0.0,0.0001813882555864843,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,THA,OTHER,4058710.0,0.0020165065048191664,0.001705121209024564,2308.2131329981794,0.0,0.0,0.002016506504819166,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,TLS,OTHER,2046.0,1.0165230600018268e-06,8.595534033385627e-07,2308.2131329981794,0.0,0.0,1.0165230600018268e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,TUR,OTHER,193488.0,9.613148281213757e-05,8.128703270047499e-05,2308.2131329981794,0.0,0.0,9.613148281213757e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,USA,USA,14252895.0,0.007081327682934866,0.006955736243018333,1987.0240461343935,0.0,0.0,0.007081327682934866,-0.4906304306778069,approved national/OEM proxy equation,False
pv,AUS,2011,ZAF,OTHER,37145.0,1.845491156586894e-05,1.560513742278148e-05,2308.2131329981794,0.0,0.0,1.845491156586894e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
