year,cost,Q_global,Q_domestic,H_domestic,H_global,technology,iso3,country,country_cn
2016,1519.04573836107,298.67803,19.110999999999997,226.92365000000004,48058.99673100001,pv,ITA,Italy,意大利
2017,1157.90884526729,395.8847000000001,19.49929,210.23128500000004,50808.097057900006,pv,ITA,Italy,意大利
2018,1036.4459520977,496.0207700000001,19.911589999999997,197.20815650000003,54640.287352110005,pv,ITA,Italy,意大利
2019,988.655656329996,603.5674000000001,20.620269999999998,184.48734085000004,56335.258616899,pv,ITA,Italy,意大利
2020,918.8087537918,739.6403700000001,21.354039999999998,172.03860676500003,59295.7327552091,pv,ITA,Italy,意大利
2021,891.502947972413,890.1477300000001,22.280949999999997,154.83474608850003,62909.15947968819,pv,ITA,Italy,意大利
2022,818.4876080028,1087.63105,24.555249999999997,143.35127147965002,68369.24353171937,pv,ITA,Italy,意大利
2023,840.961775166903,1458.89454,29.351399999999998,142.016144331685,74990.31917854745,pv,ITA,Italy,意大利
2024,804.160222542566,1927.59936,35.437149999999995,127.81452989851651,77242.28726069271,pv,ITA,Italy,意大利
2011,6644.27650186486,71.71798000000001,4.914000000000001,7868.5,40361.9,pv,JPN,Japan,日本
2012,4666.39775055437,101.86881,6.632000000000001,8639.650000000001,42659.71,pv,JPN,Japan,日本
2013,3986.82062706933,137.82325,13.599,8915.685000000001,43732.739,pv,JPN,Japan,日本
2014,3654.82914695912,177.21617,23.339,8927.1165,44962.4651,pv,JPN,Japan,日本
2015,2644.69849885132,225.65821,34.15,8698.404849999999,45982.218590000004,pv,JPN,Japan,日本
2016,2901.88161598011,298.67803,42.04,8392.564364999998,48058.99673100001,pv,JPN,Japan,日本
2017,2632.30062488997,395.8847000000001,49.499629999999996,7913.3079284999985,50808.097057900006,pv,JPN,Japan,日本
2018,2502.24115461206,496.0207700000001,56.161629999999995,7454.977135649999,54640.287352110005,pv,JPN,Japan,日本
2019,2465.18395962979,603.5674000000001,63.192,7031.479422084999,56335.258616899,pv,JPN,Japan,日本
2020,2156.08494520225,739.6403700000001,71.868,6594.3314798764995,59295.7327552091,pv,JPN,Japan,日本
2021,1923.33351729355,890.1477300000001,78.413,6156.8983318888495,62909.15947968819,pv,JPN,Japan,日本
2022,2022.73230931396,1087.63105,83.057,5684.208498699964,68369.24353171937,pv,JPN,Japan,日本
2023,1920.03748046382,1458.89454,87.068,5263.787648829968,74990.31917854745,pv,JPN,Japan,日本
2024,1911.45068262187,1927.59936,89.60133,4946.408883946971,77242.28726069271,pv,JPN,Japan,日本
2010,7012.58447961614,40.84068000000001,0.651,8631.2,36781.0,pv,KOR,South Korea,韩国
2011,7012.58447961614,71.71798000000001,0.735,9563.080000000002,40361.9,pv,KOR,South Korea,韩国
2012,3628.13738769587,101.86881,1.039,9866.772000000003,42659.71,pv,KOR,South Korea,韩国
2013,3171.06402321165,137.82325,1.559,9890.094800000003,43732.739,pv,KOR,South Korea,韩国
2014,2633.44817638635,177.21617,2.4379999999999997,9944.085320000002,44962.4651,pv,KOR,South Korea,韩国
2015,2490.69564675298,225.65821,3.4669999999999996,10006.676788000002,45982.218590000004,pv,KOR,South Korea,韩国
2016,2457.94402366806,298.67803,4.337999999999999,10153.009109200002,48058.99673100001,pv,KOR,South Korea,韩国
2017,1883.09547564746,395.8847000000001,5.633469999999999,10166.708198280003,50808.097057900006,pv,KOR,South Korea,韩国
2018,1579.14310749748,496.0207700000001,7.701439999999998,10456.037378452003,54640.287352110005,pv,KOR,South Korea,韩国
2019,1491.08710387654,603.5674000000001,10.847369999999998,10713.433640606803,56335.258616899,pv,KOR,South Korea,韩国
2020,1116.6038568461,739.6403700000001,14.755589999999998,10835.090276546123,59295.7327552091,pv,KOR,South Korea,韩国
2021,1068.21464090682,890.1477300000001,17.905119999999997,10934.58124889151,62909.15947968819,pv,KOR,South Korea,韩国
2022,1420.23407700099,1087.63105,20.525099999999995,10755.12312400236,68369.24353171937,pv,KOR,South Korea,韩国
2023,1234.05254630052,1458.89454,23.528219999999997,10517.610811602124,74990.31917854745,pv,KOR,South Korea,韩国
2024,1262.22277580071,1927.59936,26.680249999999997,10321.849730441912,77242.28726069271,pv,KOR,South Korea,韩国
2010,5552.42853873787,40.84068000000001,2.909,5220.1,36781.0,pv,USA,United States,美国
2011,5343.33232482995,71.71798000000001,5.172,5480.09,40361.9,pv,USA,United States,美国
2012,5205.80705359121,101.86881,8.137,5624.081,42659.71,pv,USA,United States,美国
2013,4196.912593836,137.82325,11.759,5679.6729000000005,43732.739,pv,USA,United States,美国
2014,3436.43223050615,177.21617,15.984,5725.705610000001,44962.4651,pv,USA,United States,美国
2015,3062.16272905855,225.65821,21.684,5739.135049000001,45982.218590000004,pv,USA,United States,美国
2016,2651.78788340436,298.67803,32.958,5763.221544100002,48058.99673100001,pv,USA,United States,美国
2017,2230.0258302833,395.8847000000001,41.35676,5692.899389690002,50808.097057900006,pv,USA,United States,美国
2018,1844.19493900247,496.0207700000001,49.81223,5623.609450721002,54640.287352110005,pv,USA,United States,美国
2019,1453.14897230574,603.5674000000001,59.0684,5487.248505648902,56335.258616899,pv,USA,United States,美国
2020,1317.40120308377,739.6403700000001,74.04558,5310.523655084012,59295.7327552091,pv,USA,United States,美国
2021,1233.00808608258,890.1477300000001,93.30566,5112.471289575611,62909.15947968819,pv,USA,United States,美国
2022,1187.4554201637,1087.63105,111.36192,4857.2241606180505,68369.24353171937,pv,USA,United States,美国
2023,1135.01208663956,1458.89454,138.44660000000002,4691.501744556245,74990.31917854745,pv,USA,United States,美国
2024,1058.0371018079,1927.59936,176.11430000000001,4524.351570100621,77242.28726069271,pv,USA,United States,美国
2011,4377.59877619106,221.11285,2.127,32.59,2122.1000000000004,wind,AUS,Australia,澳大利亚
2012,3732.39830854832,267.19999,2.561,46.331,2481.8900000000003,wind,AUS,Australia,澳大利亚
2013,2770.43446866893,299.29465,3.221,51.697900000000004,2662.7010000000005,wind,AUS,Australia,澳大利亚
2014,3022.04804932794,349.29432,3.797,73.52811,2952.4309000000003,wind,AUS,Australia,澳大利亚
2015,2819.85719300265,414.4271000000001,4.3180000000000005,78.175299,3063.1878100000004,wind,AUS,Australia,澳大利亚
2016,2630.94508525333,464.41934,4.683000000000001,81.3577691,3152.8690290000004,wind,AUS,Australia,澳大利亚
2017,2043.25394456332,509.19595,5.407000000000001,86.22199219,3262.5821261000006,wind,AUS,Australia,澳大利亚
2018,1901.99600558962,554.56437,6.409000000000001,88.599792971,3259.3239134900005,wind,AUS,Australia,澳大利亚
2019,1851.1415536093,611.45324,7.881,85.7398136739,3176.3915221410007,wind,AUS,Australia,澳大利亚
2020,2042.66739524511,720.13004,10.207,78.16583230651,3084.752369926901,wind,AUS,Australia,澳大利亚
2021,1411.90640499006,794.46893,10.555000000000001,72.349249075859,3041.277132934211,wind,AUS,Australia,澳大利亚
2022,1444.46938604744,867.46678,11.966000000000001,74.11432416827311,2991.14941964079,wind,AUS,Australia,澳大利亚
2023,1609.68760460235,972.92029,12.908000000000001,73.7028917514458,2880.034477676711,wind,AUS,Australia,澳大利亚
2024,1380.57799856771,1084.72598,15.563,69.33260257630123,2791.03102990904,wind,AUS,Australia,澳大利亚
2011,3076.06217673347,221.11285,1.5269100000000002,44.99,2122.1000000000004,wind,BRA,Brazil,巴西
2012,3123.63556835357,267.19999,1.90069,56.491,2481.8900000000003,wind,BRA,Brazil,巴西
2013,3115.40619138378,299.29465,2.2512600000000003,57.8419,2662.7010000000005,wind,BRA,Brazil,巴西
2014,2646.23317098064,349.29432,5.029540000000001,67.05771,2952.4309000000003,wind,BRA,Brazil,巴西
2015,2296.04475210592,414.4271000000001,7.682370000000001,68.351939,3063.1878100000004,wind,BRA,Brazil,巴西
2016,2406.8480453672,464.41934,10.322330000000001,66.51674510000001,3152.8690290000004,wind,BRA,Brazil,巴西
2017,2065.99242804992,509.19595,12.451020000000002,61.86507059000001,3262.5821261000006,wind,BRA,Brazil,巴西
2018,2097.0308683719,554.56437,14.514010000000003,60.67856353100001,3259.3239134900005,wind,BRA,Brazil,巴西
2019,1855.59122911607,611.45324,15.456630000000002,56.61070717790001,3176.3915221410007,wind,BRA,Brazil,巴西
2020,1704.89312220067,720.13004,17.21655,50.949636460110014,3084.752369926901,wind,BRA,Brazil,巴西
2021,1306.2151398149,794.46893,21.002390000000002,46.85467281409901,3041.277132934211,wind,BRA,Brazil,巴西
2022,1117.20979956023,867.46678,24.195740000000004,43.16920553268911,2991.14941964079,wind,BRA,Brazil,巴西
2023,1099.17469400253,972.92029,29.112880000000004,38.852284979420205,2880.034477676711,wind,BRA,Brazil,巴西
2024,1307.04473613539,1084.72598,32.920190000000005,34.96705648147819,2791.03102990904,wind,BRA,Brazil,巴西
2011,2958.62482699869,221.11285,5.265000000000001,40.400000000000006,2122.1000000000004,wind,CAN,Canada,加拿大
2012,3223.16081765542,267.19999,6.2010000000000005,56.36000000000001,2481.8900000000003,wind,CAN,Canada,加拿大
2013,3108.9060807525,299.29465,7.801,68.724,2662.7010000000005,wind,CAN,Canada,加拿大
2014,2909.72081381377,349.29432,9.694,82.8516,2952.4309000000003,wind,CAN,Canada,加拿大
2015,3005.71689648444,414.4271000000001,11.214,93.56644,3063.1878100000004,wind,CAN,Canada,加拿大
2016,2815.12407569075,464.41934,11.973,95.209796,3152.8690290000004,wind,CAN,Canada,加拿大
2017,2471.41829063157,509.19595,12.25,88.6888164,3262.5821261000006,wind,CAN,Canada,加拿大
2018,2210.71492193368,554.56437,12.816,89.81993476,3259.3239134900005,wind,CAN,Canada,加拿大
2019,2894.33075683252,611.45324,13.22,81.837941284,3176.3915221410007,wind,CAN,Canada,加拿大
2020,1658.650703711,720.13004,13.532,73.6541471556,3084.752369926901,wind,CAN,Canada,加拿大
2021,1553.97058555404,794.46893,13.878,69.28873244004001,3041.277132934211,wind,CAN,Canada,加拿大
2022,1819.99775997507,867.46678,15.237,68.35985919603601,2991.14941964079,wind,CAN,Canada,加拿大
2023,1454.15804070276,972.92029,16.137,64.52387327643241,2880.034477676711,wind,CAN,Canada,加拿大
2024,1237.52795562761,1084.72598,17.397000000000002,58.071485948789174,2791.03102990904,wind,CAN,Canada,加拿大
2011,1717.25585247907,221.11285,46.019999999999996,371.05,2122.1000000000004,wind,CHN,China,中国
2012,1679.93039265851,267.19999,61.13234,435.945,2481.8900000000003,wind,CHN,China,中国
2013,1595.82606257792,299.29465,76.103,458.3505,2662.7010000000005,wind,CHN,China,中国
2014,1620.23100159053,349.29432,96.13,510.51545000000004,2952.4309000000003,wind,CHN,China,中国
2015,1573.00753989136,414.4271000000001,130.191,514.4639050000001,3063.1878100000004,wind,CHN,China,中国
2016,1567.42157246435,464.41934,146.69420000000002,543.0175145000001,3152.8690290000004,wind,CHN,China,中国
2017,1485.12986708924,509.19595,161.21609,576.7157630500001,3262.5821261000006,wind,CHN,China,中国
2018,1538.80137005922,554.56437,179.67573000000002,588.044186745,3259.3239134900005,wind,CHN,China,中国
