technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,R2,adj_R2,RMSE_log,AIC,AICc,BIC,VIF,correlation_logQ_logH,condition_standardized,a,b,g,p_HAC_b,p_HAC_g,covariance_HAC,rolling_RMSE_log,rolling_MAE_log,rolling_test_N
pv,USA,United States,美国,G0,global,none,2010,2024,15,2,13,0.9609229361770781,0.9579170081906996,0.11726021969954875,-15.732635418984245,-13.550817237166063,-13.608484815677615,1.0,,1.0,10.813207058976845,-0.5264940718427473,,8.92732724332227e-09,,"[[0.062290872400758146, -0.010081759258358355], [-0.010081759258358365, 0.001671683874751651]]",0.16206170970224204,0.14342348420115908,7
pv,USA,United States,美国,D0,domestic,none,2010,2024,15,2,13,0.9564507868587554,0.9531008473863519,0.1237883852021518,-14.107296269216235,-11.925478087398053,-11.983145665909605,1.0,,1.0000000000000002,9.40870609973541,-0.48256345447955584,,1.724302409146504e-08,,"[[0.025182043370705592, -0.006091205264657928], [-0.006091205264657935, 0.0015661856811059398]]",0.1798361015091157,0.14766336030581342,7
pv,USA,United States,美国,GD,global,domestic,2010,2024,15,3,12,0.9617935871268902,0.9554258516480386,0.11594656148360889,-14.07062013042183,-10.07062013042183,-11.23841932601299,1.6382201330055846,-0.6241645812333775,2.078816546158464,8.200103582638349,-0.5138334075046227,0.2957363251730918,8.889191498462893e-07,0.6787314308887749,"[[38.70417777935657, -0.25101468971327034, -4.3312876352860386], [-0.25101468971210905, 0.0031287667640601553, 0.02707703341862336], [-4.331287635267387, 0.027077033418664992, 0.48540955056321167]]",0.22836441126432563,0.20383915387501655,7
pv,USA,United States,美国,DD,domestic,domestic,2010,2024,15,3,12,0.9643484046779099,0.9584064721242282,0.11200288914714018,-15.108762365754146,-11.108762365754146,-12.276561561345305,1.4935187237264769,-0.5748393389343025,1.9246049150718745,2.0001905770974275,-0.4517583285674057,0.8504521747740608,3.4074613075863873e-07,0.1967319690409737,"[[29.68936763057604, -0.16870867515482654, -3.389394534258927], [-0.16870867515473023, 0.0020221511684318906, 0.01883969626829806], [-3.389394534262107, 0.01883969626832375, 0.38712756777563967]]",0.22521984201435508,0.19075243878450682,7
pv,USA,United States,美国,DG,domestic,global,2010,2024,15,3,12,0.9606326409409421,0.9540714144310991,0.11769496446330534,-13.621615457082527,-9.621615457082527,-10.789414652673686,14.008792824432613,0.9636473741793158,7.349602607640655,16.118874630275883,-0.36747651248218505,-0.6540764332938904,0.012520343221439571,0.2899658814492527,"[[36.04423324309298, 0.7182401424472729, -3.54622673838362], [0.7182401424505702, 0.015691418895160056, -0.07113456428618298], [-3.546226738431204, -0.07113456428667654, 0.34907110749798187]]",0.2478340110632911,0.2183089021873798,7
pv,USA,United States,美国,GG,global,global,2010,2024,15,3,12,0.96092349259703,0.9544107413632017,0.11725938485998205,-13.732849006134444,-9.732849006134444,-10.900648201725604,24.27058139257344,0.9791822381801047,9.75047728088076,10.716565714637753,-0.528426726109088,0.009930820793426776,0.013020425347088273,0.9903974640212417,"[[59.95426136386925, 1.3655996790823455, -6.254772825840185], [1.365599679107543, 0.03291828300882427, -0.14346881300521863], [-6.254772825891841, -0.14346881300364545, 0.6531004977599775]]",0.25039276935796345,0.21887182930505414,7
wind,AUS,Australia,澳大利亚,G0,global,none,2011,2024,14,2,12,0.9178557874156478,0.9110104363669518,0.10133929178410103,-18.369590959477044,-15.969590959477044,-16.45241897063127,1.0,,1.000000000000001,12.124563593369706,-0.707018681207963,,2.1220112392277773e-08,,"[[0.11678101439619286, -0.01864558306115492], [-0.018645583061155248, 0.002996456826668519]]",0.13083172766263299,0.10738868509189484,7
wind,AUS,Australia,澳大利亚,D0,domestic,none,2011,2024,14,2,12,0.9144398849972939,0.9073098754137351,0.10342488799202997,-17.799191259702823,-15.399191259702823,-15.882019270857048,1.0,,1.0000000000000002,8.701406018060469,-0.5533944905808312,,1.4918406231283116e-08,,"[[0.005993732390726417, -0.002995191393126438], [-0.0029951913931264345, 0.001724516896542209]]",0.1549757015140803,0.1199626157564471,7
wind,AUS,Australia,澳大利亚,GD,global,domestic,2011,2024,14,3,11,0.9201637213095127,0.9056480342748787,0.09990552863935166,-16.768568157732055,-12.32412371328761,-14.212338839271021,1.7210211485299773,0.6472631733305672,2.1610065980910407,12.290093567827356,-0.6769143247275045,-0.08338239131170644,1.7226807212981968e-06,0.5166096366981936,"[[0.1284821653985163, -0.005290475007485834, -0.02267115860612581], [-0.005290475007485604, 0.005435012541106201, -0.006792081929960354], [-0.022671158606121854, -0.0067920819299603, 0.015483126704755401]]",0.16164247696010645,0.12650590796673367,7
wind,AUS,Australia,澳大利亚,DD,domestic,domestic,2011,2024,14,3,11,0.9217185332265447,0.9074855392677347,0.09892791515112036,-17.043908138053816,-12.599463693609371,-14.487678819592782,1.6131616131248419,0.6165219446021413,2.053149360278543,9.239953450412234,-0.5147337565574748,-0.1433619385042273,6.982740445054495e-07,0.23877231622296816,"[[0.17439981402310945, 0.013665041424714523, -0.04755138562215305], [0.013665041424714568, 0.0026194212658685687, -0.0043408525052565875], [-0.047551385622152983, -0.004340852505256601, 0.013245717738863617]]",0.2043069495931968,0.16744223326486476,7
wind,AUS,Australia,澳大利亚,DG,domestic,global,2011,2024,14,3,11,0.9271619280573167,0.9139186422495561,0.09542641315330434,-18.052917469848715,-13.60847302540427,-15.496688151387682,1.395863091175375,0.5325386019591568,1.8106430185303222,11.908795240030528,-0.5123260523756245,-0.4115051038521331,8.76054729459171e-08,0.06158636370759482,"[[2.302898924158957, 0.03829507327266271, -0.29988475489302435], [0.03829507327268638, 0.0017250829640311728, -0.00520235873807979], [-0.2998847548929068, -0.005202358738076027, 0.03910080988409263]]",0.17814068710247757,0.14263882907016864,7
wind,AUS,Australia,澳大利亚,GG,global,global,2011,2024,14,3,11,0.924174819836342,0.9103884234429496,0.09736348373197919,-17.49023444169216,-13.045789997247715,-14.934005123231126,1.4630943686788829,0.5625985138185423,1.8900947521613298,14.242628888757359,-0.6670974703464221,-0.2969182175002114,3.106558109282695e-07,0.204492593121123,"[[2.2498605581412066, 0.05157972271895517, -0.3247666524772512], [0.051579722718962516, 0.0037460581667001377, -0.009448722172852964], [-0.32476665247730324, -0.009448722172852858, 0.04845466868370291]]",0.15458653688579982,0.1217535624497825,7
