technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,year,actual_log,fitted_log,residual_log
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2019,7.81002171234527,7.791251719481689,0.018769992863580498
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2020,7.676049330697207,7.719947801907702,-0.04389847121049506
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2021,7.56181516648059,7.654985984844338,-0.09317081836374719
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2022,7.612204504790829,7.584711975636527,0.027492529154302225
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2023,7.5600999859061995,7.481713130983389,0.07838685492281083
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2024,7.555617752448869,7.384003381797676,0.17161437065119323
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2011,8.801511086644002,8.710459948235165,0.09105113840883661
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2012,8.448142693387702,8.595351743226628,-0.14720904983892602
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2013,8.290749356920925,8.319657844887395,-0.028908487966470275
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2014,8.203804626073271,8.112287674448556,0.0915169516247154
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2015,7.880312348703021,7.966151023625846,-0.08583867492282504
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2016,7.9731146386699665,7.886348409008761,0.08676622966120551
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2017,7.875613505105813,7.823636413071322,0.05197709203449108
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2018,7.824942071119181,7.775158524392628,0.04978354672655261
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2019,7.81002171234527,7.7298766958823695,0.08014501646290029
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2020,7.676049330697207,7.680483217352649,-0.0044338866554420875
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2021,7.56181516648059,7.64702068915249,-0.08520552267189974
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2022,7.612204504790829,7.624930546431781,-0.012726041640951813
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2023,7.5600999859061995,7.6068236766173465,-0.046723690711147015
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,2024,7.555617752448869,7.595812372959902,-0.0401946205110324
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2011,8.801511086644002,8.773431067861175,0.028080018782826954
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2012,8.448142693387702,8.479774597119267,-0.0316319037315651
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2013,8.290749356920925,8.280657837264544,0.01009151965638111
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2014,8.203804626073271,8.142339378979734,0.061465247093536846
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2015,7.880312348703021,8.039196512102661,-0.15888416339964007
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2016,7.9731146386699665,7.9257715098740125,0.04734312879595404
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2017,7.875613505105813,7.836807162228856,0.03880634287695628
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2018,7.824942071119181,7.7794302859210855,0.04551178519809529
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2019,7.81002171234527,7.736692112623898,0.07332959972137143
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2020,7.676049330697207,7.696357762887789,-0.020308432190581982
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2021,7.56181516648059,7.670751320965834,-0.10893615448524319
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2022,7.612204504790829,7.649225052279686,-0.03702054748885697
