technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,term,coefficient,se_OLS,p_OLS,se_HAC,t_HAC,p_HAC,CI_HAC_lower,CI_HAC_upper,q_BH_within_technology_spec,q_BH_all_explored_slopes_technology
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,a,-20.14335232873337,6.613003470170083,0.01015954735410918,5.543291076668374,-3.6338254748188183,0.0034266095320162255,-32.22114604513716,-8.065558612329578,,
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,b,-1.1991589334053367,0.13501887154178072,1.2698085657547163e-06,0.11007083089711164,-10.894429737940715,1.408633883411079e-07,-1.4389826719356762,-0.9593351948749974,3.098994543504374e-06,7.542021381310849e-07
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,g,3.175275266502343,0.6793427986888325,0.0005377460298949525,0.5679091250449461,5.591167893720746,0.00011778242958985163,1.9379075787714883,4.412642954233197,0.0002591213450976736,0.0002491551395169938
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,a,10.036871712134063,0.21052524827969427,4.743818756603168e-15,0.3101259051313156,32.36386108372399,4.78751981894789e-13,9.361165411222974,10.712578013045153,,
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,b,-0.35072152032765014,0.034650719588814965,3.1423088990803496e-07,0.04928056831826977,-7.116831893304836,1.2189138242103062e-05,-0.45809465483260087,-0.2433483858226994,1.2189138242103062e-05,3.437962068285479e-05
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,a,9.321705222334593,0.0862863974119136,2.650187282422725e-19,0.09445410616609354,98.69031216009571,7.836567908196e-19,9.115907404005519,9.527503040663667,,
pv,JPN,Japan,日本,D0,domestic,none,2011,2024,14,2,12,b,-0.3839267483113341,0.023124286047302937,1.210912607303509e-09,0.024447041998844784,-15.704425440487897,2.2969660528061293e-09,-0.43719227706573754,-0.3306612195569307,8.422208860289141e-09,3.397256815540957e-08
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,a,20.939248692077122,2.215194498855562,1.293777007005941e-06,1.6063963695310215,13.034920328032252,4.948744294179249e-08,17.40359412152822,24.474903262626025,,
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,b,-0.5446071231069392,0.04421945286407211,8.901372812084484e-08,0.026296417991891197,-20.71031587932908,3.67410893463865e-10,-0.6024851488704299,-0.4867290973434484,8.08303965620503e-09,8.08303965620503e-09
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,g,-1.0967703245466902,0.22250437597836123,0.0004502310796097394,0.16621291349080308,-6.598586725377249,3.871226903323218e-05,-1.4626024805540987,-0.7309381685392817,8.51669918731108e-05,9.678067258308045e-05
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,a,7.865012155708079,1.4287831260306079,0.00018492536859608376,1.118970777979592,7.02879137729504,2.186022037814609e-05,5.402174078808525,10.327850232607634,,
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,b,-0.3614596032070405,0.03188515561558809,2.0830626993631192e-07,0.037609289927920515,-9.610912726610637,1.0975204248483025e-06,-0.4442370922196507,-0.27868211419443034,4.02424155777711e-06,3.894427313977848e-06
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,g,0.15488860125215975,0.15164467257764963,0.3290073357571818,0.11289764743870134,1.3719382535075209,0.1974136932344156,-0.09359744536869866,0.40337464787301813,0.24952818849917383,0.2238711985132548
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,a,12.133584877385779,1.958976507307118,6.774593353309517e-05,1.2746319824826668,9.519284816431929,1.2068038499558893e-06,9.32813879937432,14.939030955397238,,
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,b,-0.3319742189230328,0.04241306435108512,8.034931690377034e-06,0.04322426515537655,-7.6802744414439035,9.606020133904351e-06,-0.4271101850855071,-0.23683825276055853,7.04441476486319e-05,2.780690038761786e-05
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,g,-0.2753477604412975,0.1916578995187664,0.17864071129116518,0.12961810139503663,-2.1243002133021616,0.05714210889178574,-0.5606352780899001,0.009939757207305111,0.07394861150701684,0.07308874393135385
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,a,-9.968064464377576,5.505660179622885,0.09758763743265883,5.39277426841347,-1.8484112199471192,0.09158193754199642,-21.837480600832805,1.9013516720776522,,
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,b,-0.774406973771788,0.1190876332210597,4.410572674860152e-05,0.12091819603801013,-6.404387421793461,5.0498549073454784e-05,-1.0405461288354492,-0.5082678187081269,0.00014768416836484982,0.00012075739995826145
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,g,2.069500313185168,0.5693512938725188,0.003923312773153773,0.5599203198166004,3.6960621716015316,0.003525711742956258,0.8371239984399319,3.3018766279304046,0.005966589103464436,0.005788481966047587
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,a,10.644237883658732,0.2781884051847147,9.503458413286257e-15,0.3671833406711239,28.98889111963412,3.3712979559582625e-13,9.85098650329819,11.437489264019275,,
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,b,-0.5073088071787785,0.04677586923250924,6.961291156629446e-08,0.06460790438576951,-7.852116734040331,2.7413282706001696e-06,-0.6468856987734249,-0.367731915584132,3.230847401668009e-06,8.615603136171962e-06
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,a,8.425958640809704,0.07672791921494024,1.1111204586753779e-20,0.11140032275508555,75.63675250146481,1.4052347358025766e-18,8.185292875209976,8.666624406409431,,
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,b,-0.4561678626920816,0.03736025444782769,1.6967357847648416e-08,0.05332691066010461,-8.554177563362092,1.0661140527551925e-06,-0.5713736490280682,-0.34096207635609493,1.4659068225383898e-06,3.894427313977848e-06
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,a,45.577266077686744,12.799440498225922,0.003917504046825493,12.732568696628272,3.5795813997654786,0.003785178838927315,17.835382046902243,73.31915010847125,,
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,b,-0.3314467317051131,0.07491974703894669,0.0008297225118739859,0.08179772926799021,-4.052028518043687,0.0016044808297779323,-0.509668673671545,-0.15322478973868114,0.0029415481879262093,0.0028014744646916276
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,g,-3.8973369557977264,1.4277564801067926,0.018276877468541113,1.4260044688236417,-2.733046803852423,0.01816373454013129,-7.004333787628044,-0.7903401239674088,0.026640143992192562,0.02594819220018756
pv,KOR,South Korea,韩国,DD,domestic,domestic,2010,2024,15,3,12,a,41.475635895345704,11.278726288564282,0.0031642261228592974,7.507763658843205,5.524366213431959,0.00013103726711971084,25.117624113377367,57.83364767731404,,
pv,KOR,South Korea,韩国,DD,domestic,domestic,2010,2024,15,3,12,b,-0.31196189102198124,0.0574735814728442,0.00015301880764831684,0.05990743865225131,-5.20739824703318,0.0002192141282935688,-0.44248898694978056,-0.18143479509418195,0.0006028388528073142,0.00044654729837578826
pv,KOR,South Korea,韩国,DD,domestic,domestic,2010,2024,15,3,12,g,-3.6074139564230734,1.231069210835948,0.012596732670691772,0.8253444277033573,-4.370798221127191,0.0009109086854513407,-5.405684984394359,-1.8091429284517875,0.0018218173709026815,0.0016161283128975402
pv,KOR,South Korea,韩国,DG,domestic,global,2010,2024,15,3,12,a,-6.717081739003419,7.688880908559674,0.399476085626038,5.708172805659315,-1.176748141251756,0.2621110401721323,-19.15412188190976,5.719958403902922,,
pv,KOR,South Korea,韩国,DG,domestic,global,2010,2024,15,3,12,b,-0.7001059962158831,0.1283848330216496,0.00014690859945985153,0.12479345921444593,-5.610117714685801,0.00011428574817441657,-0.9720075862103963,-0.42820440622136985,0.0005028572919674329,0.00024649867253305534
