group,model_id,term,coefficient_error,SE_error
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,const,2.842170943040401e-14,1.0771561420597209e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,logQ,4.440892098500626e-16,2.1045665210550624e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,logG,3.552713678800501e-15,1.4128365144472355e-11
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,logM,1.0824674490095276e-15,1.4434980988298207e-13
PV_G_Material_Sensitivity_0915,pv_DEU_2024_B,const,1.7053025658242404e-13,2.247713126735107e-11
PV_G_Material_Sensitivity_0915,pv_DEU_2024_B,logQ,2.6645352591003757e-15,6.66799948589869e-13
PV_G_Material_Sensitivity_0915,pv_DEU_2024_B,logG,1.7763568394002505e-14,5.404565683875262e-13
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,const,2.842170943040401e-14,4.2715253556480093e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,logQ,1.3322676295501878e-15,8.073125501439904e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,logG,6.8833827526759706e-15,4.332578740218196e-11
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,logM,1.1518563880486e-15,5.771425004574837e-13
PV_G_Material_Sensitivity_0915,pv_DEU_2024_D,const,5.728750807065808e-14,1.2589040920829575e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2024_D,logQ,3.9968028886505635e-15,2.635780482762584e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2024_D,logG,5.329070518200751e-15,1.2527534565265341e-11
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,const,1.7053025658242404e-13,2.545412769450195e-10
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,logQ,3.3306690738754696e-15,7.524036949035917e-12
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,logG,1.0658141036401503e-14,2.5139001991192345e-11
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,logM,2.7200464103316335e-15,4.230296668517042e-13
PV_G_Material_Sensitivity_0915,pv_IND_2024_B,const,2.717825964282383e-13,3.660538538952096e-11
PV_G_Material_Sensitivity_0915,pv_IND_2024_B,logQ,4.440892098500626e-15,1.5617784843158233e-12
PV_G_Material_Sensitivity_0915,pv_IND_2024_B,logG,3.375077994860476e-14,1.6411316750009064e-11
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,const,8.526512829121202e-14,3.9754866065777605e-11
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,logQ,4.440892098500626e-16,6.554756737386924e-13
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,logG,0.0,1.174282893146028e-12
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,logM,2.6506574712925612e-15,1.314226505400029e-13
PV_G_Material_Sensitivity_0915,pv_IND_2024_D,const,1.9895196601282805e-13,1.2851408826008992e-10
PV_G_Material_Sensitivity_0915,pv_IND_2024_D,logQ,5.551115123125783e-15,2.7479407638253406e-12
PV_G_Material_Sensitivity_0915,pv_IND_2024_D,logG,1.7763568394002505e-14,8.422151864806438e-12
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,const,1.7763568394002505e-15,1.1454925896714485e-10
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,logQ,3.1086244689504383e-15,1.89637194836223e-12
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,logG,1.0658141036401503e-14,1.2504441926353138e-11
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,logM,2.6922908347160046e-15,8.124750872084974e-14
PV_G_Material_Sensitivity_0915,pv_JPN_2024_B,const,1.4210854715202004e-14,3.12733838825352e-10
PV_G_Material_Sensitivity_0915,pv_JPN_2024_B,logQ,4.440892098500626e-15,5.733746810676621e-12
PV_G_Material_Sensitivity_0915,pv_JPN_2024_B,logG,8.881784197001252e-15,3.111000346223136e-11
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,const,3.019806626980426e-14,7.01918523304812e-11
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,logQ,8.881784197001252e-16,9.173772852477668e-13
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,logG,7.105427357601002e-15,2.301381307745487e-12
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,logM,4.184153024056059e-15,2.7824964554667986e-15
PV_G_Material_Sensitivity_0915,pv_JPN_2024_D,const,1.723066134218243e-13,4.9750426001082815e-11
PV_G_Material_Sensitivity_0915,pv_JPN_2024_D,logQ,6.661338147750939e-16,6.646072581162343e-13
PV_G_Material_Sensitivity_0915,pv_JPN_2024_D,logG,3.9968028886505635e-15,2.5960344984810035e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,const,2.8421709430404007e-13,1.1175238512350916e-10
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,logQ,1.1546319456101628e-14,3.582911745070305e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,logG,3.5083047578154947e-14,1.666666804567285e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,logM,4.520689378395559e-15,1.2526091275333329e-13
PV_G_Material_Sensitivity_0915,pv_KOR_2024_B,const,3.694822225952521e-13,1.3135093013261212e-10
PV_G_Material_Sensitivity_0915,pv_KOR_2024_B,logQ,3.9968028886505635e-15,2.7919333511761124e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_B,logG,2.3092638912203256e-14,2.1038282227436866e-11
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,const,2.2737367544323206e-13,1.8467005702405004e-11
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,logQ,4.884981308350689e-15,1.0393352845028403e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,logG,5.329070518200751e-15,1.3018475186754586e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,logM,3.9794556538907955e-15,7.048528427588963e-14
PV_G_Material_Sensitivity_0915,pv_KOR_2024_D,const,1.4210854715202004e-13,1.6256862522823212e-10
PV_G_Material_Sensitivity_0915,pv_KOR_2024_D,logQ,4.218847493575595e-15,2.567723811353062e-12
PV_G_Material_Sensitivity_0915,pv_KOR_2024_D,logG,1.5987211554602254e-14,2.594591208548991e-12
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,const,1.7053025658242404e-13,3.79363207514416e-10
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,logQ,4.440892098500626e-15,3.73007180698437e-12
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,logG,2.1316282072803006e-14,3.1547542356236136e-11
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,logM,1.582067810090848e-15,6.164097010596947e-13
PV_G_Material_Sensitivity_0915,pv_USA_2024_B,const,3.410605131648481e-13,7.619682662607374e-11
PV_G_Material_Sensitivity_0915,pv_USA_2024_B,logQ,5.773159728050814e-15,1.7038592758922277e-12
PV_G_Material_Sensitivity_0915,pv_USA_2024_B,logG,3.90729115729016e-14,3.4854341635082164e-12
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,const,8.526512829121202e-14,2.6415403198143395e-10
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,logQ,8.881784197001252e-16,4.288236432614667e-12
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,logG,1.071365218763276e-14,2.5510260570626997e-11
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,logM,1.5265566588595902e-16,9.079889617957804e-13
PV_G_Material_Sensitivity_0915,pv_USA_2024_D,const,2.7000623958883807e-13,2.2358292994795192e-10
PV_G_Material_Sensitivity_0915,pv_USA_2024_D,logQ,5.329070518200751e-15,4.5166370643556775e-12
PV_G_Material_Sensitivity_0915,pv_USA_2024_D,logG,2.65898414397725e-14,2.4343194127141032e-11
PV_Module_Price_Updated_0915,CHN__updated_main__A,const,4.263256414560601e-14,6.722178369500398e-11
PV_Module_Price_Updated_0915,CHN__updated_main__A,logQ,1.0824674490095276e-15,5.93872173659804e-13
PV_Module_Price_Updated_0915,CHN__updated_main__A,logG,7.549516567451064e-15,6.901590410279823e-12
