group,model_id,term,n,coefficient,SE_HAC,p_HAC_raw,R2
PV_Module_Price_Updated_0915,DEU__updated_main__C,const,14,-3.2760554126203303,5.40650623113466,0.5580525537345609,0.9777481870789362
PV_Module_Price_Updated_0915,DEU__updated_main__C,logQ,14,-0.49065852681638333,0.13979799837827928,0.005633839106804192,0.9777481870789362
PV_Module_Price_Updated_0915,DEU__updated_main__C,logG,14,0.481718821125972,0.5801391767342516,0.42572031724058323,0.9777481870789362
PV_Module_Price_Updated_0915,DEU__updated_main__C,logM,14,0.22686799780426353,0.03754179062782696,0.00012474914221210793,0.9777481870789362
PV_Module_Price_Updated_0915,DEU__updated_main__D,const,14,-16.770080847899152,6.711939247360975,0.02958278925173886,0.9562734104458036
PV_Module_Price_Updated_0915,DEU__updated_main__D,logQ,14,-0.8650398801570535,0.14893040533631746,0.0001178412321317402,0.9562734104458036
PV_Module_Price_Updated_0915,DEU__updated_main__D,logG,14,1.9909569409494097,0.6959987981123608,0.015500682507018287,0.9562734104458036
PV_Module_Price_Updated_0915,DEU__new_source_old_years__A,const,8,37.269881226619056,47.51770269510233,0.47668768069642886,0.9710412672002501
PV_Module_Price_Updated_0915,DEU__new_source_old_years__A,logQ,8,0.011351718101248243,0.6335231476266879,0.9865621024677191,0.9710412672002501
PV_Module_Price_Updated_0915,DEU__new_source_old_years__A,logG,8,-3.5392154854643865,4.733304484209504,0.49618792890718477,0.9710412672002501
PV_Module_Price_Updated_0915,DEU__new_source_old_years__A,logM,8,0.21303185506869438,0.06524719749343054,0.030934694333137336,0.9710412672002501
PV_Module_Price_Updated_0915,DEU__new_source_old_years__B,const,8,35.88528458908439,47.57927358736803,0.48470081113913854,0.955045029818263
PV_Module_Price_Updated_0915,DEU__new_source_old_years__B,logQ,8,-0.1945496499623235,0.6187612538081524,0.7658999915130484,0.955045029818263
PV_Module_Price_Updated_0915,DEU__new_source_old_years__B,logG,8,-3.245233245221433,4.7363711701500515,0.5237008691314287,0.955045029818263
PV_Module_Price_Updated_0915,DEU__new_source_old_years__C,const,8,37.269518649977584,47.51609949713036,0.47667780302508905,0.9710414956118493
PV_Module_Price_Updated_0915,DEU__new_source_old_years__C,logQ,8,0.011359270841240443,0.633518495690135,0.986553064181372,0.9710414956118493
PV_Module_Price_Updated_0915,DEU__new_source_old_years__C,logG,8,-3.5391924968658532,4.733162259467977,0.49617840533164964,0.9710414956118493
PV_Module_Price_Updated_0915,DEU__new_source_old_years__C,logM,8,0.21303143996436166,0.06524702969966951,0.0309346349986085,0.9710414956118493
PV_Module_Price_Updated_0915,DEU__new_source_old_years__D,const,8,35.8852373489941,47.57766080046942,0.48468730773990387,0.9550453138152145
PV_Module_Price_Updated_0915,DEU__new_source_old_years__D,logQ,8,-0.19453860475790408,0.6187571795771114,0.7659112887521331,0.9550453138152145
PV_Module_Price_Updated_0915,DEU__new_source_old_years__D,logG,8,-3.2452408748984096,4.73622850528501,0.5236879640408018,0.9550453138152145
