model_id,year,logp,logQ,logG,fitted,residual
nordex_global__difference_plus_lnG,2017,-0.1520412106465674,0.09117496761724198,0.03420610391749612,-0.12695831218163856,-0.025082898464928838
nordex_global__difference_plus_lnG,2018,-0.033128008596581715,0.08459740305842978,-0.0009991597122933626,-0.0657137408139066,0.032585732217324886
nordex_global__difference_plus_lnG,2019,-0.14374995971126925,0.09676188513365425,-0.02577397435021389,-0.021818750481797766,-0.12193120922947148
nordex_global__difference_plus_lnG,2020,-0.008921133677346482,0.16140499023660393,-0.0292744259522717,-0.012635418024084494,0.0037142843467380116
nordex_global__difference_plus_lnG,2021,0.011534525606331947,0.09674958984667725,-0.014193848353496463,-0.04206712250470807,0.05360164811104002
nordex_global__difference_plus_lnG,2022,-0.01740800835799483,0.0876980312013842,-0.016619801898457354,-0.038254221251597206,0.020846212893602376
nordex_global__difference_plus_lnG,2023,-0.015612145904921881,0.1160552002129549,-0.03785546932448636,0.00021980351644784735,-0.01583194942136973
nordex_global__difference_plus_lnG,2024,0.040566019756691496,0.10657425221761319,-0.03139119315303418,-0.011532159790373427,0.05209817954706492
sgre_global__experience_only,2016,7.135743197695702,6.114760027948734,8.056068120147582,7.057894748892611,0.07784844880309105
sgre_global__experience_only,2017,7.04476108981515,6.205934995565976,8.090274224065078,7.022026722574214,0.022734367240936137
sgre_global__experience_only,2018,6.967525172448601,6.290532398624406,8.089275064352785,6.988746295296124,-0.021221122847522977
sgre_global__experience_only,2019,6.90181493070398,6.38729428375806,8.063501090002571,6.950680388246268,-0.04886545754228866
sgre_global__experience_only,2020,6.826829914891703,6.548699273994664,8.0342266640503,6.88718402966207,-0.060354114770366785
sgre_global__experience_only,2021,6.777273878536515,6.645448863841342,8.020032815696803,6.849122959550338,-0.07184908101382348
sgre_global__experience_only,2022,6.819708171121091,6.733146895042726,8.003413013798346,6.8146227521643805,0.005085418956710441
sgre_global__experience_only,2023,6.8169215586185805,6.849202095255681,7.965557544473859,6.768966898541265,0.0479546600773153
sgre_global__experience_only,2024,6.775707709540408,6.955776347473294,7.934166351320825,6.727040828444347,0.048666881096061765
sgre_global__experience_plus_lnG,2016,7.135743197695702,6.114760027948734,8.056068120147582,7.146997264799332,-0.011254067103629417
sgre_global__experience_plus_lnG,2017,7.04476108981515,6.205934995565976,8.090274224065078,7.005678233531096,0.039082856284053946
sgre_global__experience_plus_lnG,2018,6.967525172448601,6.290532398624406,8.089275064352785,6.9441155952270925,0.023409577221508826
sgre_global__experience_plus_lnG,2019,6.90181493070398,6.38729428375806,8.063501090002571,6.926037376289987,-0.02422244558600717
sgre_global__experience_plus_lnG,2020,6.826829914891703,6.548699273994664,8.0342266640503,6.866733077903323,-0.03990316301162
sgre_global__experience_plus_lnG,2021,6.777273878536515,6.645448863841342,8.020032815696803,6.824058465794721,-0.04678458725820622
