scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn,quantity_S0,consumer_price_S0,expenditure_2024USD_bn_S0,real_consumption_2024USD_bn_S0,quantity_gap,quantity_pct,consumer_price_gap,consumer_price_pct,expenditure_2024USD_bn_gap,expenditure_2024USD_bn_pct,real_consumption_2024USD_bn_gap,real_consumption_2024USD_bn_pct
S1_NO_CN,2030,Australia_Oceania,Petro,7.900813631691999,2.9064045722626504,29.38653814616193,10.110960291988231,7.935711381943195,2.8837136107284564,29.28589718755132,10.155620219878976,-0.034897750251196236,-0.4397557896397553,0.02269096153419392,0.7868659859209093,0.10064095861060807,0.34364990755136554,-0.04465992789074491,-0.43975578963976975
S2_CAPACITY,2030,Australia_Oceania,Petro,7.3222608942142,2.981889262471587,27.941984782729865,9.370565184831865,7.935711381943195,2.8837136107284564,29.28589718755132,10.155620219878976,-0.6134504877289952,-7.730251998892396,0.09817565174313048,3.4044868872512715,-1.343912404821456,-4.588940527294886,-0.7850550350471117,-7.730251998892364
S1_NO_CN,2030,Australia_Oceania,Power,10.512238342091376,2.6359356262367424,35.4609642482888,13.452894636479908,10.848757572255916,2.470061080523571,34.29321790596189,13.8835505633367,-0.3365192301645408,-3.1019149236511527,0.16587454571317117,6.71540258745388,1.1677463423269145,3.405181588759279,-0.430655926856792,-3.1019149236511327
S2_CAPACITY,2030,Australia_Oceania,Power,9.76694152067338,2.7846837874501444,34.806072104127395,12.4991111238579,10.848757572255916,2.470061080523571,34.29321790596189,13.8835505633367,-1.0818160515825372,-9.971796718447473,0.31462270692657324,12.737446430267369,0.5128541981655061,1.4954974466725277,-1.3844394394788004,-9.971796718447441
S1_NO_CN,2030,Australia_Oceania,WatWaste,8.686611819797115,1.513338469527377,16.823138813504936,11.1165738234618,8.690414582856775,1.5105162120594149,16.79911595930715,11.121440357982143,-0.003802763059660208,-0.04375813171401239,0.0028222574679621637,0.1868405943233367,0.024022854197784937,0.14300070465598308,-0.004866534520342469,-0.043758131714024186
S2_CAPACITY,2030,Australia_Oceania,WatWaste,8.567565188843163,1.4242270897578193,15.615546986719275,10.964225509885967,8.690414582856775,1.5105162120594149,16.79911595930715,11.121440357982143,-0.1228493940136115,-1.4136194866462581,-0.08628912230159558,-5.712558502364585,-1.1835689725878762,-7.045424148835332,-0.15721484809617614,-1.4136194866462508
S1_NO_CN,2030,Australia_Oceania,OthServ,796.7110486215714,1.499036431711963,1528.387825144413,1019.5801693617158,796.945838125643,1.497579769426357,1527.3526169866366,1019.8806380482488,-0.23478950407161392,-0.02946116195597699,0.0014566622856060363,0.09726775931034418,1.0352081577764238,0.06777794114228969,-0.3004686865330086,-0.02946116195597332
S2_CAPACITY,2030,Australia_Oceania,OthServ,775.3713558651,1.4118010341671323,1400.889210899502,992.2709867008076,796.945838125643,1.497579769426357,1527.3526169866366,1019.8806380482488,-21.57448226054305,-2.707145357742832,-0.08577873525922475,-5.727824120653152,-126.46340608713467,-8.279908953614028,-27.609651347441172,-2.707145357742835
S1_NO_CN,2030,Australia_Oceania,Transport,29.01776676087579,1.3567672025502793,50.38367758163527,37.1350947345595,29.055639655635343,1.353936036403912,50.3441636173962,37.18356205964202,-0.03787289475955191,-0.1303461056387601,0.0028311661463673587,0.20910634404022566,0.039513964239070276,0.07848767642534914,-0.04846732508251961,-0.13034610563877275
S2_CAPACITY,2030,Australia_Oceania,Transport,27.38144431039828,1.3125495636410625,45.99309190607951,35.04103319924186,29.055639655635343,1.353936036403912,50.3441636173962,37.18356205964202,-1.674195345237063,-5.7620323113841785,-0.04138647276284946,-3.056752435127805,-4.351071711316685,-8.642653683520907,-2.142528860400162,-5.76203231138418
S1_NO_CN,2030,China,Rice,30.02876084013653,2.21977111383698,85.30336207667165,38.42889996353494,30.023860404550785,2.222424300254882,85.39138369800943,38.42262869746755,0.004900435585746266,0.016321803791105743,-0.0026531864179020204,-0.11938253274128328,-0.08802162133778779,-0.1030802143329593,0.006271266067386705,0.016321803791108248
S2_CAPACITY,2030,China,Rice,30.20418935308177,2.099993976847998,81.17191186221082,38.65340222690218,30.023860404550785,2.222424300254882,85.39138369800943,38.42262869746755,0.1803289485309847,0.6006187948557469,-0.12243032340688398,-5.508863604166084,-4.219471835798615,-4.941332079499931,0.2307735294346287,0.6006187948557488
S1_NO_CN,2030,China,Crops nec,231.7431824543805,2.1744990511130906,644.8916161547023,296.5702023957285,231.69899580185933,2.17727018859218,645.5903342627316,296.5136551249841,0.044186652521176484,0.019070713866607917,-0.002771137479089525,-0.12727577374681912,-0.6987181080293112,-0.10822933227884396,0.0565472707443746,0.019070713866630944
S2_CAPACITY,2030,China,Crops nec,233.0354334566196,2.063509937822314,615.3880631522212,298.22394313244064,231.69899580185933,2.17727018859218,645.5903342627316,296.5136551249841,1.3364376547602603,0.576799070766424,-0.11376025076986629,-5.224902787256895,-30.202271110510424,-4.678240907215814,1.7102880074565405,0.5767990707664487
S1_NO_CN,2030,China,"Bovine cattle, sheep and goats, horses",14.67714757064647,2.174852114139843,40.849988040519065,18.78288080913426,14.671269521301408,2.177218212753456,40.87805238255734,18.77535845510006,0.005878049345062308,0.04006503552080406,-0.0023660986136131434,-0.10867530869222412,-0.028064342038277346,-0.06865381397243964,0.0075223540341973205,0.040065035520821066
S2_CAPACITY,2030,China,"Bovine cattle, sheep and goats, horses",14.880157260910394,2.067039136866729,39.361964235625614,19.042679710587876,14.671269521301408,2.177218212753456,40.87805238255734,18.77535845510006,0.20888773960898632,1.423787759509833,-0.11017907588672715,-5.060543552379498,-1.5160881469317289,-3.708807192533085,0.2673212554878148,1.4237877595098631
S1_NO_CN,2030,China,Animal products nec,214.67761464520044,2.3626729716393284,649.0989639666449,274.73076926917867,214.5900599234887,2.365325860509023,649.5627665737287,274.6187223001047,0.08755472171174006,0.0408009214140475,-0.002652888869694614,-0.11215743733185697,-0.46380260708383503,-0.07140227718566301,0.11204696907395828,0.04080092141405887
S2_CAPACITY,2030,China,Animal products nec,217.83080977662365,2.2404557994192844,624.5629650702898,278.76602802470114,214.5900599234887,2.365325860509023,649.5627665737287,274.6187223001047,3.2407498531349574,1.5102050180192106,-0.12487006108973864,-5.279190625466985,-24.999801503438903,-3.8487122091843755,4.1473057245964355,1.5102050180192155
S1_NO_CN,2030,China,Forestry,2.6288699849982984,1.4888698452164133,5.008946392349643,3.364260601894438,2.6286875754895167,1.4896141483162433,5.011102692344955,3.3640271658069536,0.00018240950878167794,0.006939185564785479,-0.0007443030998299793,-0.04996616745828361,-0.002156299995311528,-0.04303044913858038,0.0002334360874844954,0.006939185564766371
S2_CAPACITY,2030,China,Forestry,2.632680817539764,1.4463997573423384,4.873119833417701,3.369137462999335,2.6286875754895167,1.4896141483162433,5.011102692344955,3.3640271658069536,0.003993242050247314,0.15191010477932848,-0.04321439097390489,-2.9010459535948585,-0.13798285892725382,-2.753542830763352,0.005110297192381541,0.15191010477930242
S1_NO_CN,2030,China,Coal,4.895531614454431,2.31590067052271,14.509095182456706,6.2649903736307255,4.899462489060201,2.306446817351531,14.461469427002694,6.270020857244065,-0.003930874605769574,-0.08023073172917754,0.00945385317117875,0.4098881925244004,0.047625755454012264,0.32932860449910206,-0.005030483613339243,-0.08023073172918199
S2_CAPACITY,2030,China,Coal,4.568548813917248,3.5868989602137407,20.970942746051787,5.8465385569455295,4.899462489060201,2.306446817351531,14.461469427002694,6.270020857244065,-0.3309136751429529,-6.754081205475821,1.2804521428622095,55.51622232211447,6.509473319049093,45.01253037879054,-0.4234823002985353,-6.75408120547582
S1_NO_CN,2030,China,Oil,0.0003607925569213,1.4953188361597751,0.000690417697906,0.000461719513875,0.0003627219932508,1.484362422908646,0.0006890240526629,0.0004641886845577,-1.929436329499998e-06,-0.5319325448694012,0.01095641325112906,0.7381225152318049,1.393645243100085e-06,0.2022636565028472,-2.469170682700022e-06,-0.531932544855711
S2_CAPACITY,2030,China,Oil,0.0003904097317548,1.3021876669081194,0.0006506010418261,0.0004996217025541,0.0003627219932508,1.484362422908646,0.0006890240526629,0.0004641886845577,2.7687738504000013e-05,7.63332221899642,-0.18217475600052668,-12.272929655787877,-3.8423010836799985e-05,-5.576439703128646,3.543301799639997e-05,7.633322218994234
S1_NO_CN,2030,China,Gas,6.546657156672537,1.839480579778346,15.411160619018313,8.37799800658396,6.580652459711225,1.825577903862428,15.374105877179698,8.42150304652653,-0.03399530303868836,-0.5165947183325369,0.013902675915917984,0.7615493092079878,0.0370547418386149,0.2410204673666031,-0.04350503994256982,-0.5165947183325379
S2_CAPACITY,2030,China,Gas,4.498626583606671,3.450417463203018,19.864248074577745,5.757057937791675,6.580652459711225,1.825577903862428,15.374105877179698,8.42150304652653,-2.082025876104554,-31.638593419898037,1.62483955934059,89.00412060766456,4.490142197398047,29.205875341751845,-2.6644451087348546,-31.638593419898026
S1_NO_CN,2030,China,Mine,0.1977833082352538,1.640668729025153,0.4152704985157536,0.2531104930188137,0.1978951633418013,1.6389639836995429,0.4150736191510494,0.2532536380668843,-0.00011185510654748709,-0.056522405428521154,0.0017047453256100464,0.10401359288945562,0.00019687936470419443,0.04743239647628583,-0.00014314504807055872,-0.056522405428487514
S2_CAPACITY,2030,China,Mine,0.1987103623080537,1.5802466818258245,0.4018518241333008,0.25429687783316,0.1978951633418013,1.6389639836995429,0.4150736191510494,0.2532536380668843,0.0008151989662524006,0.4119347600448437,-0.058717301873718375,-3.5825864666762874,-0.013221795017748617,-3.185409625596339,0.0010432397662757387,0.41193476004487606
S1_NO_CN,2030,China,Manufac,3168.7922622707747,1.2286151648410066,4982.303533483221,4055.219045004654,3169.759851730032,1.2285184526713535,4983.432569108597,4056.457304530102,-0.9675894592573968,-0.030525639307636934,9.671216965312368e-05,0.007872260236940503,-1.1290356253757636,-0.022655782128456047,-1.2382595254480293,-0.030525639307609292
S2_CAPACITY,2030,China,Manufac,3115.7576719463905,1.226492543210218,4890.453422766748,3987.3487452415056,3169.759851730032,1.2285184526713535,4983.432569108597,4056.457304530102,-54.00217978364162,-1.7036678584394216,-0.0020259094611354556,-0.16490671806599358,-92.97914634184872,-1.8657651137533142,-69.10855928859655,-1.7036678584393987
