year,scenario,region,CO2_Mt,CO2_Gt
2040,S2_CAPACITY,North Africa,857.7644053781187,0.8577644053781187
2040,S2_CAPACITY,Sub Saharan,731.6263841855505,0.7316263841855505
2040,S2_CAPACITY,South Africa,451.24042739360686,0.45124042739360687
2045,S2_CAPACITY,Australia_Oceania,576.9312027788119,0.5769312027788119
2045,S2_CAPACITY,China,8710.000636714263,8.710000636714263
2045,S2_CAPACITY,Japan,1742.580630584041,1.742580630584041
2045,S2_CAPACITY,South Korea,756.9019899447403,0.7569019899447403
2045,S2_CAPACITY,Rest of World,59.9765349276336,0.0599765349276336
2045,S2_CAPACITY,Southeast Asia,2062.127279881598,2.062127279881598
2045,S2_CAPACITY,"Central, Western and South Asia",4834.980811292624,4.834980811292624
2045,S2_CAPACITY,India,3122.1082965647647,3.1221082965647646
2045,S2_CAPACITY,Canada,885.6587919274912,0.8856587919274912
2045,S2_CAPACITY,United States,6590.427633271718,6.590427633271718
2045,S2_CAPACITY,Rest of America,2203.428234575031,2.203428234575031
2045,S2_CAPACITY,Brazil,1156.689045458212,1.156689045458212
2045,S2_CAPACITY,"EU, UK and EFTA",3435.3894524656835,3.4353894524656834
2045,S2_CAPACITY,Eastern Europe,566.7306753948238,0.5667306753948238
2045,S2_CAPACITY,Russia,2121.093590840472,2.121093590840472
2045,S2_CAPACITY,North Africa,921.673794547638,0.921673794547638
2045,S2_CAPACITY,Sub Saharan,905.1452287393791,0.9051452287393792
2045,S2_CAPACITY,South Africa,521.2895881921634,0.5212895881921633
2050,S2_CAPACITY,Australia_Oceania,664.8676477822671,0.6648676477822671
2050,S2_CAPACITY,China,8161.98441241003,8.16198441241003
2050,S2_CAPACITY,Japan,1991.085662525412,1.991085662525412
2050,S2_CAPACITY,South Korea,844.9462460688889,0.8449462460688889
2050,S2_CAPACITY,Rest of World,65.12827289745557,0.06512827289745557
2050,S2_CAPACITY,Southeast Asia,1945.886277166408,1.945886277166408
2050,S2_CAPACITY,"Central, Western and South Asia",5271.061407411795,5.2710614074117945
2050,S2_CAPACITY,India,2361.871566073084,2.3618715660730842
2050,S2_CAPACITY,Canada,988.8452533411051,0.9888452533411052
2050,S2_CAPACITY,United States,7299.232446715156,7.2992324467151555
2050,S2_CAPACITY,Rest of America,2525.339699699901,2.525339699699901
2050,S2_CAPACITY,Brazil,1387.880742123941,1.387880742123941
2050,S2_CAPACITY,"EU, UK and EFTA",3897.207953304419,3.897207953304419
2050,S2_CAPACITY,Eastern Europe,649.3120541691627,0.6493120541691627
2050,S2_CAPACITY,Russia,2269.6794044955486,2.2696794044955486
2050,S2_CAPACITY,North Africa,929.113637792938,0.929113637792938
2050,S2_CAPACITY,Sub Saharan,1075.4299697607462,1.0754299697607461
2050,S2_CAPACITY,South Africa,596.1378167717312,0.5961378167717312
