scenario,year,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe,group,final_energy_share_pct
S0_BASELINE,2017,Oil,0.12841351743731402,6.002558486460608,3336.1530000591333,43.97457182609318,6.130972003897924,ROW_EX_CHINA,0.08997125310957081
S0_BASELINE,2017,Oil_pct,866.9921598634479,2561.7774568378663,582.2358132802364,232.10005089330954,3428.769616701314,ROW_EX_CHINA,50.31676850628402
S0_BASELINE,2020,Coal,32.2033302805584,219.21132235550243,298.2375438560421,1198.4634645834947,251.4146526360608,ROW_EX_CHINA,3.4986886728685005
S0_BASELINE,2020,Electricity,586.2668422550321,1191.986523441673,63.91707303024259,90.2399031347991,1778.253365696705,ROW_EX_CHINA,24.746190577282935
S0_BASELINE,2020,Gas,462.1514696775594,979.7792420907531,699.4799231589265,1232.6536572235602,1441.9307117683124,ROW_EX_CHINA,20.06592135911738
S0_BASELINE,2020,Oil,0.13704422497061522,5.8215573784922485,3392.713393339587,46.513389974170664,5.958601603462864,ROW_EX_CHINA,0.08291995600729538
S0_BASELINE,2020,Oil_pct,940.9686907032321,2767.4420971829095,635.4246986351493,242.3586906178242,3708.4107878861414,ROW_EX_CHINA,51.60627943472389
S0_BASELINE,2025,Coal,32.07897991376139,199.0213446545181,289.1974481788466,1409.0329716251765,231.10032456827946,ROW_EX_CHINA,3.1589925756238206
S0_BASELINE,2025,Electricity,550.4124496625534,919.5243035374231,48.50660781255953,91.24600841760949,1469.9367531999765,ROW_EX_CHINA,20.093088569520226
S0_BASELINE,2025,Gas,461.8053858394412,963.9982226002079,720.777118615412,1540.5273335114748,1425.8036084396492,ROW_EX_CHINA,19.48981690862035
S0_BASELINE,2025,Oil,0.1419947063019949,6.243538850357427,3539.3686943077832,61.096203667443945,6.385533556659423,ROW_EX_CHINA,0.08728613053472382
S0_BASELINE,2025,Oil_pct,1012.5912678655139,3169.8161846853113,754.0616191325769,294.3511131777983,4182.407452550826,ROW_EX_CHINA,57.17081581570088
S0_BASELINE,2030,Coal,32.399312145132484,192.47465095118193,302.57758739398497,1444.6393201118806,224.8739630963144,ROW_EX_CHINA,2.8229165405527414
S0_BASELINE,2030,Electricity,577.7019736505151,889.2419658115009,44.91866737936175,98.9894947726582,1466.943939462016,ROW_EX_CHINA,18.415027928321308
S0_BASELINE,2030,Gas,488.73589054163637,990.9522346862561,771.422815159952,1546.7715532277216,1479.6881252278927,ROW_EX_CHINA,18.575009867977705
S0_BASELINE,2030,Oil,0.15434344837927058,6.126024335312419,3648.9410545103424,65.90334086022405,6.28036778369169,ROW_EX_CHINA,0.07883951460287314
S0_BASELINE,2030,Oil_pct,1147.7211336368687,3640.507755548426,876.4845283775716,316.73895765527635,4788.228889185295,ROW_EX_CHINA,60.10820614854537
S0_BASELINE,2035,Coal,32.960027644221384,178.26329546996016,318.5625278605663,1509.9155328107386,211.22332311418154,ROW_EX_CHINA,2.3935252267853038
S0_BASELINE,2035,Electricity,634.4046950596444,936.100165951926,45.79712321516036,105.5402716702582,1570.5048610115703,ROW_EX_CHINA,17.796533773820542
S0_BASELINE,2035,Gas,523.6397986397373,973.3981636359217,800.7878294697828,1644.9190032625042,1497.0379622756589,ROW_EX_CHINA,16.96402686660259
S0_BASELINE,2035,Oil,0.17007191876734049,5.977463125175667,3803.0934673240795,75.67542135832929,6.147535043943008,ROW_EX_CHINA,0.06966219446452963
S0_BASELINE,2035,Oil_pct,1329.884932900156,4209.980867835732,1052.946525382456,372.89421073091927,5539.865800735888,ROW_EX_CHINA,62.77625193832702
S0_BASELINE,2040,Coal,33.618137191143646,163.50610760556745,328.3388789054116,1569.1619286152968,197.1242447967111,ROW_EX_CHINA,2.0039945145421605
S0_BASELINE,2040,Electricity,698.337043412505,969.3816147060546,46.98255451423896,111.21644005972725,1667.7186581185595,ROW_EX_CHINA,16.954276964336994
S0_BASELINE,2040,Gas,570.2234820161145,977.1943288546167,831.2327324180822,1745.717917500823,1547.4178108707313,ROW_EX_CHINA,15.731280583409609
S0_BASELINE,2040,Oil,0.18651038892132635,5.65778829731152,3953.375981894921,86.2873204448127,5.844298686232848,ROW_EX_CHINA,0.059414013332732316
S0_BASELINE,2040,Oil_pct,1560.0340106958665,4858.427063528338,1292.3719228109783,435.51678627748595,6418.461074224205,ROW_EX_CHINA,65.25103392437852
S0_BASELINE,2045,Coal,34.397176388048415,148.63731889567504,342.40189886210766,1586.392790779228,183.03449528372346,ROW_EX_CHINA,1.6751010424027921
S0_BASELINE,2045,Electricity,769.4884913346842,978.1105470450754,47.129578682846976,115.14886723439228,1747.5990383797596,ROW_EX_CHINA,15.993733674924256
S0_BASELINE,2045,Gas,621.6187529050411,970.9845163645615,850.6703176871825,1828.1884347808596,1592.6032692696028,ROW_EX_CHINA,14.575238357951433
