group,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
ROW_EX_CHINA,2035,S2_CAPACITY,real_GDP,122798.57298168057,122150.73356883078,-647.8394128497894,-0.5275626557536918
ROW_EX_CHINA,2040,S1_NO_CN,real_GDP,136768.0106000961,136648.15574650752,-119.85485358859296,-0.08763368938592189
ROW_EX_CHINA,2040,S2_CAPACITY,real_GDP,136768.0106000961,135960.853706951,-807.1568931451184,-0.5901649732298959
ROW_EX_CHINA,2045,S1_NO_CN,real_GDP,151191.0951876251,151078.2897706612,-112.80541696387809,-0.07461115141992249
ROW_EX_CHINA,2045,S2_CAPACITY,real_GDP,151191.0951876251,150239.13485099628,-951.9603366288065,-0.6296404794524724
ROW_EX_CHINA,2050,S1_NO_CN,real_GDP,165952.84102080937,165852.20299069563,-100.63803011373966,-0.060642547301206086
ROW_EX_CHINA,2050,S2_CAPACITY,real_GDP,165952.84102080937,164919.41946411916,-1033.421556690213,-0.6227200151159985
CHINA,2025,S1_NO_CN,real_GDP,24485.934588558728,24483.92799961048,-2.0065889482466446,-0.00819486363074841
CHINA,2025,S2_CAPACITY,real_GDP,24485.934588558728,24253.943775145046,-231.9908134136822,-0.9474452060411939
CHINA,2030,S1_NO_CN,real_GDP,29255.412264215884,29250.664244019696,-4.748020196188008,-0.016229544650770852
CHINA,2030,S2_CAPACITY,real_GDP,29255.412264215884,28975.528241611137,-279.88402260474686,-0.9566914322622294
CHINA,2035,S1_NO_CN,real_GDP,33382.48009020939,33376.29387892745,-6.186211281943542,-0.018531311230401575
CHINA,2035,S2_CAPACITY,real_GDP,33382.48009020939,33043.735113855415,-338.7449763539771,-1.0147387954357718
CHINA,2040,S1_NO_CN,real_GDP,36713.88710015786,36706.885987953196,-7.001112204663514,-0.019069384251152777
CHINA,2040,S2_CAPACITY,real_GDP,36713.88710015786,36345.82671849836,-368.06038165949576,-1.002509978459658
CHINA,2045,S1_NO_CN,real_GDP,39451.731780777736,39444.74072295192,-6.991057825813186,-0.01772053471482708
CHINA,2045,S2_CAPACITY,real_GDP,39451.731780777736,39054.008594018014,-397.723186759722,-1.008126053806101
CHINA,2050,S1_NO_CN,real_GDP,41499.74088902433,41493.59752664866,-6.143362375674769,-0.014803375259867076
CHINA,2050,S2_CAPACITY,real_GDP,41499.74088902433,41071.24324659439,-428.4976424299384,-1.0325308863392582
GLOBAL,2025,S1_NO_CN,real_household_consumption,69941.89117296811,69867.67216876104,-74.21900420707243,-0.10611523789587975
GLOBAL,2025,S2_CAPACITY,real_household_consumption,69941.89117296811,68529.97614389,-1411.9150290781108,-2.018697243382236
GLOBAL,2030,S1_NO_CN,real_household_consumption,79633.48029618821,79485.47946787595,-148.00082831225882,-0.18585251801351088
