scenario,year,real_GDP,real_household_consumption,real_investment,government_income,exports_FOB,imports_CIF,CO2_Mt,power_CO2_Mt,EV,renewable_capacity_GW,total_generation_TWh,renewable_generation_TWh,group,renewable_generation_share_pct,additional_carbon_price_2024USD_t,emissions_weighted_final_carbon_price_2024USD_t
S1_NO_CN,2025,97829.29219331237,59086.47337481947,22966.140266321498,33915.01401402389,30315.369790799454,31679.087039975355,26706.33352325744,10533.19684048041,-108.77134284438542,1428.3954335976548,22406.324266215408,3255.2982031621377,ROW_EX_CHINA,14.528479390394814,0.0,22.87865677166356
S1_NO_CN,2030,109199.79090041031,65889.24683970724,26014.91864773077,40766.6084353363,36518.54474963392,38151.86440488489,28725.438946702063,10802.489657110342,-244.17908827613073,2759.4700865050604,25327.177749019662,5388.898747097256,ROW_EX_CHINA,21.277138734124627,0.0,37.55388082181018
S1_NO_CN,2035,122674.1050533231,73857.63949700227,29468.131073813714,48447.2298701043,43744.862670681985,45607.29322477788,31475.179793900556,11491.12514401534,-284.18982246857803,2840.7407159766976,27093.300204416508,5561.68004313069,ROW_EX_CHINA,20.527879590778223,0.0,46.468164707297944
S1_NO_CN,2040,136648.15574650752,82106.4847099422,33042.511452112914,57239.13076676405,52575.19736934105,54645.29794712967,34707.599562565476,12199.436044093043,-317.0027093100806,2933.7567168068767,28679.568168578036,5749.696113874777,ROW_EX_CHINA,20.048056791086104,0.0,47.548564754106756
S1_NO_CN,2045,151078.2897706612,90335.11848394324,36749.50492540854,67198.1384466361,62923.193808051,65160.395536020435,37949.20937488725,12712.364776562375,-348.6713743231598,3099.831862636761,30079.872887786933,6076.97126204636,ROW_EX_CHINA,20.202782387799715,0.0,49.173493432226486
S1_NO_CN,2050,165852.20299069563,98365.5222505324,40495.19608162731,77642.68924565105,74373.57750089312,76699.52244331007,40881.91447273629,12882.656915848373,-376.65554840970475,3350.7094394208702,31104.23915540698,6560.093844128764,ROW_EX_CHINA,21.090674526235425,0.0,51.651541097466286
S2_CAPACITY,2025,97561.33609606538,58028.56218620068,22757.986099695678,34400.625967672364,29172.19747133088,30518.80945611017,22012.14580790215,8356.657722137084,-1391.5767730429782,1659.0776797625515,21091.084393679168,3752.4829858330672,ROW_EX_CHINA,17.79179731013573,60.893893166004126,85.63831797424483
S2_CAPACITY,2030,108842.41765369737,64738.75348955625,25729.21800016499,41069.826780058844,34970.852120160074,36584.12934616252,24068.979691477296,8740.318335743681,-1706.6638154222405,3100.1950298311594,24109.874600060226,6012.372313651673,ROW_EX_CHINA,24.93738525556933,60.893893166004126,102.51784098542277
S2_CAPACITY,2035,122150.73356883078,72570.98459317039,29099.923000472336,48663.27110571066,41864.42113017624,43710.3905254479,26666.755028174182,9447.882314137236,-1952.3889818802397,3153.4345320271896,25812.53932136349,6137.834693652058,ROW_EX_CHINA,23.77850012056792,60.893893166004126,111.86189464905992
S2_CAPACITY,2040,135960.853706951,80672.28136688877,32599.935145203144,57241.8662725963,50149.29674773608,52208.10032299799,29641.166947555263,10168.28666524895,-2212.0360401330704,3230.146809945104,27353.660622271127,6299.207886704918,ROW_EX_CHINA,23.028756456736012,60.893893166004126,112.74170600638641
S2_CAPACITY,2045,150239.13485099628,88773.34003665128,36252.52542310344,66958.13277773398,59911.520687607335,62146.39793434463,32463.132781386827,10662.779618310276,-2436.6638766409246,3408.957703546878,28732.102444507436,6651.5068643468885,ROW_EX_CHINA,23.150087527334506,60.893893166004126,114.40336172345549
