scenario,year,region,technology,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S1_NO_CN,2030,India,Nuclear,0.0002025748814626,0.0002007526339856,1.8222474770000037e-06,0.9077078795044421
S2_CAPACITY,2030,India,Nuclear,0.0002242661590298,0.0002007526339856,2.35135250442e-05,11.712685695514525
S1_NO_CN,2030,India,Hydro,3.606717773066256e-05,3.573141041916034e-05,3.3576731150222186e-07,0.9396978948308532
S2_CAPACITY,2030,India,Hydro,3.9887048329005145e-05,3.573141041916034e-05,4.155637909844803e-06,11.630209558188657
S1_NO_CN,2030,India,Wind,0.0001390502249401,0.0001845106090376,-4.5460384097499996e-05,-24.638357834608836
S2_CAPACITY,2030,India,Wind,0.0001488103888277,0.0001845106090376,-3.570022020990001e-05,-19.348600276217688
S1_NO_CN,2030,India,Solar,0.0002273870374993,0.0008948303507564,-0.0006674433132571,-74.58881034744857
S2_CAPACITY,2030,India,Solar,0.000245363017629,0.0008948303507564,-0.0006494673331274,-72.57994016166364
S1_NO_CN,2030,India,Biomass,2.8050015761065823,2.793152593002461,0.011848983104121302,0.4242153877953514
S2_CAPACITY,2030,India,Biomass,3.3937890837706592,2.793152593002461,0.6006364907681983,21.503891061052
S1_NO_CN,2030,Canada,TnD,0.0380894548093779,0.0385527642758731,-0.00046330946649519866,-1.201754206727907
S2_CAPACITY,2030,Canada,TnD,0.035501641698852,0.0385527642758731,-0.003051122577021101,-7.914147362269791
S1_NO_CN,2030,Canada,Coal_Power,91.1347661064965,90.73569018042537,0.3990759260711343,0.43982243952471517
S2_CAPACITY,2030,Canada,Coal_Power,60.87617871009907,90.73569018042537,-29.859511470326296,-32.90823204292765
S1_NO_CN,2030,Canada,Oil_Power,9.36135075762811,9.222427904849182,0.13892285277892746,1.506358783307825
S2_CAPACITY,2030,Canada,Oil_Power,7.561040005176419,9.222427904849182,-1.6613878996727633,-18.014647734998288
S1_NO_CN,2030,Canada,Gas_Power,74.55616489708825,73.79796102279099,0.7582038742972657,1.0274049090097623
S2_CAPACITY,2030,Canada,Gas_Power,60.47313346783958,73.79796102279099,-13.324827554951405,-18.055820743931267
S1_NO_CN,2030,Canada,Nuclear,0.000293515131758,0.0002887827850634,4.732346694600025e-06,1.6387218834949167
S2_CAPACITY,2030,Canada,Nuclear,0.000310177899879,0.0002887827850634,2.1395114815600015e-05,7.4087223761980425
S1_NO_CN,2030,Canada,Hydro,6.48608873986307e-05,6.382075184529344e-05,1.0401355533372624e-06,1.6297764022878223
S2_CAPACITY,2030,Canada,Hydro,6.93803718462455e-05,6.382075184529344e-05,5.55962000095206e-06,8.711304458507508
S1_NO_CN,2030,Canada,Wind,0.0003289116563501,0.0004547337194349,-0.00012582206308480001,-27.669393692897845
S2_CAPACITY,2030,Canada,Wind,0.0003477612778396,0.0004547337194349,-0.00010697244159530003,-23.524193835512186
S1_NO_CN,2030,Canada,Solar,0.0016392546653672,0.0016143905237047,2.4864141662499966e-05,1.5401565666677592
S2_CAPACITY,2030,Canada,Solar,0.0017242374168957,0.0016143905237047,0.00010984689319099993,6.804233026524678
S1_NO_CN,2030,Canada,Biomass,1.8074284465486776,1.7759889226509142,0.03143952389776339,1.7702545042249171
S2_CAPACITY,2030,Canada,Biomass,1.7455628022889529,1.7759889226509142,-0.03042612036196135,-1.713193138420372
S1_NO_CN,2030,United States,TnD,0.0581392246138477,0.0601529486705932,-0.0020137240567454986,-3.347673058843651
S2_CAPACITY,2030,United States,TnD,0.051276656844615,0.0601529486705932,-0.008876291825978197,-14.756204013515841
S1_NO_CN,2030,United States,Coal_Power,1415.3078965282884,1388.0857177668,27.22217876148852,1.9611309599298017
S2_CAPACITY,2030,United States,Coal_Power,1123.142242542974,1388.0857177668,-264.943475223826,-19.08696788913556
S1_NO_CN,2030,United States,Oil_Power,16.14900528975881,15.599420270665448,0.5495850190933638,3.523111817987575
S2_CAPACITY,2030,United States,Oil_Power,13.7771199335245,15.599420270665448,-1.8223003371409483,-11.681846539949728
S1_NO_CN,2030,United States,Gas_Power,568.3834143867462,553.3449094565522,15.038504930193994,2.717745238672842
S2_CAPACITY,2030,United States,Gas_Power,450.2088716150072,553.3449094565522,-103.13603784154498,-18.638653049656916
S1_NO_CN,2030,United States,Nuclear,0.0001915830431601,0.0001852107291575,6.372314002600003e-06,3.440574977263384
S2_CAPACITY,2030,United States,Nuclear,0.0002029322782428,0.0001852107291575,1.772154908529999e-05,9.568316676854012
S1_NO_CN,2030,United States,Hydro,3.155171683687943e-05,3.0396075161281484e-05,1.155641675597946e-06,3.8019437360452453
S2_CAPACITY,2030,United States,Hydro,3.415323076323608e-05,3.0396075161281484e-05,3.7571556019545947e-06,12.36066032216047
S1_NO_CN,2030,United States,Wind,0.0002347631616252,0.0002421983829643,-7.435221339100015e-06,-3.069888926630846
S2_CAPACITY,2030,United States,Wind,0.0002524951613032,0.0002421983829643,1.0296778338900002e-05,4.2513819509760085
S1_NO_CN,2030,United States,Solar,0.0005689885744816,0.0010237262952466,-0.00045473772076499996,-44.419853517141576
S2_CAPACITY,2030,United States,Solar,0.0006165949561361,0.0010237262952466,-0.0004071313391104999,-39.76954982995999
S1_NO_CN,2030,United States,Biomass,6.496566862798848,6.253280502703074,0.24328636009577398,3.890539693375498
S2_CAPACITY,2030,United States,Biomass,6.374201663678768,6.253280502703074,0.12092116097569416,1.9337236019306057
S1_NO_CN,2030,Rest of America,TnD,1.099971064619803,1.1001410987325928,-0.0001700341127897076,-0.015455664094868721
S2_CAPACITY,2030,Rest of America,TnD,1.0078464558003843,1.1001410987325928,-0.09229464293220846,-8.389345970124708
S1_NO_CN,2030,Rest of America,Coal_Power,94.43033274235388,94.86828044497447,-0.43794770262059046,-0.46163765229686965
S2_CAPACITY,2030,Rest of America,Coal_Power,59.485595405334166,94.86828044497447,-35.38268503964031,-37.296644224686865
S1_NO_CN,2030,Rest of America,Oil_Power,160.76448033908264,160.4564376621633,0.3080426769193423,0.19197900776528384
S2_CAPACITY,2030,Rest of America,Oil_Power,137.90347964784996,160.4564376621633,-22.552958014313333,-14.055502130614403
S1_NO_CN,2030,Rest of America,Gas_Power,212.46995235934585,213.60609654860636,-1.1361441892605058,-0.5318875292503529
S2_CAPACITY,2030,Rest of America,Gas_Power,194.91973620847492,213.60609654860636,-18.686360340131444,-8.748046353573685
S1_NO_CN,2030,Rest of America,Nuclear,0.0001761770706701,0.0001749244324032,1.2526382669000066e-06,0.7161025190653078
S2_CAPACITY,2030,Rest of America,Nuclear,0.0001863243792001,0.0001749244324032,1.1399946796900013e-05,6.517069479821544
