group,year,fuel,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
ROW_EX_CHINA,2040,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1547.4178108707313,1289.5408406763336,-257.8769701943977,-16.66498655907873
ROW_EX_CHINA,2040,Oil,S1_NO_CN,modeled_final_demand_Mtoe,5.844298686232848,5.814953215928731,-0.029345470304116716,-0.5021213301990284
ROW_EX_CHINA,2040,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,5.844298686232848,6.117476312057002,0.2731776258241547,4.674258460945314
ROW_EX_CHINA,2040,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,6418.461074224205,6428.435164372219,9.974090148014511,0.15539690951884558
ROW_EX_CHINA,2040,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,6418.461074224205,5907.162580420024,-511.2984938041809,-7.966060522786316
ROW_EX_CHINA,2045,Coal,S1_NO_CN,modeled_final_demand_Mtoe,183.03449528372346,181.46106654549175,-1.573428738231712,-0.8596350845193009
ROW_EX_CHINA,2045,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,183.03449528372346,111.70217549025456,-71.3323197934689,-38.97206353528935
ROW_EX_CHINA,2045,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,1747.5990383797596,1697.7452517588833,-49.853786620876235,-2.8527016510089673
ROW_EX_CHINA,2045,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,1747.5990383797596,1575.5352534430926,-172.06378493666693,-9.845724400042663
ROW_EX_CHINA,2045,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1592.6032692696028,1589.3769885484867,-3.2262807211161544,-0.2025790592905028
ROW_EX_CHINA,2045,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1592.6032692696028,1349.0979085898168,-243.505360679786,-15.289768982545294
ROW_EX_CHINA,2045,Oil,S1_NO_CN,modeled_final_demand_Mtoe,5.526965558512229,5.4981051925415345,-0.028860365970694524,-0.5221737979938358
ROW_EX_CHINA,2045,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,5.526965558512229,5.799822175196183,0.27285661668395367,4.936824986428943
ROW_EX_CHINA,2045,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,7398.009641020212,7408.720245715098,10.71060469488566,0.14477684153718715
ROW_EX_CHINA,2045,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,7398.009641020212,6752.196019103108,-645.8136219171047,-8.729559074054473
ROW_EX_CHINA,2050,Coal,S1_NO_CN,modeled_final_demand_Mtoe,166.81220133813002,165.5088127118964,-1.3033886262336125,-0.7813508938663488
ROW_EX_CHINA,2050,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,166.81220133813002,100.1004900905778,-66.71171124755223,-39.992105321077155
ROW_EX_CHINA,2050,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,1794.7563699281336,1743.9453243332612,-50.81104559487244,-2.8310831735288415
ROW_EX_CHINA,2050,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,1794.7563699281336,1615.1131715253573,-179.6431984027763,-10.00933616466115
ROW_EX_CHINA,2050,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1632.5327955977598,1628.0947742251974,-4.438021372562389,-0.2718488341875782
ROW_EX_CHINA,2050,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1632.5327955977598,1396.2302524945571,-236.30254310320265,-14.474597002915297
ROW_EX_CHINA,2050,Oil,S1_NO_CN,modeled_final_demand_Mtoe,5.187651133588499,5.159914114397239,-0.02773701919126026,-0.5346739492883649
ROW_EX_CHINA,2050,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,5.187651133588499,5.433401319429143,0.24575018584064345,4.737214965159936
ROW_EX_CHINA,2050,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,8438.9014391982,8451.175056466456,12.273617268256203,0.14544093631957797
ROW_EX_CHINA,2050,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,8438.9014391982,7613.822487541151,-825.0789516570494,-9.777089560788166
CHINA,2025,Coal,S1_NO_CN,modeled_final_demand_Mtoe,360.4663405881015,359.55998309372166,-0.9063574943798471,-0.25144025733474124
CHINA,2025,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,360.4663405881015,183.23257532027867,-177.23376526782283,-49.167909818893385
CHINA,2025,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,656.5706520111721,656.4193842140687,-0.15126779710340088,-0.02303907380569714
