region,year,technology,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
Eastern Europe,2035,Biomass,S2_CAPACITY,generation_TWh,0.1342571519040954,0.1430966629665907,0.008839511062495309,6.584015031698037
Russia,2035,Coal_Power,S1_NO_CN,generation_TWh,289.3600573522678,289.39425111301574,0.03419376074793945,0.011817028604715773
Russia,2035,Coal_Power,S2_CAPACITY,generation_TWh,289.3600573522678,221.0282286877927,-68.3318286644751,-23.61481031270592
Russia,2035,Oil_Power,S1_NO_CN,generation_TWh,11.858845577412064,11.852421611045624,-0.00642396636643916,-0.05417025059062327
Russia,2035,Oil_Power,S2_CAPACITY,generation_TWh,11.858845577412064,10.522037560393914,-1.33680801701815,-11.27266569323082
Russia,2035,Gas_Power,S1_NO_CN,generation_TWh,832.0089724029912,832.5833016449412,0.5743292419500676,0.06902921254458372
Russia,2035,Gas_Power,S2_CAPACITY,generation_TWh,832.0089724029912,686.1976599667478,-145.81131243624338,-17.525209135078697
Russia,2035,Nuclear,S1_NO_CN,generation_TWh,376.50876347499513,377.82954527045104,1.3207817954559005,0.35079709254725405
Russia,2035,Nuclear,S2_CAPACITY,generation_TWh,376.50876347499513,440.6761340623683,64.16737058737317,17.042729628691546
Russia,2035,Hydro,S1_NO_CN,generation_TWh,47.47648415277164,47.69271732222614,0.21623316945449744,0.4554532065994906
Russia,2035,Hydro,S2_CAPACITY,generation_TWh,47.47648415277164,54.0513002274635,6.57481607469186,13.848574072029356
Russia,2035,Wind,S1_NO_CN,generation_TWh,3.524380250921666,3.5398093292294037,0.015429078307737765,0.4377813178275211
Russia,2035,Wind,S2_CAPACITY,generation_TWh,3.524380250921666,4.015747542643745,0.49136729172207927,13.941948846001537
Russia,2035,Solar,S1_NO_CN,generation_TWh,9.100225129562288,9.142872683120393,0.04264755355810479,0.4686428407091078
Russia,2035,Solar,S2_CAPACITY,generation_TWh,9.100225129562288,10.3328157550811,1.232590625518812,13.544616841562668
Russia,2035,Biomass,S1_NO_CN,generation_TWh,1.1919424984759328,1.195854320948819,0.003911822472886239,0.32818885792628905
Russia,2035,Biomass,S2_CAPACITY,generation_TWh,1.1919424984759328,1.270784017720458,0.0788415192445251,6.6145404954798686
North Africa,2035,Coal_Power,S1_NO_CN,generation_TWh,35.749238326453465,35.389685810225366,-0.35955251622809925,-1.0057627324664988
North Africa,2035,Coal_Power,S2_CAPACITY,generation_TWh,35.749238326453465,27.14665461880205,-8.602583707651416,-24.06368390032449
North Africa,2035,Oil_Power,S1_NO_CN,generation_TWh,95.82403439908168,96.1735989698569,0.34956457077521463,0.3647984276255484
North Africa,2035,Oil_Power,S2_CAPACITY,generation_TWh,95.82403439908168,69.31340492628696,-26.51062947279472,-27.665950029180546
North Africa,2035,Gas_Power,S1_NO_CN,generation_TWh,471.7698138277886,469.0607890312575,-2.7090247965310823,-0.5742259714649663
North Africa,2035,Gas_Power,S2_CAPACITY,generation_TWh,471.7698138277886,439.63956547249694,-32.130248355291656,-6.810577407358294
North Africa,2035,Nuclear,S1_NO_CN,generation_TWh,0.8338348648182564,0.0177819918016438,-0.8160528730166127,-97.867444436313
North Africa,2035,Nuclear,S2_CAPACITY,generation_TWh,0.8338348648182564,1.095031999015862,0.2611971341976055,31.324803653363222
