scenario,year,region,sector,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S2_CAPACITY,2050,Australia_Oceania,Rice,0.0503767985860547,0.0578738689794166,-0.0074970703933619,-12.954154483828107
S1_NO_CN,2050,Australia_Oceania,Crops nec,15.036718427599787,14.9447821186474,0.09193630895238769,0.615173297425821
S2_CAPACITY,2050,Australia_Oceania,Crops nec,12.87665757109604,14.9447821186474,-2.06812454755136,-13.838438935625907
S1_NO_CN,2050,Australia_Oceania,"Bovine cattle, sheep and goats, horses",4.1163906834755135,4.083160296786404,0.033230386689109714,0.8138398758251848
S2_CAPACITY,2050,Australia_Oceania,"Bovine cattle, sheep and goats, horses",3.518978534428132,4.083160296786404,-0.5641817623582717,-13.817281746256773
S1_NO_CN,2050,Australia_Oceania,Animal products nec,8.15873385900941,8.060483105903549,0.09825075310586051,1.218918913605824
S2_CAPACITY,2050,Australia_Oceania,Animal products nec,6.962086723414546,8.060483105903549,-1.0983963824890024,-13.626929900572957
S1_NO_CN,2050,Australia_Oceania,Forestry,4.457506161484322,4.478953477458285,-0.021447315973962766,-0.47884658954157483
S2_CAPACITY,2050,Australia_Oceania,Forestry,3.950070713697704,4.478953477458285,-0.5288827637605813,-11.80817720975105
S1_NO_CN,2050,Australia_Oceania,Coal,7.581127152852526,7.168110303995171,0.4130168488573549,5.76186514076323
S2_CAPACITY,2050,Australia_Oceania,Coal,4.478974949147467,7.168110303995171,-2.6891353548477035,-37.51526191427195
S1_NO_CN,2050,Australia_Oceania,Oil,0.1491653909937347,0.1399657302639926,0.009199660729742098,6.572795149491527
S2_CAPACITY,2050,Australia_Oceania,Oil,0.1158437211871639,0.1399657302639926,-0.024122009076828682,-17.234225143062954
S1_NO_CN,2050,Australia_Oceania,Gas,3.1656347527841624,3.0320777935111005,0.13355695927306188,4.404799888673203
S2_CAPACITY,2050,Australia_Oceania,Gas,2.511390973861624,3.0320777935111005,-0.5206868196494767,-17.172607535459345
S1_NO_CN,2050,Australia_Oceania,Mine,36.84363479590328,35.82504124845896,1.0185935474443184,2.8432445907878305
S2_CAPACITY,2050,Australia_Oceania,Mine,30.46186327785773,35.82504124845896,-5.363177970601228,-14.970472562489872
S1_NO_CN,2050,Australia_Oceania,Manufac,40.93718093526826,40.125742195093125,0.8114387401751344,2.022239828561634
S2_CAPACITY,2050,Australia_Oceania,Manufac,38.27960347231792,40.125742195093125,-1.8461387227752013,-4.600883676616356
S1_NO_CN,2050,Australia_Oceania,Petro,25.80219215015928,25.368234029540574,0.43395812061870487,1.710635908330762
S2_CAPACITY,2050,Australia_Oceania,Petro,16.58501038879323,25.368234029540574,-8.783223640747345,-34.62292105362768
S1_NO_CN,2050,Australia_Oceania,WatWaste,0.6560620399848188,0.6237766877502235,0.03228535223459528,5.175786923207873
S2_CAPACITY,2050,Australia_Oceania,WatWaste,0.5549687483028297,0.6237766877502235,-0.06880793944739383,-11.030861011424383
S1_NO_CN,2050,Australia_Oceania,OthServ,37.92206116952499,36.47674613768013,1.4453150318448564,3.9622915552543208
S2_CAPACITY,2050,Australia_Oceania,OthServ,33.16357530327788,36.47674613768013,-3.31317083440225,-9.082967054947305
S1_NO_CN,2050,Australia_Oceania,Transport,183.69231894360485,183.8740377769871,-0.1817188333822628,-0.09882789086443065
S2_CAPACITY,2050,Australia_Oceania,Transport,162.25848055962513,183.8740377769871,-21.61555721736198,-11.755633083762788
S1_NO_CN,2050,Australia_Oceania,Power,271.50877996345577,246.69769930604872,24.811080657407047,10.057280926088762
