scenario,year,region,sector,CO2_Mt
S0_BASELINE,2030,North Africa,Transport,211.34334507505451
S0_BASELINE,2030,North Africa,Power,293.9142209243843
S0_BASELINE,2030,North Africa,Households,148.34331884481716
S0_BASELINE,2030,Sub Saharan,Rice,0.031602377700968
S0_BASELINE,2030,Sub Saharan,Crops nec,2.426147789933183
S0_BASELINE,2030,Sub Saharan,"Bovine cattle, sheep and goats, horses",0.2722099557107921
S0_BASELINE,2030,Sub Saharan,Animal products nec,3.016750227560651
S0_BASELINE,2030,Sub Saharan,Forestry,1.163163018944933
S0_BASELINE,2030,Sub Saharan,Coal,0.1165437812972849
S0_BASELINE,2030,Sub Saharan,Oil,0.7354007810275188
S0_BASELINE,2030,Sub Saharan,Gas,5.798550373395072
S0_BASELINE,2030,Sub Saharan,Mine,10.90614932088007
S0_BASELINE,2030,Sub Saharan,Manufac,51.57137585107365
S0_BASELINE,2030,Sub Saharan,Petro,9.201365822436344
S0_BASELINE,2030,Sub Saharan,WatWaste,1.34340779059255
S0_BASELINE,2030,Sub Saharan,OthServ,30.07473482366113
S0_BASELINE,2030,Sub Saharan,Transport,188.2451520308466
S0_BASELINE,2030,Sub Saharan,Power,126.38588763812793
S0_BASELINE,2030,Sub Saharan,Households,97.50083484791844
S0_BASELINE,2030,South Africa,Rice,0.0051136558965941
S0_BASELINE,2030,South Africa,Crops nec,3.69185658366152
S0_BASELINE,2030,South Africa,"Bovine cattle, sheep and goats, horses",0.4734739859615819
S0_BASELINE,2030,South Africa,Animal products nec,4.238172421756763
S0_BASELINE,2030,South Africa,Forestry,0.359609471522015
S0_BASELINE,2030,South Africa,Coal,0.0274348893236911
S0_BASELINE,2030,South Africa,Oil,0.0005802754804265
S0_BASELINE,2030,South Africa,Gas,0.075869041102211
S0_BASELINE,2030,South Africa,Mine,9.483852001385772
S0_BASELINE,2030,South Africa,Manufac,50.05625177615416
S0_BASELINE,2030,South Africa,Petro,63.22288973609693
S0_BASELINE,2030,South Africa,WatWaste,0.2942118179731309
S0_BASELINE,2030,South Africa,OthServ,27.46377178191112
S0_BASELINE,2030,South Africa,Transport,46.66606177169189
S0_BASELINE,2030,South Africa,Power,210.89085212216207
S0_BASELINE,2030,South Africa,Households,48.92788311236308
S0_BASELINE,2050,Australia_Oceania,Rice,0.0578738689794166
S0_BASELINE,2050,Australia_Oceania,Crops nec,14.9447821186474
S0_BASELINE,2050,Australia_Oceania,"Bovine cattle, sheep and goats, horses",4.083160296786404
S0_BASELINE,2050,Australia_Oceania,Animal products nec,8.060483105903549
S0_BASELINE,2050,Australia_Oceania,Forestry,4.478953477458285
S0_BASELINE,2050,Australia_Oceania,Coal,7.168110303995171
S0_BASELINE,2050,Australia_Oceania,Oil,0.1399657302639926
S0_BASELINE,2050,Australia_Oceania,Gas,3.0320777935111005
S0_BASELINE,2050,Australia_Oceania,Mine,35.82504124845896
S0_BASELINE,2050,Australia_Oceania,Manufac,40.125742195093125
S0_BASELINE,2050,Australia_Oceania,Petro,25.368234029540574
S0_BASELINE,2050,Australia_Oceania,WatWaste,0.6237766877502235
S0_BASELINE,2050,Australia_Oceania,OthServ,36.47674613768013
S0_BASELINE,2050,Australia_Oceania,Transport,183.8740377769871
S0_BASELINE,2050,Australia_Oceania,Power,246.69769930604872
S0_BASELINE,2050,Australia_Oceania,Households,129.64318196255536
S0_BASELINE,2050,China,Rice,18.31970987650096
S0_BASELINE,2050,China,Crops nec,99.53461646848078
S0_BASELINE,2050,China,"Bovine cattle, sheep and goats, horses",5.756688715121539
S0_BASELINE,2050,China,Animal products nec,69.9039242173769
S0_BASELINE,2050,China,Forestry,13.87613083389423
S0_BASELINE,2050,China,Coal,28.54905315119626
S0_BASELINE,2050,China,Oil,5.724689794471086
S0_BASELINE,2050,China,Gas,36.44477492009321
S0_BASELINE,2050,China,Mine,69.51419158405027
S0_BASELINE,2050,China,Manufac,2438.5167149097133
S0_BASELINE,2050,China,Petro,525.9621217801556
S0_BASELINE,2050,China,WatWaste,0.5628808494656172
S0_BASELINE,2050,China,OthServ,317.04665485526425
S0_BASELINE,2050,China,Transport,1417.3113580541683
S0_BASELINE,2050,China,Power,4426.793045492711
S0_BASELINE,2050,China,Households,1952.228914194678
S0_BASELINE,2050,Japan,Rice,2.9027657412193397
S0_BASELINE,2050,Japan,Crops nec,14.820426787177237
S0_BASELINE,2050,Japan,"Bovine cattle, sheep and goats, horses",0.382664840457665
S0_BASELINE,2050,Japan,Animal products nec,20.005693973951296
S0_BASELINE,2050,Japan,Forestry,2.227514813183672
S0_BASELINE,2050,Japan,Coal,0.002140615363737
S0_BASELINE,2050,Japan,Oil,0.0040646763962046
S0_BASELINE,2050,Japan,Gas,0.2791203946030914
S0_BASELINE,2050,Japan,Mine,4.610006768212772
S0_BASELINE,2050,Japan,Manufac,498.5719116382073
S0_BASELINE,2050,Japan,Petro,121.9647187485922
S0_BASELINE,2050,Japan,WatWaste,11.882737344912956
S0_BASELINE,2050,Japan,OthServ,214.66995497371136
S0_BASELINE,2050,Japan,Transport,299.37919269201416
S0_BASELINE,2050,Japan,Power,721.2193521096402
S0_BASELINE,2050,Japan,Households,280.3138646744917
S0_BASELINE,2050,South Korea,Rice,1.6754130256515924
S0_BASELINE,2050,South Korea,Crops nec,2.8689630998414484
S0_BASELINE,2050,South Korea,"Bovine cattle, sheep and goats, horses",0.2517740902069351
S0_BASELINE,2050,South Korea,Animal products nec,10.208855718049016
S0_BASELINE,2050,South Korea,Forestry,0.3716828509335828
S0_BASELINE,2050,South Korea,Coal,0.0266866028047558
S0_BASELINE,2050,South Korea,Oil,0.0759901202930889
S0_BASELINE,2050,South Korea,Gas,3.3236361303913178
S0_BASELINE,2050,South Korea,Mine,1.6589841464060218
S0_BASELINE,2050,South Korea,Manufac,91.60062159246178
S0_BASELINE,2050,South Korea,Petro,152.14144594793245
S0_BASELINE,2050,South Korea,WatWaste,1.165059422291785
S0_BASELINE,2050,South Korea,OthServ,74.22723223031278
S0_BASELINE,2050,South Korea,Transport,153.5230531385385
S0_BASELINE,2050,South Korea,Power,335.19138133751585
S0_BASELINE,2050,South Korea,Households,150.65264033819713
S0_BASELINE,2050,Rest of World,Rice,9.44001733308658e-05
S0_BASELINE,2050,Rest of World,Crops nec,0.8030688814060906
S0_BASELINE,2050,Rest of World,"Bovine cattle, sheep and goats, horses",0.039119983433894
S0_BASELINE,2050,Rest of World,Animal products nec,0.2284506857816071
S0_BASELINE,2050,Rest of World,Forestry,0.024433952701282
S0_BASELINE,2050,Rest of World,Coal,0.0350624486083881
S0_BASELINE,2050,Rest of World,Oil,0.0348717069357015
S0_BASELINE,2050,Rest of World,Gas,0.0082969687265344
S0_BASELINE,2050,Rest of World,Mine,3.581602152349709
S0_BASELINE,2050,Rest of World,Manufac,20.73148225756792
S0_BASELINE,2050,Rest of World,Petro,0.2557190821568628
S0_BASELINE,2050,Rest of World,WatWaste,0.4513560988461984
S0_BASELINE,2050,Rest of World,OthServ,14.637667516298588
S0_BASELINE,2050,Rest of World,Transport,13.104641383690474
S0_BASELINE,2050,Rest of World,Power,38.58807610748006
S0_BASELINE,2050,Rest of World,Households,7.102574512248711
S0_BASELINE,2050,Southeast Asia,Rice,7.021959478405111
S0_BASELINE,2050,Southeast Asia,Crops nec,12.808771702263236
S0_BASELINE,2050,Southeast Asia,"Bovine cattle, sheep and goats, horses",0.0917482493719381
S0_BASELINE,2050,Southeast Asia,Animal products nec,23.722395463327864
S0_BASELINE,2050,Southeast Asia,Forestry,5.679807198823394
S0_BASELINE,2050,Southeast Asia,Coal,0.0531805419872199
S0_BASELINE,2050,Southeast Asia,Oil,0.1469786341443552
S0_BASELINE,2050,Southeast Asia,Gas,20.78167560388977
S0_BASELINE,2050,Southeast Asia,Mine,26.86000760802024
S0_BASELINE,2050,Southeast Asia,Manufac,160.82170740986595
S0_BASELINE,2050,Southeast Asia,Petro,73.88552778251801
S0_BASELINE,2050,Southeast Asia,WatWaste,1.6617961697379229
S0_BASELINE,2050,Southeast Asia,OthServ,89.06346694526835
S0_BASELINE,2050,Southeast Asia,Transport,837.821804342606
S0_BASELINE,2050,Southeast Asia,Power,877.3137439889853
S0_BASELINE,2050,Southeast Asia,Households,422.8870959441844
S0_BASELINE,2050,"Central, Western and South Asia",Rice,9.545144187021984
S0_BASELINE,2050,"Central, Western and South Asia",Crops nec,59.55297938408675
S0_BASELINE,2050,"Central, Western and South Asia","Bovine cattle, sheep and goats, horses",3.4655153696944656
S0_BASELINE,2050,"Central, Western and South Asia",Animal products nec,23.41181007052199
S0_BASELINE,2050,"Central, Western and South Asia",Forestry,1.927502920544537
S0_BASELINE,2050,"Central, Western and South Asia",Coal,5.9205381586597055
S0_BASELINE,2050,"Central, Western and South Asia",Oil,18.969112480395243
S0_BASELINE,2050,"Central, Western and South Asia",Gas,54.1060532569231
S0_BASELINE,2050,"Central, Western and South Asia",Mine,75.44684527036259
S0_BASELINE,2050,"Central, Western and South Asia",Manufac,748.041109738738
S0_BASELINE,2050,"Central, Western and South Asia",Petro,311.50366019868204
S0_BASELINE,2050,"Central, Western and South Asia",WatWaste,36.8850878988256
S0_BASELINE,2050,"Central, Western and South Asia",OthServ,313.2565426936049
S0_BASELINE,2050,"Central, Western and South Asia",Transport,1249.1133617383343
S0_BASELINE,2050,"Central, Western and South Asia",Power,2399.16617920472
S0_BASELINE,2050,"Central, Western and South Asia",Households,1194.1582068399418
S0_BASELINE,2050,India,Rice,33.90940990651947
S0_BASELINE,2050,India,Crops nec,23.858674586789128
S0_BASELINE,2050,India,"Bovine cattle, sheep and goats, horses",0.0143979410006867
S0_BASELINE,2050,India,Animal products nec,1.2868520203566811
S0_BASELINE,2050,India,Forestry,4.399224973700544
S0_BASELINE,2050,India,Coal,0.0831739053287058
S0_BASELINE,2050,India,Oil,0.0014415988128224
S0_BASELINE,2050,India,Gas,0.3702704334108807
S0_BASELINE,2050,India,Mine,13.827939478965328
S0_BASELINE,2050,India,Manufac,165.3392179286569
S0_BASELINE,2050,India,Petro,165.72797904202537
S0_BASELINE,2050,India,WatWaste,5.830480326577392
S0_BASELINE,2050,India,OthServ,35.86234147685268
S0_BASELINE,2050,India,Transport,393.7430690154065
S0_BASELINE,2050,India,Power,1410.1917859997898
S0_BASELINE,2050,India,Households,688.8272530400471
S0_BASELINE,2050,Canada,Rice,0.5405410823331384
S0_BASELINE,2050,Canada,Crops nec,61.38434422643141
S0_BASELINE,2050,Canada,"Bovine cattle, sheep and goats, horses",2.6033979233192848
S0_BASELINE,2050,Canada,Animal products nec,11.193283400646838
S0_BASELINE,2050,Canada,Forestry,13.798118366452
S0_BASELINE,2050,Canada,Coal,0.2879571103805988
S0_BASELINE,2050,Canada,Oil,27.483333064218705
S0_BASELINE,2050,Canada,Gas,76.8739847115209
