scenario,year,technology,generation_TWh,generation_TWh_S0,generation_TWh_gap,generation_TWh_pct
S1_NO_CN,2030,Nuclear,5641.059588156198,5206.298074033789,434.7615141224087,8.350684266249852
S2_CAPACITY,2030,Nuclear,6308.730682446323,5206.298074033789,1102.4326084125341,21.17498062415739
S1_NO_CN,2030,Oil_Power,1360.3081531576165,1336.0304728693607,24.27768028825585,1.8171501909021026
S2_CAPACITY,2030,Oil_Power,1173.7241737367544,1336.0304728693607,-162.30629913260623,-12.148397991553656
S1_NO_CN,2030,Solar,5447.619584081455,7538.494440539657,-2090.874856458202,-27.735973979288666
S2_CAPACITY,2030,Solar,6643.991257464126,7538.494440539657,-894.5031830755315,-11.865806761959977
S1_NO_CN,2030,Wind,5707.479930482795,6015.598990219285,-308.11905973649027,-5.1220013208569695
S2_CAPACITY,2030,Wind,6830.774236679288,6015.598990219285,815.1752464600031,13.55102372657137
S1_NO_CN,2035,Biomass,383.08666846182024,354.99089868567586,28.09576977614438,7.9145042535362515
S2_CAPACITY,2035,Biomass,389.3715201919174,354.99089868567586,34.38062150624154,9.684930411887438
S1_NO_CN,2035,Coal_Power,12241.84560888574,12109.182385361746,132.66322352399402,1.0955588850025475
S2_CAPACITY,2035,Coal_Power,9310.727609963003,12109.182385361746,-2798.4547753987426,-23.110187676929126
S1_NO_CN,2035,Gas_Power,8101.61369296772,7951.110153052697,150.5035399150238,1.8928619654104586
S2_CAPACITY,2035,Gas_Power,7191.674337933997,7951.110153052697,-759.4358151186998,-9.551317998369411
S1_NO_CN,2035,Hydro,2667.446447672782,2586.7162685928497,80.73017907993244,3.1209522304450084
S2_CAPACITY,2035,Hydro,3141.08328127468,2586.7162685928497,554.3670126818301,21.431303441076697
S1_NO_CN,2035,Nuclear,6322.130102334587,5843.13377055581,478.99633177877695,8.197593116770522
S2_CAPACITY,2035,Nuclear,7010.569211779626,5843.13377055581,1167.4354412238163,19.97961174715272
S1_NO_CN,2035,Oil_Power,1598.8760315769496,1571.6241810228396,27.25185055410998,1.7339928262222342
S2_CAPACITY,2035,Oil_Power,1368.5786966007827,1571.6241810228396,-203.04548442205692,-12.919468081097573
S1_NO_CN,2035,Solar,6351.9301275452835,8539.164413062164,-2187.234285516881,-25.61414887586798
S2_CAPACITY,2035,Solar,7626.403826244832,8539.164413062164,-912.7605868173323,-10.689108941632549
S1_NO_CN,2035,Wind,6440.653179308136,6760.013915395704,-319.3607360875685,-4.724261519051539
S2_CAPACITY,2035,Wind,7630.394887709549,6760.013915395704,870.3809723138447,12.875431666369522
S1_NO_CN,2040,Biomass,426.2314338541612,396.1279835873208,30.10345026684041,7.5994253155822635
S2_CAPACITY,2040,Biomass,431.74422614577554,396.1279835873208,35.61624255845476,8.991094806258156
S1_NO_CN,2040,Coal_Power,12521.202072476417,12385.980251840492,135.22182063592481,1.0917328938565969
S2_CAPACITY,2040,Coal_Power,9603.195072656557,12385.980251840492,-2782.785179183935,-22.467217956127673
S1_NO_CN,2040,Gas_Power,8609.832899719571,8455.89483332052,153.9380663990505,1.8204822722304486
S2_CAPACITY,2040,Gas_Power,7732.099614825024,8455.89483332052,-723.7952184954966,-8.559652559104398
S1_NO_CN,2040,Hydro,3063.8531946023677,2984.5540486830287,79.29914591933903,2.6569847496757766
S2_CAPACITY,2040,Hydro,3600.561997530636,2984.5540486830287,616.0079488476072,20.63986574876834
S1_NO_CN,2040,Nuclear,6635.543595050946,6149.251258419135,486.29233663181094,7.908155256560912
S2_CAPACITY,2040,Nuclear,7332.3842682550685,6149.251258419135,1183.133009835933,19.24027755763058
S1_NO_CN,2040,Oil_Power,1870.0891962615244,1838.6040500985976,31.485146162926867,1.7124484285367714
S2_CAPACITY,2040,Oil_Power,1585.7884111967403,1838.6040500985976,-252.81563890185726,-13.750412378798995
S1_NO_CN,2040,Solar,6928.249706005663,9137.437518078897,-2209.1878120732345,-24.177323321798273
S2_CAPACITY,2040,Solar,8315.039615483693,9137.437518078897,-822.3979025952049,-9.000312187832176
S1_NO_CN,2040,Wind,6807.693835186782,7138.652212785669,-330.9583775988867,-4.6361465404649405
S2_CAPACITY,2040,Wind,8086.512139479852,7138.652212785669,947.8599266941828,13.277855517271457
S1_NO_CN,2045,Biomass,460.1727341617105,428.08392454819693,32.08880961351355,7.495915584165027
S2_CAPACITY,2045,Biomass,466.0831643635758,428.08392454819693,37.99923981537887,8.876586490717576
S1_NO_CN,2045,Coal_Power,12458.149553547431,12318.556441718029,139.59311182940291,1.1331937511497436
S2_CAPACITY,2045,Coal_Power,9523.974697581509,12318.556441718029,-2794.58174413652,-22.685951534648883
S1_NO_CN,2045,Gas_Power,9019.069434874722,8862.485845650006,156.58358922471598,1.7668134195280238
S2_CAPACITY,2045,Gas_Power,8181.193487535263,8862.485845650006,-681.2923581147434,-7.687373158955664
S1_NO_CN,2045,Hydro,3505.692726538439,3426.4219675404856,79.27075899795318,2.313514206624539
S2_CAPACITY,2045,Hydro,4149.54339133146,3426.4219675404856,723.1214237909744,21.104272347110737
S1_NO_CN,2045,Nuclear,6790.876610105512,6298.59015054759,492.28645955792126,7.815819854783258
S2_CAPACITY,2045,Nuclear,7499.613273929445,6298.59015054759,1201.023123381855,19.068126273900194
S1_NO_CN,2045,Oil_Power,2153.1558721181077,2116.840269110736,36.31560300737192,1.715557075198109
S2_CAPACITY,2045,Oil_Power,1806.5790509751703,2116.840269110736,-310.2612181355655,-14.656808199605125
S1_NO_CN,2045,Solar,7315.566305305877,9509.152103978662,-2193.585798672785,-23.068153445089823
S2_CAPACITY,2045,Solar,8878.872076757192,9509.152103978662,-630.2800272214699,-6.628141187874769
S1_NO_CN,2045,Wind,7010.421547188332,7353.065248316667,-342.6437011283351,-4.6598757056695
