technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed
wind,Indonesia,2010,,2024 USD/kW,Fig 2.7,C19,source_blank,False
wind,Indonesia,2011,,2024 USD/kW,Fig 2.7,D19,source_blank,False
wind,Indonesia,2012,,2024 USD/kW,Fig 2.7,E19,source_blank,False
wind,Indonesia,2013,,2024 USD/kW,Fig 2.7,F19,source_blank,False
wind,Indonesia,2014,,2024 USD/kW,Fig 2.7,G19,source_blank,False
wind,Indonesia,2015,,2024 USD/kW,Fig 2.7,H19,source_blank,False
wind,Indonesia,2016,,2024 USD/kW,Fig 2.7,I19,source_blank,False
wind,Indonesia,2017,3097.299637410054,2024 USD/kW,Fig 2.7,J19,IRENA_reported_cell,False
wind,Indonesia,2018,2381.944059822307,2024 USD/kW,Fig 2.7,K19,IRENA_reported_cell,False
wind,Indonesia,2019,2658.183405648922,2024 USD/kW,Fig 2.7,L19,IRENA_reported_cell,False
wind,Indonesia,2020,2529.2843138084572,2024 USD/kW,Fig 2.7,M19,IRENA_reported_cell,False
wind,Indonesia,2021,,2024 USD/kW,Fig 2.7,N19,source_blank,False
wind,Indonesia,2022,,2024 USD/kW,Fig 2.7,O19,source_blank,False
wind,Indonesia,2023,,2024 USD/kW,Fig 2.7,P19,source_blank,False
wind,Indonesia,2024,,2024 USD/kW,Fig 2.7,Q19,source_blank,False
wind,Ireland,2010,4238.2409612573065,2024 USD/kW,Fig 2.7,C20,IRENA_reported_cell,False
wind,Ireland,2011,2580.440328439444,2024 USD/kW,Fig 2.7,D20,IRENA_reported_cell,False
wind,Ireland,2012,2580.440328439444,2024 USD/kW,Fig 2.7,E20,IRENA_reported_cell,False
wind,Ireland,2013,2580.440328439444,2024 USD/kW,Fig 2.7,F20,IRENA_reported_cell,False
wind,Ireland,2014,2613.199770395157,2024 USD/kW,Fig 2.7,G20,IRENA_reported_cell,False
wind,Ireland,2015,2308.9361491467293,2024 USD/kW,Fig 2.7,H20,IRENA_reported_cell,False
wind,Ireland,2016,2181.839458688478,2024 USD/kW,Fig 2.7,I20,IRENA_reported_cell,False
wind,Ireland,2017,2407.8265834464555,2024 USD/kW,Fig 2.7,J20,IRENA_reported_cell,False
wind,Ireland,2018,2414.507673472744,2024 USD/kW,Fig 2.7,K20,IRENA_reported_cell,False
wind,Ireland,2019,2805.127758790899,2024 USD/kW,Fig 2.7,L20,IRENA_reported_cell,False
wind,Ireland,2020,2634.9848509409,2024 USD/kW,Fig 2.7,M20,IRENA_reported_cell,False
wind,Ireland,2021,,2024 USD/kW,Fig 2.7,N20,source_blank,False
wind,Ireland,2022,2153.309866272955,2024 USD/kW,Fig 2.7,O20,IRENA_reported_cell,False
wind,Ireland,2023,1837.4154820634717,2024 USD/kW,Fig 2.7,P20,IRENA_reported_cell,False
wind,Ireland,2024,1605.3455419648749,2024 USD/kW,Fig 2.7,Q20,IRENA_reported_cell,False
wind,Japan,2010,3269.423400458563,2024 USD/kW,Fig 2.7,C21,IRENA_reported_cell,False
wind,Japan,2011,2779.0098903897792,2024 USD/kW,Fig 2.7,D21,IRENA_reported_cell,False
wind,Japan,2012,4129.473858593708,2024 USD/kW,Fig 2.7,E21,IRENA_reported_cell,False
wind,Japan,2013,3679.0938721614425,2024 USD/kW,Fig 2.7,F21,IRENA_reported_cell,False
wind,Japan,2014,3476.629347013712,2024 USD/kW,Fig 2.7,G21,IRENA_reported_cell,False
wind,Japan,2015,2766.4351850034004,2024 USD/kW,Fig 2.7,H21,IRENA_reported_cell,False
wind,Japan,2016,3269.842615986735,2024 USD/kW,Fig 2.7,I21,IRENA_reported_cell,False
wind,Japan,2017,2942.611902077537,2024 USD/kW,Fig 2.7,J21,IRENA_reported_cell,False
wind,Japan,2018,3109.3264626590585,2024 USD/kW,Fig 2.7,K21,IRENA_reported_cell,False
wind,Japan,2019,2694.574217673985,2024 USD/kW,Fig 2.7,L21,IRENA_reported_cell,False
wind,Japan,2020,3752.849810309514,2024 USD/kW,Fig 2.7,M21,IRENA_reported_cell,False
wind,Japan,2021,3556.955248637961,2024 USD/kW,Fig 2.7,N21,IRENA_reported_cell,False
wind,Japan,2022,3737.176810014049,2024 USD/kW,Fig 2.7,O21,IRENA_reported_cell,False
wind,Japan,2023,2441.4167101606376,2024 USD/kW,Fig 2.7,P21,IRENA_reported_cell,False
wind,Japan,2024,2891.0806973555455,2024 USD/kW,Fig 2.7,Q21,IRENA_reported_cell,False
wind,Mexico,2010,3341.0880308776045,2024 USD/kW,Fig 2.7,C22,IRENA_reported_cell,False
wind,Mexico,2011,3049.896202763099,2024 USD/kW,Fig 2.7,D22,IRENA_reported_cell,False
wind,Mexico,2012,2645.8153523573474,2024 USD/kW,Fig 2.7,E22,IRENA_reported_cell,False
wind,Mexico,2013,2964.005064940783,2024 USD/kW,Fig 2.7,F22,IRENA_reported_cell,False
wind,Mexico,2014,3016.5842014860027,2024 USD/kW,Fig 2.7,G22,IRENA_reported_cell,False
wind,Mexico,2015,2583.2227154219413,2024 USD/kW,Fig 2.7,H22,IRENA_reported_cell,False
wind,Mexico,2016,2419.2764969037926,2024 USD/kW,Fig 2.7,I22,IRENA_reported_cell,False
wind,Mexico,2017,2322.045285768722,2024 USD/kW,Fig 2.7,J22,IRENA_reported_cell,False
wind,Mexico,2018,1799.024840899802,2024 USD/kW,Fig 2.7,K22,IRENA_reported_cell,False
wind,Mexico,2019,2106.4868383930852,2024 USD/kW,Fig 2.7,L22,IRENA_reported_cell,False
wind,Mexico,2020,1805.008890626959,2024 USD/kW,Fig 2.7,M22,IRENA_reported_cell,False
