technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
wind,ESP,2012,0.05241562338288858,2489.7916665030607,1274.3521750855318,1163.1954442529536,1215.4394914175289,2437.5476193384857,261.36127,0.8334319771249964,-0.5083763749600175,0.0,excluded_for_wind,False,33.51200626492823,144.622714373039,1.5565195918601786,10.222707817444746,0.0,189.91394804727216,2627.461567385758
wind,ESP,2013,0.05241562338288858,2478.4744316553188,1313.9247644918669,1098.9298018203383,1164.5496671634519,2412.854566312205,292.27612,0.7998293873615128,-0.5083763749600175,0.0,excluded_for_wind,False,8.417353281274686,26.45265894538714,0.30190000836641206,14.385175502395915,0.0,49.557087737424155,2462.4116540496293
wind,ESP,2014,0.05241562338288858,2087.660762101033,1230.136489703782,1016.6275710217546,857.524272397251,2246.7640607255366,340.63979000000006,0.7694570854450093,-0.5083763749600175,0.0,excluded_for_wind,False,1.6373545272904015,1.3149117284533238,0.0,14.19009957815942,0.0,17.142365833903146,2263.9064265594398
wind,ESP,2015,0.05241562338288858,1974.0001131302856,1130.4731365544953,931.8878323154838,843.5269765757903,2062.360968869979,404.24651,0.7214741816818653,-0.5083763749600175,0.0,excluded_for_wind,False,1.669090741306304,0.6504212456361663,0.0,17.439407941643488,0.0,19.758919928585957,2082.1198887985647
wind,ESP,2016,0.05241562338288858,1944.6505362263824,1085.40331935218,879.9812165852829,859.2472168742024,1965.384535937463,452.48745,0.7146964186520532,-0.5083763749600175,0.0,excluded_for_wind,False,10.249813935762097,18.357963089189237,0.0,26.306458392472088,0.0,54.91423541742342,2020.2987713548864
wind,ESP,2017,0.05241562338288858,2134.4262580278214,1055.3854099515836,840.1238848528548,1079.0408480762378,1895.5092948044385,495.6822,0.710261574855825,-0.5083763749600175,0.0,excluded_for_wind,False,1.3359142912073536,-0.5392059085002596,0.0,25.94324361949252,0.0,26.739952002199615,1922.249246806638
wind,ESP,2018,0.05241562338288858,2785.848293599864,1007.4696711386296,804.7583466317225,1778.3786224612345,1812.228017770352,539.4404499999999,0.6995445558448573,-0.5083763749600175,0.0,excluded_for_wind,False,9.548470351452865,14.47242360120824,0.0,28.145504510799242,0.0,52.16639846346035,1864.3944162338123
wind,ESP,2019,0.05241562338288858,1848.056275124011,949.4835708386137,766.1290172852874,898.5727042853974,1715.612588123901,594.24654,0.6876345464291639,-0.5083763749600175,0.0,excluded_for_wind,False,22.09236156205569,35.34833959673487,0.0,30.079900689634457,0.0,87.52060184842502,1803.1331899723261
wind,ESP,2020,0.05241562338288858,1450.2230865567224,875.8118270380786,705.7747260058753,574.4112595186438,1581.586553043954,698.33524,0.6349287915070704,-0.5083763749600175,0.0,excluded_for_wind,False,19.818440949013265,28.337534469632857,0.0,35.54528243735583,0.0,83.70125785600194,1665.287810899956
wind,ESP,2021,0.05241562338288858,1330.7665242650544,731.3449845394781,671.9009244719164,599.4215397255763,1403.2459090113944,769.27527,0.6301816773597831,-0.5083763749600175,0.0,excluded_for_wind,False,86.56043333549474,121.95139876144351,-0.09267886350485945,21.986076904283212,0.0,230.4052301377166,1633.651139149111
wind,ESP,2022,0.05241562338288858,1230.4390450051137,725.430248636965,642.603111449174,505.00879636814875,1368.033360086139,839.7858299999999,0.622067819362944,-0.5083763749600175,0.0,excluded_for_wind,False,74.67723391978353,95.97954096530962,-2.58499181903144,23.429465727919464,0.0,191.50124879398118,1559.5346088801202
wind,ESP,2023,0.05241562338288858,1185.8472461907195,780.8195342956693,605.7864714655723,405.0277118950502,1386.6060057612417,943.12808,0.5902443176116652,-0.5083763749600175,0.0,excluded_for_wind,False,3.5137402066973538,1.6784770628171526,-0.12875626553143366,35.08438210182027,0.0,40.14784310580334,1426.753848867045
wind,ESP,2024,0.05241562338288858,1398.8328190572436,704.3477312453125,573.8383489698434,694.4850878119311,1278.186080215156,1049.19276,0.5598405673329274,-0.5083763749600175,0.0,excluded_for_wind,False,35.37341494384624,40.594065380713836,-0.7578177594740783,31.940142069510014,0.0,107.14980463459602,1385.335884849752
wind,FRA,2010,0.045298839205294386,2950.0624683907927,1968.843489066251,807.8512668513363,981.2189793245416,2776.6947559175874,177.71164000000002,0.9331638040141884,0.2520769073090383,0.0,excluded_for_wind,False,0.0,0.0,0.0,0.0,0.0,0.0,2776.6947559175874
