technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct
pv,IND,India,2010,2024,Shapley,5490.645156154766,1382.9262040955734,276.2905677505464,-209.50200575711443,10.051998081492028,157.4270848501455,1617.193849020643,3873.4513071341225,209.50200575711443,-455.26299480418317,0.0,25.18695280363138,5.032023740249124,-3.815617287201161,0.18307499019899676,2.867187377309875,29.45362162418822
pv,IND,India,2010,2024,SDA,5490.645156154766,559.4397006675546,375.4974451262704,-235.1065728689962,15.870553838482316,157.4270848501455,873.1282116134566,4617.516944541311,235.1065728689962,-1196.7646553051022,1136.3173331069288,10.188961128556048,6.83885835720698,-4.281948044037272,0.2890471590700437,2.867187377309875,15.902105978105675
pv,ITA,Italy,2010,2024,Shapley,5274.714075159887,701.923323340308,-23.18287713484096,0.0,10.558548786557472,243.9470039760424,933.2459989680669,4341.468076191821,-0.0,0.0,0.0,13.307324593116098,-0.4395096455372937,0.0,0.2001729124291428,4.624838436738353,17.6928262967463
pv,ITA,Italy,2010,2024,SDA,5274.714075159887,759.9723759573866,-37.05352324143435,0.0,14.557743115612784,243.9470039760424,981.4235998076074,4293.29047535228,-0.0,0.0,62.83426011485324,14.407840218985713,-0.7024745363152444,0.0,0.2759911325652568,4.624838436738353,18.60619525197408
pv,JPN,Japan,2011,2024,Shapley,4732.825819242991,639.2180092003497,608.4898329204796,0.0,88.74854681650554,166.19573722610153,1502.6521261634364,3230.173693079555,-0.0,0.0,0.0,13.506053964660625,12.856797527735907,0.0,1.8751703571187146,3.5115540603749555,31.7495759098902
pv,JPN,Japan,2011,2024,SDA,4732.825819242991,313.4288759237558,928.1476073756957,0.0,109.62982866128758,166.19573722610153,1517.4020491868405,3215.423770056153,-0.0,0.0,-384.2161416442147,6.622446882566414,19.610854969603583,0.0,2.3163715050646574,3.5115540603749555,32.06122741760961
pv,KOR,South Korea,2011,2024,Shapley,5750.361703815428,702.0310850818194,71.4104758517725,0.0,30.91390413377113,275.9027241328142,1080.2581892001772,4670.103514615251,-0.0,-0.00010816196880784333,0.0,12.208468288455908,1.2418432010005713,0.0,0.5375992976799949,4.798006427139179,18.785917214275653
pv,KOR,South Korea,2011,2024,SDA,5750.361703815428,361.84816036804807,159.3772467342299,0.0,42.443309996587416,275.9027241328142,839.5714412316797,4910.790262583749,-0.0,-0.00030767092341439,-328.2034806659788,6.292615647602791,2.7716038563014456,0.0,0.7380980916109297,4.798006427139179,14.600324022654348
pv,USA,United States,2010,2024,Shapley,4494.391436929972,466.8249416520011,-67.76020198773544,-206.0381831908768,27.316474838873727,291.80959404199143,512.152625354254,3982.2388115757158,206.0381831908768,-130.3961278207761,0.0,10.386833194281799,-1.5076613361034052,-4.584339973102506,0.6077902920163327,6.492749866961314,11.395372044053536
pv,USA,United States,2010,2024,SDA,4494.391436929972,733.9826145610625,-294.7427345037327,-600.9754280376892,35.02417594125151,291.80959404199143,165.09822200288355,4329.2932149270855,600.9754280376892,-194.87994349954846,903.351183226696,16.33107896499623,-6.5580121055291425,-13.371675263964176,0.7792862823086859,6.492749866961314,3.6734277447729125
