iso3,year,price,source,scope,period,raw_value,raw_unit,conversion,source_location,Q_global_gw,material,logQ,logM,eligible,logP
CHN,2021,0.3464040549812865,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.3464040549812865,2024 USD/W,1.0,CHN__china_domestic_typical,854.92824,31.256607742554525,6.751017535589894,3.442230801592228,True,-1.060149396296303
USA,2021,0.4049731142108663,NREL Q1 2021,utility module component,Q1,0.334125508583433,2020 USD/Wdc,1.21203890097407,raw/NREL/2021/Data File (U.S. Solar Photovoltaic  BESS System Cost Benchmark Q1 2021 Report).xlsx / Figures ES-1!I4,854.92824,31.256607742554525,6.751017535589894,3.442230801592228,True,-0.903934598743685
DEU,2021,0.6237461295178601,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.4554545454545454,nominal EUR/Wp; digitized,1.3695024799793336,"PDF p9, original image year 2021; 2006 anchor 3306.6 EUR/kWp",854.92824,31.256607742554525,6.751017535589894,3.442230801592228,True,-0.4720118371174482
JPN,2021,,,,,,,,,854.92824,31.256607742554525,6.751017535589894,3.442230801592228,False,
KOR,2021,,,,,,,,,854.92824,31.256607742554525,6.751017535589894,3.442230801592228,False,
CHN,2022,0.302580926235985,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.302580926235985,2024 USD/W,1.0,CHN__china_domestic_typical,1045.85862,37.51555585928825,6.952593472965691,3.62475566987548,True,-1.1954065125425473
USA,2022,0.407821932397461,NREL Q1 2022,utility module component,Q1,0.35228366,2021 USD/Wdc,1.1576521386131309,raw/NREL/2022/U.S. Solar Photovoltaic System and Energy Storage Cost Benchmarks With Minimum Sustainable Price Analysis Data File.xlsx / Figures ES-1!L4,1045.85862,37.51555585928825,6.952593472965691,3.62475566987548,True,-0.896924640048022
DEU,2022,0.6068253336624042,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.5374363636363636,nominal EUR/Wp; digitized,1.129111044062121,"PDF p9, original image year 2022; 2006 anchor 3306.6 EUR/kWp",1045.85862,37.51555585928825,6.952593472965691,3.62475566987548,True,-0.4995142827708059
JPN,2022,,,,,,,,,1045.85862,37.51555585928825,6.952593472965691,3.62475566987548,False,
KOR,2022,,,,,,,,,1045.85862,37.51555585928825,6.952593472965691,3.62475566987548,False,
