iso3,country,year,tic,G_global,logC,logQ,logG,logM,source_sheet,source_cell,model_id,spec,fit_end,fitted_log_cost,residual
JPN,Japan,2012,4666.397750554368,42659.71000000001,8.448142693387702,4.598290072191402,10.661010194065058,3.523311081544699,Figure 3.3,E13,pv_JPN_2022_D,D,2022,8.519975909812251,-0.0718332164245492
JPN,Japan,2013,3986.820627069335,43732.739,8.290749356920927,4.90117475518874,10.685852276792648,3.015723559908184,Figure 3.3,F13,pv_JPN_2022_D,D,2022,8.33584177348217,-0.04509241656124274
JPN,Japan,2014,3654.82914695912,44962.4651,8.203804626073271,5.151279397977148,10.713583311801187,3.26713839072327,Figure 3.3,G13,pv_JPN_2022_D,D,2022,8.197967783090949,0.005836842982322565
JPN,Japan,2015,2644.6984988513204,45982.21859000001,7.880312348703021,5.39300057712095,10.736010048349293,3.164990795937875,Figure 3.3,H13,pv_JPN_2022_D,D,2022,8.056124850398108,-0.1758125016950869
JPN,Japan,2016,2901.8816159801127,48058.99673100001,7.973114638669967,5.674382328161501,10.780184633729247,2.929240932529897,Figure 3.3,I13,pv_JPN_2022_D,D,2022,7.926488322972233,0.046626315697734455
JPN,Japan,2017,2632.3006248899737,50808.097057900006,7.8756135051058145,5.951553934028465,10.835811011768737,2.891409513410439,Figure 3.3,J13,pv_JPN_2022_D,D,2022,7.822576556143584,0.05303694896223021
JPN,Japan,2018,2502.241154612059,54640.287352110005,7.82494207111918,6.17063993071869,10.908526753237249,2.956890415537674,Figure 3.3,K13,pv_JPN_2022_D,D,2022,7.796889363638794,0.02805270748038602
JPN,Japan,2019,2465.1839596297914,56335.25861689902,7.810021712345271,6.363208897541072,10.939075881284436,2.5071504398904505,Figure 3.3,L13,pv_JPN_2022_D,D,2022,7.708793409752133,0.10122830259313798
JPN,Japan,2020,2156.084945202252,59295.73275520909,7.676049330697208,6.566156825734936,10.9902926221134,2.4948890766393457,Figure 3.3,M13,pv_JPN_2022_D,D,2022,7.6532999087621825,0.022749421935025715
JPN,Japan,2021,1923.3335172935465,62909.1594796882,7.561815166480589,6.751017535589894,11.049447051795886,3.442230801592228,Figure 3.3,N13,pv_JPN_2022_D,D,2022,7.627302051384913,-0.06548688490432397
JPN,Japan,2022,2022.7323093139555,68369.24353171937,7.612204504790826,6.952593472965691,11.132678346516066,3.62475566987548,Figure 3.3,O13,pv_JPN_2022_D,D,2022,7.635728672463724,-0.02352416767289789
KOR,Republic of Korea,2011,7012.58447961614,40361.90000000001,8.85546159676247,4.252328599622632,10.605666325206338,4.509679808932987,Figure 3.3,D16,pv_KOR_2022_A,A,2022,8.745198087641244,0.11026350912122673
KOR,Republic of Korea,2012,3628.137387695874,42659.71000000001,8.196474679232434,4.598290072191402,10.661033635112348,3.523311081544699,Figure 3.3,E16,pv_KOR_2022_A,A,2022,8.304576054400986,-0.10810137516855178
