model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_spec_window,p_BH_all_four_specs_window
pv_JPN_2022_A,pv,JPN,Japan,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.9038136869203228,1.3256092969274227,0.18887799463403926,-1.1530468334594008,4.9606742073000465,,0.4856862719161009,0.35414641837908933
pv_JPN_2022_A,pv,JPN,Japan,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,0.005991083539488962,0.11293976485693136,0.9589954078973659,-0.25444848124958086,0.2664306483285588,,0.9589954078973659,0.9589954078973659
pv_JPN_2022_B,pv,JPN,Japan,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-8.878713207497356,6.943674036362411,0.23299731458774395,-24.58639516537862,6.828968750383909,,,
pv_JPN_2022_B,pv,JPN,Japan,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.7689868836662797,0.14281325677970347,0.000441845528012459,-1.0920529154410077,-0.4459208518915517,***,0.001767382112049836,0.004418528932934742
pv_JPN_2022_B,pv,JPN,Japan,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.9636664067682368,0.7139137834219338,0.022456041286482306,0.3486812279400391,3.5786515855964343,**,0.03849607077682681,0.06862240750820295
pv_JPN_2022_C,pv,JPN,Japan,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-8.323154285114867,12.549291036302913,0.525824609587638,-37.26187130870996,20.61556273848022,,,
pv_JPN_2022_C,pv,JPN,Japan,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.7560252157623353,0.26913262113214914,0.022874135836067646,-1.3766461530114071,-0.1354042785132633,**,0.1372448150164059,0.06862240750820295
pv_JPN_2022_C,pv,JPN,Japan,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.903786519579299,1.3255906993858153,0.188878089802181,-1.1530311147925736,4.960604153951172,,0.48568651663417967,0.35414641837908933
pv_JPN_2022_C,pv,JPN,Japan,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,0.005991301627318091,0.11293968796774752,0.9589938889321663,-0.25444808585497586,0.26643068910961204,,0.9589938889321663,0.9589954078973659
pv_JPN_2022_D,pv,JPN,Japan,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-8.878380402218056,6.943549124381959,0.2330057111811294,-24.585779789568015,6.829018985131901,,,
pv_JPN_2022_D,pv,JPN,Japan,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.7689892231794189,0.14281402873851634,0.00044185289329347425,-1.092057001246305,-0.44592144511253295,***,0.001767411573173897,0.004418528932934742
pv_JPN_2022_D,pv,JPN,Japan,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.9636405407671873,0.7139039834841449,0.02245598523203311,0.34867753093845444,3.57860355059592,**,0.038495974683485326,0.06862240750820295
pv_KOR_2022_A,pv,KOR,Republic of Korea,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,18.138873640129304,14.638165359041523,0.2504099536033232,-15.61679620962282,51.89454348988143,,,
pv_KOR_2022_A,pv,KOR,Republic of Korea,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.34355269019556545,0.31571199049840165,0.30820718501047134,-1.071585845818418,0.3844804654272871,,0.6627992578014568,0.4885361976228688
pv_KOR_2022_A,pv,KOR,Republic of Korea,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,-0.8660152683433608,1.5400222588360821,0.5892901236123026,-4.417312965525826,2.6852824288391046,,0.8831477400541777,0.7372926256515595
pv_KOR_2022_A,pv,KOR,Republic of Korea,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,0.27760115997852886,0.12104723935609964,0.050999139049850525,-0.0015342745316853645,0.556736594488743,*,0.18359690057946187,0.1274978476246263
pv_KOR_2022_B,pv,KOR,Republic of Korea,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-7.587501232616901,14.286813954522698,0.6082153510031729,-39.906519754204325,24.731517288970522,,,
pv_KOR_2022_B,pv,KOR,Republic of Korea,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.9442248844035839,0.28517654267017317,0.009069173829366176,-1.5893390430828838,-0.299110725724284,***,0.021766017190478822,0.04534717035540766
