target,technology,iso3,supplier,P0,P1,S0,S1,T0,T1,price_weight,tariff_weight,gap0,gap1
CHN,pv,KOR,BLZ,3062.9400472240845,252.29920450144743,2.3193045331368075e-07,0.0,0.0,0.0,1.1596522665684037e-07,0.0002465490026868865,0.0,0.0
CHN,pv,KOR,BRA,3062.9400472240845,252.29920450144743,1.9533121103080113e-06,0.0,0.0,0.0,9.766560551540057e-07,0.002076429144392358,0.0,0.0
CHN,pv,KOR,CAN,3062.9400472240845,252.29920450144743,0.00014394798479978302,2.3034571374525523e-05,0.0,0.0,8.349127808715426e-05,0.16671712932946917,0.0,0.0
CHN,pv,KOR,CHE,3062.9400472240845,252.29920450144743,0.00014005824005232628,2.7895077260893287e-07,0.0,0.0,7.016859541246762e-05,0.14905195582629002,0.0,0.0
CHN,pv,KOR,CHN,2270.6250354815543,109.4301787373887,0.1977383143519899,0.6422886993471977,0.0,0.0,0.4200135068495938,419.7643347086062,17.073025874472293,42.51497897101304
CHN,pv,KOR,CZE,3062.9400472240845,252.29920450144743,1.032407007367616e-06,1.775141280238664e-08,0.0,0.0,5.250792100850014e-07,0.001108034308384588,0.0,0.0
CHN,pv,KOR,DEU,2665.423973792646,283.7183486914308,0.027891721068009075,0.0001653159329391035,0.0,0.0,0.014028518500474088,26.189060071918778,15.230779982589757,80.4622583323853
CHN,pv,KOR,DJI,3062.9400472240845,252.29920450144743,5.686921731041329e-06,0.0,0.0,0.0,2.8434608655206646e-06,0.006045367743279087,0.0,0.0
CHN,pv,KOR,DNK,3062.9400472240845,252.29920450144743,3.7258190946598014e-06,0.0,0.0,0.0,1.862909547329901e-06,0.003960657036865058,0.0,0.0
CHN,pv,KOR,DOM,3062.9400472240845,252.29920450144743,1.633900541293789e-06,0.0,0.0,0.0,8.169502706468945e-07,0.0017368851015037694,0.0,0.0
CHN,pv,KOR,ESP,3062.9400472240845,252.29920450144743,4.260590018818826e-05,0.0008173773273718376,0.0,0.0,0.00042999161378001294,0.5312955198734126,0.0,0.0
CHN,pv,KOR,FIN,3062.9400472240845,252.29920450144743,9.076936691407216e-06,0.0,0.0,0.0,4.538468345703608e-06,0.00964905495050162,0.0,0.0
CHN,pv,KOR,FRA,3062.9400472240845,252.29920450144743,0.00030501987051441084,2.494496151421094e-06,0.0,0.0,0.00015375718333291596,0.32572843913873545,0.0,0.0
CHN,pv,KOR,GBR,3062.9400472240845,252.29920450144743,1.4882014734563563e-05,0.0,0.0,0.0,7.441007367281781e-06,0.015820026384442746,0.0,0.0
CHN,pv,KOR,GEO,3062.9400472240845,252.29920450144743,7.404732730251965e-06,0.0,0.0,0.00888888895511627,3.713336339622903e-06,0.007871452169057958,0.0,0.0
CHN,pv,KOR,HKG,3062.9400472240845,252.29920450144743,0.003503594338412711,2.750623678998387e-06,0.0,0.0,0.0017531724810458547,3.726060972822411,0.0,0.0
CHN,pv,KOR,HUN,3062.9400472240845,252.29920450144743,1.1712406741027612e-05,5.7480765264871026e-08,0.0,0.0,5.884943753146242e-06,0.012484815842846006,0.0,0.0
CHN,pv,KOR,IDN,3062.9400472240845,252.29920450144743,0.00045045048980756015,1.0023631095747656e-05,0.0,0.0,0.00023023706045165388,0.4848022797829013,0.0,0.0
CHN,pv,KOR,IND,3062.9400472240845,252.29920450144743,2.591226353627879e-05,0.0,0.0,0.0,1.2956131768139393e-05,0.02754551047933673,0.0,0.0
CHN,pv,KOR,IRL,3062.9400472240845,252.29920450144743,6.599062492149018e-06,0.0,0.0,0.0,3.299531246074509e-06,0.007015000629983288,0.0,0.0
CHN,pv,KOR,ISR,3062.9400472240845,252.29920450144743,7.599658184716438e-06,0.0,0.0,0.0,3.799829092358219e-06,0.0080786637521419,0.0,0.0
CHN,pv,KOR,ITA,3062.9400472240845,252.29920450144743,0.00034137955412052984,0.0012406437048426877,0.0,0.0,0.0007910116294816088,1.100570688779736,0.0,0.0
CHN,pv,KOR,JPN,6777.605704087598,675.3155443398249,0.0501379641178737,4.2753735423250735e-05,0.0,0.0,0.025090358926648477,118.97286036815468,57.44992627181614,302.21394992065706
