technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed
pv,ITA,2013,2424.211548272102,1149.3520412138007,1427.8056267862733,1274.8595070583012,-0.5895247210083466,2577.157668000074,6085.75,reported,2424.211548272102
pv,ITA,2014,2241.319524548638,1099.8973042530074,1232.070231031801,1141.4222202956307,-0.5895247210083466,2331.9675352848085,6085.75,reported,2241.319524548638
pv,ITA,2015,,956.6572146746878,1068.4353178747895,1068.4353178747895,-0.5895247210083466,2025.0925325494773,6085.75,interpolate_country,1880.182631454855
pv,ITA,2016,,801.6455196616977,905.1213645652872,905.1213645652872,-0.5895247210083466,1706.766884226985,6085.75,interpolate_country,1519.045738361072
pv,ITA,2017,1157.9088452672888,713.1596128949249,768.6759779050053,444.74923237236396,-0.5895247210083466,1481.8355907999303,6085.75,reported,1157.9088452672888
pv,ITA,2018,1036.4459520977036,616.2784775319706,675.540367130325,420.1674745657331,-0.5895247210083466,1291.8188446622955,6085.75,reported,1036.4459520977036
pv,ITA,2019,988.655656329996,446.3330178184268,603.0431469997687,542.3226385115692,-0.5895247210083466,1049.3761648181955,6085.75,reported,988.655656329996
pv,ITA,2020,918.8087537918004,423.14375835790435,535.0423632020645,495.6649954338961,-0.5895247210083466,958.1861215599688,6085.75,reported,918.8087537918004
pv,ITA,2021,891.5029479724126,501.8744579783961,479.7983775629638,389.6284899940165,-0.5895247210083466,981.67283554136,6085.75,reported,891.5029479724126
pv,ITA,2022,818.4876080028004,450.6360829634915,426.0394598222403,367.85152503930885,-0.5895247210083466,876.6755427857317,6085.75,reported,818.4876080028004
pv,ITA,2023,840.9617751669034,308.42767998020594,357.4521365207164,532.5340951866974,-0.5895247210083466,665.8798165009223,6085.75,reported,840.9617751669034
pv,ITA,2024,804.1602225425657,212.89001534158686,303.0347030331993,591.2702072009789,-0.5895247210083466,515.9247183747862,6085.75,reported,804.1602225425657
pv,JPN,2010,,4866.010182527956,2429.621996377581,1778.2663193369026,-0.1713694705319817,7295.632178905537,2533.3300000000017,carry_2011,6644.276501864859
pv,JPN,2011,6644.276501864859,3597.0302141004568,2203.456688815622,3047.246287764402,-0.1713694705319817,5800.486902916078,2533.3300000000017,reported,6644.276501864859
pv,JPN,2012,4666.397750554368,2561.70069908722,2076.6169746323494,2104.697051467148,-0.1713694705319817,4638.31767371957,2533.3300000000017,reported,4666.397750554368
pv,JPN,2013,3986.820627069335,1968.6390921824886,1971.5793603935224,2018.1815348868463,-0.1713694705319817,3940.2184525760113,2533.3300000000017,reported,3986.820627069335
pv,JPN,2014,3654.82914695912,1747.6219031195458,1888.8621809571275,1907.2072438395742,-0.1713694705319817,3636.4840840766733,2533.3300000000017,reported,3654.82914695912
pv,JPN,2015,2644.6984988513204,1496.4610969436908,1812.2170707048165,1148.2374019076296,-0.1713694705319817,3308.678167648507,2533.3300000000017,reported,2644.6984988513204
pv,JPN,2016,2901.8816159801127,1224.9778604925011,1726.9049412531112,1676.9037554876115,-0.1713694705319817,2951.8828017456126,2533.3300000000017,reported,2901.8816159801127
pv,JPN,2017,2632.3006248899737,1063.9791124449703,1646.7966943648687,1568.3215124450035,-0.1713694705319817,2710.775806809839,2533.3300000000017,reported,2632.3006248899737
pv,JPN,2018,2502.241154612059,951.1603439772703,1586.1145595484602,1551.0808106347886,-0.1713694705319817,2537.27490352573,2533.3300000000017,reported,2502.241154612059
pv,JPN,2019,2465.1839596297914,783.5391603702972,1534.6263181598365,1681.6447992594942,-0.1713694705319817,2318.1654785301334,2533.3300000000017,reported,2465.1839596297914
pv,JPN,2020,2156.084945202252,688.6836572393189,1482.1708912549786,1467.401287962933,-0.1713694705319817,2170.8545484942974,2533.3300000000017,reported,2156.084945202252
pv,JPN,2021,1923.3335172935465,751.9509647914616,1435.9524388423793,1171.3825525020848,-0.1713694705319817,2187.9034036338408,2533.3300000000017,reported,1923.3335172935465
pv,JPN,2022,2022.7323093139555,667.9109845728742,1387.1959227338996,1354.8213247410813,-0.1713694705319817,2055.106907306774,2533.3300000000017,reported,2022.7323093139555
pv,JPN,2023,1920.0374804638247,473.5717274876743,1318.189585120835,1446.4657529761505,-0.1713694705319817,1791.7613126085093,2533.3300000000017,reported,1920.0374804638247
pv,JPN,2024,1911.450682621868,315.6578779059118,1256.3999687750404,1595.7928047159562,-0.1713694705319817,1572.0578466809523,2533.3300000000017,reported,1911.450682621868
pv,KOR,2010,,2777.7589810053937,3669.6101571957784,4234.825498610746,-0.4321698509914313,6447.369138201172,3152.029999999999,carry_2011,7012.58447961614
pv,KOR,2011,7012.58447961614,2027.4340459964767,2868.182802656054,4985.150433619663,-0.4321698509914313,4895.61684865253,3152.029999999999,reported,7012.58447961614
pv,KOR,2012,3628.137387695874,1433.8467999047368,2469.867588676854,2194.290587791137,-0.4321698509914313,3903.7143885815913,3152.029999999999,reported,3628.137387695874
pv,KOR,2013,3171.064023211654,1124.6915297812538,2166.8335602208945,2046.3724934304,-0.4321698509914313,3291.5250900021483,3152.029999999999,reported,3171.064023211654
