target,technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed,P,S,T,K,E,net,total_decline,remainder,model_without_source_contribution,net_pct
DEU,pv,JPN,2024,1911.450682621868,315.6578779059118,1256.3999687750404,1595.7928047159562,-0.1713694705319817,1572.0578466809523,2533.3300000000017,reported,1911.450682621868,10.74699249148187,-5.396699687359096,0.0,-483.0730289268643,-52.179149888416475,-529.901886011158,4732.825819242991,5262.727705254149,1042.1559606697942,-11.196310750686258
DEU,pv,KOR,2024,1262.2227758007118,143.30763666718263,695.5557434474163,1118.9151391335292,-0.4321698509914313,838.8633801145988,3152.029999999999,reported,1262.2227758007118,33.41180142441559,2.730499811417788,0.0,-277.92825888640687,-375.3858717438506,-617.1718293944241,5750.361703815428,6367.533533209852,221.69155072017475,-10.732747976269456
DEU,pv,USA,2024,1058.0371018079034,275.2245466799997,592.0893941961257,782.8125551279036,-0.5214862563796543,867.3139408761253,37667.69999999998,reported,1058.0371018079034,41.82986757520074,-3.7674240482456534,-4.403667079397052,-153.1731356456892,-290.4928718116216,-410.0072310097528,4494.391436929972,4904.398667939725,457.30670986637256,-9.122641780614918
DEU,wind,AUS,2024,1380.5779985677066,364.3836903060438,885.7759428051778,1016.1943082616629,-0.6608866327723203,1250.1596331112216,2655.0,reported,1380.5779985677066,0.23879662611418614,0.2670658571709272,0.0,2.6028125648629157,0.0,3.108675048148029,2762.5064308935325,2759.3977558453844,1253.2683081593696,0.1125309614987042
DEU,wind,BRA,2024,1307.044736135391,398.9197531891879,635.9618084499955,908.1249829462032,-0.4846771838084797,1034.8815616391835,3807.310000000001,reported,1307.044736135391,61.51624318068019,54.60885997786725,2.0273654022348087,1.724551725457739,0.0,119.87702028623998,1799.196779698392,1679.319759412152,1154.7585819254234,6.66280762832043
DEU,wind,CAN,2024,1237.5279556276118,560.3421311843513,1077.6013681507616,677.1858244432606,-0.2643524831740681,1637.9434993351128,1260.0,reported,1237.5279556276118,158.0029736191326,10.940158868820903,0.0,3.811383504738421,0.0,172.75451599269192,1970.2411215219868,1797.4866055292948,1810.6980153278048,8.768191573386774
DEU,wind,CHN,2024,855.9662826565387,311.13156825430923,846.6895163294066,544.8347144022296,0.0009530959629259,1157.821084583716,75360.0,reported,855.9662826565387,0.0,0.0,0.0,3.20760346449665,0.0,3.20760346449665,909.2112759236699,906.0036724591732,1161.0286880482126,0.3527896705018356
DEU,wind,ESP,2024,1398.8328190572436,704.3477312453125,573.8383489698434,694.4850878119311,-0.5083763749600175,1278.186080215156,1315.7700000000004,reported,1398.8328190572436,101.14156942866622,55.24752484451119,-1.780345313978036,0.838024807175934,0.0,155.44677376637532,1518.4988305827058,1363.0520568163304,1433.6328539815313,10.23687148357727
DEU,wind,FRA,2024,1860.4830152221043,685.4288185538267,1263.9149417494928,1175.0541966682777,0.2520769073090383,1949.3437603033194,1137.119999999999,reported,1860.4830152221043,330.1431416878995,170.22859727085427,-5.779729261672466,1.1333453038641663,0.0,495.7253550009455,1089.5794531686884,593.8540981677429,2445.069115304265,45.49694412456927
DEU,wind,GBR,2024,1925.620884875948,796.6747553890772,996.3099561546004,1128.9461294868706,-0.1000586056861678,1792.9847115436776,812.0999999999985,reported,1925.620884875948,567.5488183143719,-18.922942538903843,8.768199298190211,1.4655357105439784,0.0,558.8596107842023,721.0565960692702,162.19698528506785,2351.84432232788,77.50565126659129
DEU,wind,IND,2024,1110.269638408882,546.3302395020477,513.1751035293131,563.9393989068343,0.177335392834262,1059.5053430313608,3426.920000000005,reported,1110.269638408882,36.879401985858415,29.354300678436392,0.0,0.9017057542187628,0.0,67.13540841851358,497.0171557991782,429.88174738066465,1126.6407514498744,13.507664199350074
DEU,wind,ITA,2024,1408.131747785429,653.9514921438822,919.1675354713697,754.1802556415469,-0.361943176041216,1573.119027615252,652.8600000000006,reported,1408.131747785429,39.73802617708656,22.978095171859604,-0.6983781337341914,0.3234908160439126,0.0,62.34123403125589,1634.4450235538238,1572.103789522568,1635.460261646508,3.814214190924907
DEU,wind,POL,2024,1838.4745885101927,709.5172117566439,1028.9695983304487,1128.957376753549,-0.1006582916667672,1738.4868100870926,808.4300000000003,reported,1838.4745885101927,210.54072004143933,96.09865447466917,-3.707750690386206,1.8427331975113341,0.0,304.7743570232336,1291.3669738725714,986.5926168493378,2043.2611671103264,23.60090998062863
DEU,wind,SWE,2024,1772.9311285129593,643.5506732109214,803.5649196241793,1129.3804553020377,-0.1317579757291353,1447.1155928351009,595.0,reported,1772.9311285129593,217.23533125658707,116.45540075510871,-3.8336503119499654,2.392212280536135,0.0,332.24929398028195,1000.3444573012289,668.095163320947,1779.3648868153828,33.21348876932232
DEU,wind,TUR,2024,1423.6985915002006,661.6007440343776,789.2089961088717,762.097847465823,-0.1004525561962087,1450.8097401432492,1064.7200000000012,reported,1423.6985915002006,522.1047863094859,8.602163508733037,0.0,1.1611369175025557,0.0,531.8680867357215,1454.6514714419732,922.7833847062517,1982.6778268789708,36.56326599033987
DEU,wind,USA,2024,1567.812822807036,771.5252250751016,752.7208506166098,796.2875977319343,-0.2631501440880454,1524.2460756917114,5002.399999999994,reported,1567.812822807036,23.233310868588468,5.056281125811373,0.0,4.107304191183756,0.0,32.3968961855836,1282.1144403540648,1249.7175441684813,1556.642971877295,2.5268334218774555
