grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,A,2020,Russia,1.1368683772161603e-13,5.861977570020827e-14,0.0,0.0,5.684341886080802e-14,-1.2178086788024e-13,2.557802970076115e-12,-130.47551672837125,2.557802970076115e-12
fiveyear_2050,A,2020,North Africa,-5.684341886080802e-14,-1.0658141036401503e-14,0.0,0.0,2.842170943040401e-14,-4.881515569919289e-13,1.3435474961811669e-12,40.12609547840733,1.3435474961811669e-12
fiveyear_2050,A,2020,Sub Saharan,2.8421709430404007e-13,-7.105427357601002e-15,-5.684341886080802e-14,0.0,1.1368683772161603e-13,-4.4962866636826844e-13,-1.8827013617126137e-12,61.67765504326446,1.8827013617126137e-12
fiveyear_2050,A,2020,South Africa,-2.842170943040401e-14,3.197442310920451e-14,-1.4210854715202004e-14,-2.842170943040401e-14,0.0,-6.115356138471904e-15,-6.96790353013159e-13,-28.95468520802149,6.96790353013159e-13
fiveyear_2050,A,2025,Australia_Oceania,-5.684341886080802e-14,5.684341886080802e-14,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,-7.815970093361102e-14,1.4996320500077618e-12,-31.183587982940413,1.4996320500077618e-12
fiveyear_2050,A,2025,China,0.0,1.1368683772161603e-13,-9.094947017729282e-13,-1.8189894035458565e-12,0.0,1.2448708730516955e-11,-1.6689551331710052e-11,-421.45630597828637,1.6689551331710052e-11
fiveyear_2050,A,2025,Japan,1.1368683772161603e-13,0.0,-2.2737367544323206e-13,0.0,0.0,3.8191672047105385e-13,5.242458973865155e-12,-6.443694854242664,5.242458973865155e-12
fiveyear_2050,A,2025,South Korea,1.1368683772161603e-13,0.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,3.694822225952521e-13,1.566488832073815e-12,-159.28775048622288,1.566488832073815e-12
fiveyear_2050,A,2025,Rest of World,0.0,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,0.0,-4.593172768169266e-15,2.0976968742845538e-13,-6.2032122280852855,2.0976968742845538e-13
fiveyear_2050,A,2025,Southeast Asia,6.821210263296962e-13,4.618527782440651e-14,-2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,-4.618527782440651e-13,-1.5120028834777322e-12,-46.65626740873011,1.5120028834777322e-12
fiveyear_2050,A,2025,"Central, Western and South Asia",-4.547473508864641e-13,2.2737367544323206e-13,-4.547473508864641e-13,0.0,-2.2737367544323206e-13,5.293543381412746e-13,-1.039166271886942e-11,12.643992193623268,1.039166271886942e-11
fiveyear_2050,A,2025,India,-6.821210263296962e-13,1.4210854715202004e-14,2.2737367544323206e-13,0.0,2.2737367544323206e-13,-3.014145779388768e-12,7.963534855785373e-12,163.12730119612667,7.963534855785373e-12
fiveyear_2050,A,2025,Canada,3.836930773104541e-13,1.7053025658242404e-13,0.0,0.0,1.1368683772161603e-13,1.829647544582258e-13,5.237964047063333e-12,37.73861513312361,5.237964047063333e-12
fiveyear_2050,A,2025,United States,-8.952838470577262e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,-1.8189894035458565e-12,-7.815970093361102e-13,-1.9238558775232362e-11,742.5938200367258,1.9238558775232362e-11
fiveyear_2050,A,2025,Rest of America,-1.3642420526593924e-12,-1.4210854715202004e-13,-2.2737367544323206e-13,2.2737367544323206e-13,0.0,3.552713678800501e-15,-6.767864938393108e-12,-27.717640041287726,6.767864938393108e-12
fiveyear_2050,A,2025,Brazil,5.115907697472721e-13,-5.684341886080802e-14,0.0,-1.1368683772161603e-13,-1.1368683772161603e-13,-4.812189145384719e-13,-6.038830081507556e-13,-38.6163411193312,6.038830081507556e-13
fiveyear_2050,A,2025,"EU, UK and EFTA",-4.547473508864641e-13,0.0,-2.7284841053187847e-12,0.0,0.0,2.2737367544323206e-13,3.570915726822781e-12,-186.23387720258836,3.570915726822781e-12
fiveyear_2050,A,2025,Eastern Europe,-7.460698725481052e-14,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,1.4210854715202004e-14,6.405986852087153e-14,2.3420939856943205e-13,25.45201041825383,2.3420939856943205e-13
fiveyear_2050,A,2025,Russia,2.2737367544323206e-13,-6.750155989720952e-14,-5.684341886080802e-14,0.0,5.684341886080802e-14,4.503822649458047e-13,-2.6116172575207643e-12,-142.12720504694087,2.6116172575207643e-12
fiveyear_2050,A,2025,North Africa,1.9895196601282805e-13,-9.325873406851315e-15,5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-3.552637418123834e-14,-8.749387116218395e-13,48.89596455119807,8.749387116218395e-13
fiveyear_2050,A,2025,Sub Saharan,-5.684341886080802e-14,-1.7763568394002505e-14,-5.684341886080802e-14,0.0,1.1368683772161603e-13,-1.6956904177822416e-12,3.0283709981668237e-12,64.9591646647352,3.0283709981668237e-12
fiveyear_2050,A,2025,South Africa,5.684341886080802e-14,2.1316282072803006e-14,-1.4210854715202004e-14,0.0,-2.842170943040401e-14,7.996275465039725e-15,-1.349950723832031e-12,-29.484985845130584,1.349950723832031e-12
fiveyear_2050,A,2030,Australia_Oceania,1.7053025658242404e-13,5.684341886080802e-14,1.1368683772161603e-13,0.0,0.0,-2.948752353404416e-13,-1.1176371747194586e-12,-33.016117435630846,1.1176371747194586e-12
fiveyear_2050,A,2030,China,-2.7284841053187847e-12,-7.958078640513122e-13,0.0,0.0,-9.094947017729282e-13,9.663381206337363e-13,2.9081731587474284e-12,-526.4617027308459,2.9081731587474284e-12
fiveyear_2050,A,2030,Japan,9.094947017729282e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,1.758593271006248e-13,2.4678268613191076e-11,-6.667107037601094,2.4678268613191076e-11
