year,region,technology,tfp_multiplier,baseline_tfp,counterfactual_tfp
2035,Southeast Asia,wind,1.0,1.443674885273872,1.443674885273872
2035,"Central, Western and South Asia",pv,1.0,3.8105834511056513,3.8105834511056513
2035,"Central, Western and South Asia",wind,0.7661957911564596,1.3679032599594545,1.0480817204901345
2035,India,pv,0.2012740485061663,2.7739452963168034,0.5583232001243201
2035,India,wind,0.7335254901448697,1.2913243216801091,0.9472193059963934
2035,Canada,pv,1.0,3.8105834511056513,3.8105834511056513
2035,Canada,wind,0.7372439591053769,1.4882571377942175,1.0972085844342454
2035,United States,pv,0.6287313966921324,2.3310600957838172,1.4656106697954554
2035,United States,wind,0.9450044376787305,1.2186368478529173,1.1516172291398268
2035,Rest of America,pv,1.0,3.8105834511056513,3.8105834511056513
2035,Rest of America,wind,1.0,1.443674885273872,1.443674885273872
2035,Brazil,pv,0.2114306989406572,3.754880269028203,0.7938969597191158
2035,Brazil,wind,0.5583493247662177,2.0918677840233593,1.1679929647096468
2035,"EU, UK and EFTA",pv,0.2693007298011997,2.8178431519481135,0.7588472172849398
2035,"EU, UK and EFTA",wind,0.8988303236091414,1.2487958551677938,1.1224555826222224
2035,Eastern Europe,pv,1.0,3.8105834511056513,3.8105834511056513
2035,Eastern Europe,wind,1.0,1.443674885273872,1.443674885273872
2035,Russia,pv,1.0,3.8105834511056513,3.8105834511056513
2035,Russia,wind,1.0,1.443674885273872,1.443674885273872
2035,North Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2035,North Africa,wind,1.0,1.443674885273872,1.443674885273872
2035,Sub Saharan,pv,1.0,3.8105834511056513,3.8105834511056513
2035,Sub Saharan,wind,1.0,1.443674885273872,1.443674885273872
2035,South Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2035,South Africa,wind,1.0,1.443674885273872,1.443674885273872
2040,Australia_Oceania,pv,0.25264106769540506,2.9302684460156767,0.740306148835556
2040,Australia_Oceania,wind,0.6312675398749815,1.8444160353102674,1.1643199731162797
2040,China,pv,1.0,2.333049287331037,2.333049287331037
2040,China,wind,1.0,1.7350331399503869,1.7350331399503869
2040,Japan,pv,0.4454750750937161,1.724348638018019,0.7681543390088241
2040,Japan,wind,1.0,1.443674885273872,1.443674885273872
2040,South Korea,pv,0.37371210608141403,2.3567756205284143,0.8807555807090052
2040,South Korea,wind,1.0,1.443674885273872,1.443674885273872
2040,Rest of World,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Rest of World,wind,1.0,1.443674885273872,1.443674885273872
2040,Southeast Asia,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Southeast Asia,wind,1.0,1.443674885273872,1.443674885273872
2040,"Central, Western and South Asia",pv,1.0,3.8105834511056513,3.8105834511056513
2040,"Central, Western and South Asia",wind,0.7661957911564596,1.3679032599594545,1.0480817204901345
2040,India,pv,0.2012740485061663,2.7739452963168034,0.5583232001243201
2040,India,wind,0.7335254901448697,1.2913243216801091,0.9472193059963934
2040,Canada,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Canada,wind,0.7372439591053769,1.4882571377942175,1.0972085844342454
2040,United States,pv,0.6287313966921324,2.3310600957838172,1.4656106697954554
2040,United States,wind,0.9450044376787305,1.2186368478529173,1.1516172291398268
2040,Rest of America,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Rest of America,wind,1.0,1.443674885273872,1.443674885273872
2040,Brazil,pv,0.2114306989406572,3.754880269028203,0.7938969597191158
2040,Brazil,wind,0.5583493247662177,2.0918677840233593,1.1679929647096468
2040,"EU, UK and EFTA",pv,0.2693007298011997,2.8178431519481135,0.7588472172849398
2040,"EU, UK and EFTA",wind,0.8988303236091414,1.248795855167733,1.1224555826221678
2040,Eastern Europe,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Eastern Europe,wind,1.0,1.443674885273872,1.443674885273872
2040,Russia,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Russia,wind,1.0,1.443674885273872,1.443674885273872
2040,North Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2040,North Africa,wind,1.0,1.443674885273872,1.443674885273872
2040,Sub Saharan,pv,1.0,3.8105834511056513,3.8105834511056513
2040,Sub Saharan,wind,1.0,1.443674885273872,1.443674885273872
2040,South Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2040,South Africa,wind,1.0,1.443674885273872,1.443674885273872
2045,Australia_Oceania,pv,0.25264106769540506,2.9302684460156767,0.740306148835556
2045,Australia_Oceania,wind,0.6312675398749815,1.8444160353102674,1.1643199731162797
2045,China,pv,1.0,2.3330492873310447,2.3330492873310447
2045,China,wind,1.0,1.7350331399503898,1.7350331399503898
2045,Japan,pv,0.4454750750937161,1.724348638018019,0.7681543390088241
2045,Japan,wind,1.0,1.443674885273872,1.443674885273872
2045,South Korea,pv,0.37371210608141403,2.3567756205284143,0.8807555807090052
2045,South Korea,wind,1.0,1.443674885273872,1.443674885273872
2045,Rest of World,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Rest of World,wind,1.0,1.443674885273872,1.443674885273872
2045,Southeast Asia,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Southeast Asia,wind,1.0,1.443674885273872,1.443674885273872
2045,"Central, Western and South Asia",pv,1.0,3.8105834511056513,3.8105834511056513
2045,"Central, Western and South Asia",wind,0.7661957911564596,1.3679032599594545,1.0480817204901345
2045,India,pv,0.2012740485061663,2.7739452963168034,0.5583232001243201
2045,India,wind,0.7335254901448697,1.2913243216801091,0.9472193059963934
2045,Canada,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Canada,wind,0.7372439591053769,1.4882571377942175,1.0972085844342454
2045,United States,pv,0.6287313966921324,2.3310600957838172,1.4656106697954554
2045,United States,wind,0.9450044376787305,1.2186368478529173,1.1516172291398268
2045,Rest of America,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Rest of America,wind,1.0,1.443674885273872,1.443674885273872
2045,Brazil,pv,0.2114306989406572,3.754880269028203,0.7938969597191158
2045,Brazil,wind,0.5583493247662177,2.0918677840233593,1.1679929647096468
2045,"EU, UK and EFTA",pv,0.2693007298011997,2.8178431519481135,0.7588472172849398
2045,"EU, UK and EFTA",wind,0.8988303236091414,1.2487958551676621,1.122455582622104
2045,Eastern Europe,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Eastern Europe,wind,1.0,1.443674885273872,1.443674885273872
2045,Russia,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Russia,wind,1.0,1.443674885273872,1.443674885273872
2045,North Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2045,North Africa,wind,1.0,1.443674885273872,1.443674885273872
2045,Sub Saharan,pv,1.0,3.8105834511056513,3.8105834511056513
2045,Sub Saharan,wind,1.0,1.443674885273872,1.443674885273872
2045,South Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2045,South Africa,wind,1.0,1.443674885273872,1.443674885273872
2050,Australia_Oceania,pv,0.25264106769540506,2.9302684460156767,0.740306148835556
2050,Australia_Oceania,wind,0.6312675398749815,1.8444160353102674,1.1643199731162797
2050,China,pv,1.0,2.333049287331037,2.333049287331037
2050,China,wind,1.0,1.7350331399503898,1.7350331399503898
2050,Japan,pv,0.4454750750937161,1.724348638018019,0.7681543390088241
2050,Japan,wind,1.0,1.443674885273872,1.443674885273872
2050,South Korea,pv,0.37371210608141403,2.3567756205284143,0.8807555807090052
2050,South Korea,wind,1.0,1.443674885273872,1.443674885273872
2050,Rest of World,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Rest of World,wind,1.0,1.443674885273872,1.443674885273872
2050,Southeast Asia,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Southeast Asia,wind,1.0,1.443674885273872,1.443674885273872
2050,"Central, Western and South Asia",pv,1.0,3.8105834511056513,3.8105834511056513
2050,"Central, Western and South Asia",wind,0.7661957911564596,1.3679032599594545,1.0480817204901345
2050,India,pv,0.2012740485061663,2.7739452963168034,0.5583232001243201
2050,India,wind,0.7335254901448697,1.2913243216801091,0.9472193059963934
2050,Canada,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Canada,wind,0.7372439591053769,1.4882571377942175,1.0972085844342454
