variable,value
"pkel[14,4]",2.2103619758399695
"pkel[15,4]",1.488602353638123
"pkel[1,5]",1.2008972819164854
"pkel[2,5]",1.1391714069842445
"pkel[3,5]",1.2658763500153398
"pkel[4,5]",1.243502959913917
"pkel[5,5]",1.0055494384756742
"pkel[6,5]",1.023108705949404
"pkel[7,5]",0.853460663499567
"pkel[8,5]",0.8755187994772663
"pkel[9,5]",0.9204015523468557
"pkel[10,5]",1.1352863717342023
"pkel[11,5]",0.8498278000813028
"pkel[13,5]",1.1727654952689697
"pkel[14,5]",1.167831017601644
"pkel[15,5]",1.0075580004035638
"pkel[1,6]",0.4048699939595396
"pkel[2,6]",0.4076130384083396
"pkel[3,6]",0.40599532141973527
"pkel[4,6]",0.36368740771002267
"pkel[5,6]",0.35122721486293845
"pkel[6,6]",0.3068886850074849
"pkel[7,6]",0.3121428108383452
"pkel[8,6]",0.3551149175979089
"pkel[9,6]",0.33114235386652013
"pkel[10,6]",0.3630182449458666
"pkel[11,6]",0.7403899440575467
"pkel[13,6]",0.37784761093678293
"pkel[14,6]",0.3575287291937535
"pkel[15,6]",0.37027145651163357
"pkel[1,7]",0.8471538492281823
"pkel[2,7]",0.8868760886065157
"pkel[3,7]",0.8637334388038079
"pkel[4,7]",0.8682621060471281
"pkel[5,7]",0.8718456546639122
"pkel[6,7]",0.9148661345074206
"pkel[7,7]",0.8687458540770757
"pkel[8,7]",0.8848451421495847
"pkel[9,7]",0.8580425907835237
"pkel[10,7]",0.8528245928503371
"pkel[11,7]",0.9188277287301592
"pkel[13,7]",0.8800627139665929
"pkel[14,7]",0.8935307445166464
"pkel[15,7]",0.7919241626949476
"pkel[1,8]",0.16246672794359496
"pkel[2,8]",0.08126433376710022
"pkel[3,8]",0.06579602281901026
"pkel[4,8]",0.06259008049954554
"pkel[5,8]",0.05730818716501354
"pkel[6,8]",0.03527255045832417
"pkel[7,8]",0.0346668727742405
"pkel[8,8]",0.034005348080351015
"pkel[9,8]",0.0728686861354793
"pkel[10,8]",0.08835518876878529
"pkel[11,8]",0.43277006832591697
"pkel[13,8]",0.07388357038066282
"pkel[14,8]",0.050719719485428125
"pkel[15,8]",0.11195327750979203
"pkel[1,9]",1.8759592747711806
"pkel[2,9]",1.8372227578640545
"pkel[3,9]",1.9245900722598774
"pkel[4,9]",1.8341090876833777
"pkel[5,9]",1.6505772870886841
"pkel[6,9]",1.7305795361189025
"pkel[7,9]",1.4534874671599736
"pkel[8,9]",1.3687013041086826
"pkel[9,9]",1.614799118435848
"pkel[10,9]",1.8141641625680887
"pkel[11,9]",1.1738764280386387
"pkel[13,9]",1.6917367992923802
"pkel[14,9]",1.9394164670685665
"pkel[15,9]",1.4805013651032848
"pkel[1,10]",1.5700697651123308
"pkel[2,10]",1.6162296315927225
"pkel[3,10]",1.6379649904116047
"pkel[4,10]",1.6433497956805534
"pkel[5,10]",1.8711215944996709
"pkel[6,10]",1.691773111317523
"pkel[7,10]",1.662958095366127
"pkel[8,10]",1.6321906364158898
"pkel[9,10]",1.745705531459327
"pkel[10,10]",1.7760375961520896
"pkel[11,10]",1.1930181436484988
"pkel[13,10]",1.8296725383488297
"pkel[14,10]",1.825328996356419
"pkel[15,10]",1.5331268285177
"pkel[1,11]",1.3952880624850024
"pkel[2,11]",1.438407368787797
"pkel[3,11]",1.482300422431129
"pkel[4,11]",1.484641549277188
"pkel[5,11]",1.582398842581365
"pkel[6,11]",1.7085747944083567
"pkel[7,11]",1.7390699927934379
"pkel[8,11]",1.5832051648659666
"pkel[9,11]",1.564068033496676
"pkel[10,11]",1.5743389978141997
"pkel[11,11]",1.1884638625434205
"pkel[13,11]",1.5440877888470983
"pkel[14,11]",1.5888554706130735
"pkel[15,11]",1.3374391448894805
"pkel[1,12]",2.334000520244715
"pkel[2,12]",2.3310737232279246
"pkel[3,12]",2.374087798782109
"pkel[4,12]",2.3935782079334307
"pkel[5,12]",2.3784923292651237
"pkel[6,12]",3.4701905979845953
"pkel[7,12]",2.485557514168571
"pkel[8,12]",2.2744493093855502
"pkel[9,12]",2.4559886213164
"pkel[10,12]",2.4081627760925186
"pkel[11,12]",1.4549322761400174
"pkel[13,12]",2.7049105335045973
"pkel[14,12]",2.467360504352761
"pkel[15,12]",1.9080363856525047
"pkel[1,13]",1.9437506311214907
"pkel[2,13]",1.9161225346492194
"pkel[3,13]",1.5645991052265187
"pkel[4,13]",1.8359641422436603
"pkel[5,13]",1.994353058741492
"pkel[6,13]",2.4369638770818223
"pkel[7,13]",1.7521175543416683
"pkel[8,13]",1.8613064254948033
"pkel[9,13]",1.98734416334714
"pkel[10,13]",2.1533605324008622
"pkel[11,13]",1.0464333764283063
"pkel[13,13]",2.238375919030257
"pkel[14,13]",2.1136404261680206
"pkel[15,13]",2.2072452220563927
"pkel[1,14]",2.1795543142201574
"pkel[2,14]",1.9865264374951204
"pkel[3,14]",2.0580950399419886
"pkel[4,14]",1.9431566400556313
"pkel[5,14]",2.117192807531887
"pkel[6,14]",2.080026887776703
"pkel[7,14]",1.7564903683738966
"pkel[8,14]",1.5586320434264707
"pkel[9,14]",1.687420525054073
"pkel[10,14]",1.7586180278146895
"pkel[11,14]",0.9607007225742454
"pkel[13,14]",1.9600696710924188
"pkel[14,14]",2.1000643872144886
"pkel[15,14]",1.3012678613880166
