scenario,year,region,technology,CO2_Mt
B,2030,Southeast Asia,Gas_Power,240.23399774038043
B,2030,Southeast Asia,Nuclear,0.00014670378834470547
B,2030,Southeast Asia,Hydro,5.418560110713927e-5
B,2030,Southeast Asia,Wind,0.0011424078327540207
B,2030,Southeast Asia,Solar,0.0031862787480916484
B,2030,Southeast Asia,Biomass,4.237976218032608
B,2030,"Central, Western and South Asia",TnD,4.784278289132544
B,2030,"Central, Western and South Asia",Coal_Power,314.5976822441769
B,2030,"Central, Western and South Asia",Oil_Power,439.46821780725134
B,2030,"Central, Western and South Asia",Gas_Power,902.6289601482779
B,2030,"Central, Western and South Asia",Nuclear,0.00018699929994641837
B,2030,"Central, Western and South Asia",Hydro,3.7878597433268796e-5
B,2030,"Central, Western and South Asia",Wind,0.00019697176639211337
B,2030,"Central, Western and South Asia",Solar,0.0025840801348356187
B,2030,"Central, Western and South Asia",Biomass,1.1728872462866442
B,2030,India,TnD,1.0330143236772709
B,2030,India,Coal_Power,1742.8917381508436
B,2030,India,Oil_Power,4.176066103090528
B,2030,India,Gas_Power,68.96207097146689
B,2030,India,Nuclear,0.00020257488146262535
B,2030,India,Hydro,3.606717773066256e-5
B,2030,India,Wind,0.00013905022494012845
B,2030,India,Solar,0.00022738703749934462
B,2030,India,Biomass,2.8050015761065823
B,2030,Canada,TnD,0.03808945480937795
B,2030,Canada,Coal_Power,91.1347661064965
B,2030,Canada,Oil_Power,9.36135075762811
B,2030,Canada,Gas_Power,74.55616489708825
B,2030,Canada,Nuclear,0.00029351513175805157
B,2030,Canada,Hydro,6.48608873986307e-5
B,2030,Canada,Wind,0.00032891165635011226
B,2030,Canada,Solar,0.0016392546653672389
B,2030,Canada,Biomass,1.8074284465486778
B,2030,United States,TnD,0.05813922461384774
B,2030,United States,Coal_Power,1415.3078965282884
B,2030,United States,Oil_Power,16.14900528975881
B,2030,United States,Gas_Power,568.3834143867462
B,2030,United States,Nuclear,0.00019158304316019845
B,2030,United States,Hydro,3.155171683687943e-5
B,2030,United States,Wind,0.00023476316162526257
B,2030,United States,Solar,0.0005689885744816972
B,2030,United States,Biomass,6.496566862798848
B,2030,Rest of America,TnD,1.099971064619803
B,2030,Rest of America,Coal_Power,94.43033274235388
B,2030,Rest of America,Oil_Power,160.76448033908264
B,2030,Rest of America,Gas_Power,212.46995235934585
B,2030,Rest of America,Nuclear,0.00017617707067017193
B,2030,Rest of America,Hydro,3.064476361266893e-5
B,2030,Rest of America,Wind,0.00037074355439537947
B,2030,Rest of America,Solar,0.002148659968197657
B,2030,Rest of America,Biomass,4.688812452438808
B,2030,Brazil,TnD,0.003612017631465506
B,2030,Brazil,Coal_Power,46.9627547016296
B,2030,Brazil,Oil_Power,33.79357981362252
B,2030,Brazil,Gas_Power,72.08365114448213
B,2030,Brazil,Nuclear,0.00022761804220313906
B,2030,Brazil,Hydro,3.115517969708221e-5
B,2030,Brazil,Wind,0.00034148725606184877
B,2030,Brazil,Solar,0.002369938217763192
B,2030,Brazil,Biomass,9.502261767818158
B,2030,"EU, UK and EFTA",TnD,0.8455945805093679
B,2030,"EU, UK and EFTA",Coal_Power,190.29271665362484
B,2030,"EU, UK and EFTA",Oil_Power,36.88773547358275
B,2030,"EU, UK and EFTA",Gas_Power,213.59787048581325
B,2030,"EU, UK and EFTA",Nuclear,0.00020783310549000512
B,2030,"EU, UK and EFTA",Hydro,3.8976209061935245e-5
B,2030,"EU, UK and EFTA",Wind,0.00024776400148459585
B,2030,"EU, UK and EFTA",Solar,0.0002200275786358262
B,2030,"EU, UK and EFTA",Biomass,18.418795521793268
B,2030,Eastern Europe,TnD,0.026440294247201228
B,2030,Eastern Europe,Coal_Power,145.0376177683667
B,2030,Eastern Europe,Oil_Power,14.185479767792932
B,2030,Eastern Europe,Gas_Power,81.80504437137463
B,2030,Eastern Europe,Nuclear,0.00017359798701490308
B,2030,Eastern Europe,Hydro,2.3257560751045462e-5
B,2030,Eastern Europe,Wind,0.00014468643216051814
B,2030,Eastern Europe,Solar,0.0012247940554569686
B,2030,Eastern Europe,Biomass,1.8334804696224323
B,2030,Russia,TnD,0.06256603377223105
B,2030,Russia,Coal_Power,359.7685246124196
B,2030,Russia,Oil_Power,46.117079091781434
B,2030,Russia,Gas_Power,741.4327043730268
B,2030,Russia,Nuclear,0.00023013912562259447
B,2030,Russia,Hydro,3.701105982668211e-5
B,2030,Russia,Wind,0.0034592638195047746
B,2030,Russia,Solar,0.0016429603562571862
B,2030,Russia,Biomass,14.906840903679628
B,2030,North Africa,TnD,0.023129270766197536
B,2030,North Africa,Coal_Power,29.33690022833702
B,2030,North Africa,Oil_Power,58.04465729046758
B,2030,North Africa,Gas_Power,205.2124334348298
B,2030,North Africa,Nuclear,0.00011165144090951391
B,2030,North Africa,Hydro,2.219818267420795e-5
B,2030,North Africa,Wind,0.00028057845778325707
B,2030,North Africa,Solar,0.0021909494646213308
B,2030,North Africa,Biomass,0.0
B,2030,Sub Saharan,TnD,0.36713045002413636
B,2030,Sub Saharan,Coal_Power,18.08296787893334
B,2030,Sub Saharan,Oil_Power,63.80406381866185
B,2030,Sub Saharan,Gas_Power,42.197052004802984
B,2030,Sub Saharan,Nuclear,0.0001724524551961344
B,2030,Sub Saharan,Hydro,5.836099319008762e-5
B,2030,Sub Saharan,Wind,0.0004959229246816627
B,2030,Sub Saharan,Solar,0.0019154609162762293
B,2030,Sub Saharan,Biomass,1.544120418114267
B,2030,South Africa,TnD,0.0003479260367245216
B,2030,South Africa,Coal_Power,210.75808955268113
