grid,scenario,year,next_year,region,interval_years,opening_stock,annual_real_investment,survival,investment_annuity,next_stock,identity_residual
fiveyear_2050,B,2040,2045,Russia,5,9647.58348945384,585.3854581400519,0.7737809374999999,4.524381250000002,10113.623187910624,-9.094947017729282e-13
fiveyear_2050,B,2040,2045,North Africa,5,4646.678697480812,369.3650040855232,0.7737809374999999,4.524381250000002,5266.659497688696,-2.2737367544323206e-13
fiveyear_2050,B,2040,2045,Sub Saharan,5,8113.246994945992,726.3924357408204,0.7737809374999999,4.524381250000002,9564.352182325965,-4.547473508864641e-13
fiveyear_2050,B,2040,2045,South Africa,5,1691.8657993009747,120.26548964717146,0.7737809374999999,4.524381250000002,1853.2604306890266,0.0
fiveyear_2050,B,2045,2050,Australia_Oceania,5,9114.992903622615,673.6054297428425,0.7737809374999999,4.524381250000002,10100.655530497665,9.094947017729282e-13
fiveyear_2050,B,2045,2050,China,5,115958.8259135187,7115.356990701852,0.7737809374999999,4.524381250000002,121919.31678254968,3.637978807091713e-12
fiveyear_2050,B,2045,2050,Japan,5,28231.798416693164,1561.3447902150465,0.7737809374999999,4.524381250000002,28909.34653981399,-1.8189894035458565e-12
fiveyear_2050,B,2045,2050,South Korea,5,12361.70744299807,846.2339001204374,0.7737809374999999,4.524381250000002,13393.938365163054,0.0
fiveyear_2050,B,2045,2050,Rest of World,5,743.8982152079373,56.68969362532502,0.7737809374999999,4.524381250000002,832.1000452748394,-5.684341886080802e-14
fiveyear_2050,B,2045,2050,Southeast Asia,5,24913.24058537893,1874.8793940067017,0.7737809374999999,4.524381250000002,27760.059832572842,0.0
fiveyear_2050,B,2045,2050,"Central, Western and South Asia",5,37556.30323781064,2763.66374120551,0.7737809374999999,4.524381250000002,41564.21994040247,3.637978807091713e-12
fiveyear_2050,B,2045,2050,India,5,29833.271081291838,2718.139485511377,0.7737809374999999,4.524381250000002,35382.31578910596,-1.8189894035458565e-12
fiveyear_2050,B,2045,2050,Canada,5,8754.33422348667,611.1686992440796,0.7737809374999999,4.524381250000002,9539.097146084652,-9.094947017729282e-13
fiveyear_2050,B,2045,2050,United States,5,106193.37816001946,6665.05699911087,0.7737809374999999,4.524381250000002,112325.67062591037,0.0
fiveyear_2050,B,2045,2050,Rest of America,5,20724.60192268351,1367.2959988347038,0.7737809374999999,4.524381250000002,22222.470285376105,9.094947017729282e-13
fiveyear_2050,B,2045,2050,Brazil,5,8261.859900051128,547.686485883849,0.7737809374999999,4.524381250000002,8870.812166566495,4.547473508864641e-13
fiveyear_2050,B,2045,2050,"EU, UK and EFTA",5,96625.27826382878,6196.525793539671,0.7737809374999999,4.524381250000002,102802.24351661606,3.637978807091713e-12
fiveyear_2050,B,2045,2050,Eastern Europe,5,1508.1048195715416,95.51126946421373,0.7737809374999999,4.524381250000002,1599.0721578639218,-5.684341886080802e-14
fiveyear_2050,B,2045,2050,Russia,5,10113.623187910624,636.4700711459196,0.7737809374999999,4.524381250000002,10705.362087941987,9.094947017729282e-13
fiveyear_2050,B,2045,2050,North Africa,5,5266.659497688696,431.54931019428574,0.7737809374999999,4.524381250000002,6027.734331108299,-2.2737367544323206e-13
fiveyear_2050,B,2045,2050,Sub Saharan,5,9564.352182325965,958.929823494124,0.7737809374999999,4.524381250000002,11739.277511702981,9.094947017729282e-13
fiveyear_2050,B,2045,2050,South Africa,5,1853.2604306890266,141.57672231423584,0.7737809374999999,4.524381250000002,2074.5646613651943,2.2737367544323206e-13
