year,source_year,region,technology,baseline_tfp,cf_tfp,tfp_multiplier,alpha,mapping_status,countries
2025,2024,Eastern Europe,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,Russia,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,North Africa,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,Sub Saharan,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,South Africa,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
2026,2024,China,pv,2.333049287331037,2.333049287331037,1.0,1.0,China_no_inward_shock,CHN
2026,2024,Japan,pv,1.3771219152143344,1.1966607056986427,0.8689577099006482,1.0,observed_capacity_weighted,JPN
2026,2024,South Korea,pv,1.491888366895367,1.138187151214865,0.7629171032303459,1.0,observed_capacity_weighted,KOR
2026,2024,Rest of World,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,Southeast Asia,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,"Central, Western and South Asia",pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,India,pv,2.529539079676918,1.7548882612412817,0.6937581140139659,1.0,observed_capacity_weighted,IND
2026,2024,Canada,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,United States,pv,2.1077009742595814,1.6090009285166567,0.7633914621507853,1.0,observed_capacity_weighted,USA
2026,2024,Rest of America,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,Brazil,pv,2.726376422247391,1.7022508816623163,0.6243638507771156,1.0,observed_capacity_weighted,BRA
2026,2024,"EU, UK and EFTA",pv,1.8036373826295382,1.3745731643605783,0.7621117069311218,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2026,2024,Eastern Europe,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,Russia,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,North Africa,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,Sub Saharan,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2026,2024,South Africa,pv,2.8272305866285645,2.8272305866285645,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
2027,2024,China,pv,2.333049287331037,2.333049287331037,1.0,1.0,China_no_inward_shock,CHN
2027,2024,Japan,pv,1.3771219152143344,1.1966607056986427,0.8689577099006482,1.0,observed_capacity_weighted,JPN
2027,2024,South Korea,pv,1.491888366895367,1.138187151214865,0.7629171032303459,1.0,observed_capacity_weighted,KOR
2027,2024,Rest of World,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,Southeast Asia,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,"Central, Western and South Asia",pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,India,pv,2.529539079676918,1.7548882612412817,0.6937581140139659,1.0,observed_capacity_weighted,IND
2027,2024,Canada,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,United States,pv,2.1077009742595814,1.6090009285166567,0.7633914621507853,1.0,observed_capacity_weighted,USA
2027,2024,Rest of America,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,Brazil,pv,2.726376422247391,1.7022508816623163,0.6243638507771156,1.0,observed_capacity_weighted,BRA
2027,2024,"EU, UK and EFTA",pv,1.8036373826295382,1.3745731643605783,0.7621117069311218,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2027,2024,Eastern Europe,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,Russia,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
